country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Netherlands,Eredivisie,PSV Eindhoven,32,Matej Kovar,Goalkeeper,"May 17, 2000 (25)",€5.00m,2000,5000.0,75,32,34,68
Netherlands,Eredivisie,PSV Eindhoven,1,Nick Olij,Goalkeeper,"Aug 1, 1995 (29)",€3.50m,1995,3500.0,74,32,34,67
Netherlands,Eredivisie,PSV Eindhoven,24,Niek Schiks,Goalkeeper,"Feb 3, 2004 (21)",€250k,2004,250.0,58,25,27,53
Netherlands,Eredivisie,PSV Eindhoven,6,Ryan Flamingo,Centre-Back,"Dec 31, 2002 (22)",€20.00m,2002,20000.0,82,38,43,67
Netherlands,Eredivisie,PSV Eindhoven,3,Yarek Gasiorowski,Centre-Back,"Jan 12, 2005 (20)",€7.50m,2005,7500.0,76,35,40,62
Netherlands,Eredivisie,PSV Eindhoven,39,Adamo Nagalo,Centre-Back,"Sep 22, 2002 (22)",€6.00m,2002,6000.0,76,35,40,62
Netherlands,Eredivisie,PSV Eindhoven,4,Armando Obispo,Centre-Back,"Mar 5, 1999 (26)",€3.00m,1999,3000.0,72,33,37,59
Netherlands,Eredivisie,PSV Eindhoven,17,Mauro Júnior,Left-Back,"May 6, 1999 (26)",€12.00m,1999,12000.0,80,39,44,61
Netherlands,Eredivisie,PSV Eindhoven,8,Sergiño Dest,Right-Back,"Nov 3, 2000 (24)",€16.00m,2000,16000.0,81,40,45,62
Netherlands,Eredivisie,PSV Eindhoven,25,Kiliann Sildillia,Right-Back,"May 16, 2002 (23)",€10.00m,2002,10000.0,79,39,43,60
Netherlands,Eredivisie,PSV Eindhoven,22,Jerdy Schouten,Defensive Midfield,"Jan 12, 1997 (28)",€22.00m,1997,22000.0,83,43,43,53
Netherlands,Eredivisie,PSV Eindhoven,34,Ismael Saibari,Central Midfield,"Jan 28, 2001 (24)",€27.00m,2001,27000.0,84,49,54,49
Netherlands,Eredivisie,PSV Eindhoven,23,Joey Veerman,Central Midfield,"Nov 19, 1998 (26)",€25.00m,1998,25000.0,84,49,54,49
Netherlands,Eredivisie,PSV Eindhoven,28,Tygo Land,Central Midfield,"Jan 11, 2006 (19)",€2.00m,2006,2000.0,69,40,44,40
Netherlands,Eredivisie,PSV Eindhoven,20,Guus Til,Attacking Midfield,"Dec 22, 1997 (27)",€12.00m,1997,12000.0,80,54,49,42
Netherlands,Eredivisie,PSV Eindhoven,26,Isaac Babadi,Attacking Midfield,"Apr 6, 2005 (20)",€3.00m,2005,3000.0,71,48,43,37
Netherlands,Eredivisie,PSV Eindhoven,7,Ruben van Bommel,Left Winger,"Aug 3, 2004 (20)",€8.00m,2004,8000.0,77,59,45,35
Netherlands,Eredivisie,PSV Eindhoven,11,Couhaib Driouech,Left Winger,"Apr 17, 2002 (23)",€4.00m,2002,4000.0,74,56,43,34
Netherlands,Eredivisie,PSV Eindhoven,19,Esmir Bajraktarević,Right Winger,"Mar 10, 2005 (20)",€3.00m,2005,3000.0,71,54,41,33
Netherlands,Eredivisie,PSV Eindhoven,5,Ivan Perišić,Right Winger,"Feb 2, 1989 (36)",€1.50m,1989,1500.0,70,53,41,32
Netherlands,Eredivisie,PSV Eindhoven,9,Ricardo Pepi,Centre-Forward,"Jan 9, 2003 (22)",€16.00m,2003,16000.0,81,66,45,35
Netherlands,Eredivisie,PSV Eindhoven,14,Alassane Pléa,Centre-Forward,"Mar 10, 1993 (32)",€5.00m,1993,5000.0,76,62,42,33
