country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Netherlands,Eredivisie,SC Heerenveen,44,Andries Noppert,Goalkeeper,"Apr 7, 1994 (31)",€1.00m,1994,1000.0,67,29,31,61
Netherlands,Eredivisie,SC Heerenveen,22,Bernt Klaverboer,Goalkeeper,"Sep 26, 2005 (19)",€75k,2005,75.0,51,22,23,46
Netherlands,Eredivisie,SC Heerenveen,22,Tjalling van Keimpema,Goalkeeper,"Jan 1, 2007 (18)",-,2007,77.0,51,22,23,46
Netherlands,Eredivisie,SC Heerenveen,17,Nikolai Hopland,Centre-Back,"Jul 24, 2004 (21)",€3.00m,2004,3000.0,71,33,37,58
Netherlands,Eredivisie,SC Heerenveen,5,Pawel Bochniewicz,Centre-Back,"Jan 30, 1996 (29)",€2.50m,1996,2500.0,72,33,37,59
Netherlands,Eredivisie,SC Heerenveen,4,Sam Kersten,Centre-Back,"Jan 30, 1998 (27)",€1.00m,1998,1000.0,67,31,35,55
Netherlands,Eredivisie,SC Heerenveen,28,Hristiyan Petrov,Centre-Back,"Jun 24, 2002 (23)",€600k,2002,600.0,64,29,33,52
Netherlands,Eredivisie,SC Heerenveen,3,Maas Willemsen,Centre-Back,"Apr 29, 2003 (22)",€500k,2003,500.0,62,29,32,51
Netherlands,Eredivisie,SC Heerenveen,19,Vasilios Zagaritis,Left-Back,"May 4, 2001 (24)",€700k,2001,700.0,65,32,36,49
Netherlands,Eredivisie,SC Heerenveen,32,Robin Bouw,Left-Back,"Apr 24, 2006 (19)",-,2006,25.0,45,22,25,34
Netherlands,Eredivisie,SC Heerenveen,45,Oliver Braude,Right-Back,"Feb 21, 2004 (21)",€4.00m,2004,4000.0,73,36,40,55
Netherlands,Eredivisie,SC Heerenveen,6,Joris van Overeem,Defensive Midfield,"Jun 1, 1994 (31)",€800k,1994,800.0,66,34,34,42
Netherlands,Eredivisie,SC Heerenveen,16,Marcus Linday,Central Midfield,"Jun 2, 2003 (22)",€4.00m,2003,4000.0,73,42,47,42
Netherlands,Eredivisie,SC Heerenveen,21,Espen van Ee,Central Midfield,"Jul 5, 2003 (22)",€1.30m,2003,1300.0,67,39,43,39
Netherlands,Eredivisie,SC Heerenveen,39,Isaiah Ahmed,Central Midfield,"Dec 28, 2005 (19)",€125k,2005,125.0,54,31,35,31
Netherlands,Eredivisie,SC Heerenveen,31,Kai Jansen,Central Midfield,"May 29, 2007 (18)",-,2007,84.0,51,30,33,30
Netherlands,Eredivisie,SC Heerenveen,8,Luuk Brouwers,Attacking Midfield,"May 3, 1998 (27)",€2.50m,1998,2500.0,72,48,44,37
Netherlands,Eredivisie,SC Heerenveen,14,Levi Smans,Attacking Midfield,"Mar 25, 2003 (22)",€2.00m,2003,2000.0,70,47,43,36
Netherlands,Eredivisie,SC Heerenveen,-,Nolhan Courtens,Attacking Midfield,"Dec 20, 2006 (18)",-,2006,62.0,50,34,30,26
Netherlands,Eredivisie,SC Heerenveen,7,Maxence Rivera,Left Winger,"May 30, 2002 (23)",€1.00m,2002,1000.0,66,50,38,30
Netherlands,Eredivisie,SC Heerenveen,26,Amourricho Van Axel-Dongen,Left Winger,"Sep 29, 2004 (20)",€400k,2004,400.0,61,46,35,28
Netherlands,Eredivisie,SC Heerenveen,20,Jacob Trenskow,Right Winger,"Nov 26, 2000 (24)",€4.00m,2000,4000.0,74,56,43,34
Netherlands,Eredivisie,SC Heerenveen,50,Eser Gürbüz,Right Winger,"Mar 6, 2007 (18)",€600k,2007,600.0,62,47,36,29
Netherlands,Eredivisie,SC Heerenveen,9,Dylan Vente,Centre-Forward,"May 9, 1999 (26)",€2.00m,1999,2000.0,70,57,38,30
Netherlands,Eredivisie,SC Heerenveen,27,Vaclav Sejk,Centre-Forward,"May 18, 2002 (23)",€800k,2002,800.0,65,53,36,28
