country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Portugal,Liga Portugal,FC Famalicão,1,Ivan Zlobin,Goalkeeper,"Mar 7, 1997 (28)",€1.50m,1997,1500.0,69,30,32,63
Portugal,Liga Portugal,FC Famalicão,25,Lazar Carević,Goalkeeper,"Mar 16, 1999 (26)",€1.50m,1999,1500.0,69,30,32,63
Portugal,Liga Portugal,FC Famalicão,90,Hugo Cunha,Goalkeeper,"Sep 6, 2001 (23)",€100k,2001,100.0,54,23,25,49
Portugal,Liga Portugal,FC Famalicão,22,Gabriel Cabral,Goalkeeper,"Apr 19, 2003 (22)",-,2003,100.0,54,23,25,49
Portugal,Liga Portugal,FC Famalicão,16,Justin de Haas,Centre-Back,"Feb 1, 2000 (25)",€3.00m,2000,3000.0,72,33,37,59
Portugal,Liga Portugal,FC Famalicão,-,Léo Realpe,Centre-Back,"Feb 26, 2001 (24)",€1.50m,2001,1500.0,69,32,36,57
Portugal,Liga Portugal,FC Famalicão,55,Ibrahima Ba,Centre-Back,"May 26, 2005 (20)",€500k,2005,500.0,62,29,32,51
Portugal,Liga Portugal,FC Famalicão,-,Renan Santana,Centre-Back,"Mar 13, 2005 (20)",-,2005,87.0,52,24,27,43
Portugal,Liga Portugal,FC Famalicão,5,Rafa Soares,Left-Back,"May 9, 1995 (30)",€1.50m,1995,1500.0,69,34,38,52
Portugal,Liga Portugal,FC Famalicão,13,Pedro Bondo,Left-Back,"Nov 16, 2004 (20)",€500k,2004,500.0,62,30,34,47
Portugal,Liga Portugal,FC Famalicão,-,Garcia,Right-Back,"Jan 4, 2002 (23)",€3.00m,2002,3000.0,72,35,40,55
Portugal,Liga Portugal,FC Famalicão,17,Rodrigo Pinheiro,Right-Back,"Aug 28, 2002 (22)",€2.50m,2002,2500.0,71,35,39,54
Portugal,Liga Portugal,FC Famalicão,-,Dani Morer,Right-Back,"Feb 5, 1998 (27)",€200k,1998,200.0,58,28,32,44
Portugal,Liga Portugal,FC Famalicão,8,Mirko Topić,Defensive Midfield,"Feb 5, 2001 (24)",€5.00m,2001,5000.0,75,39,39,48
Portugal,Liga Portugal,FC Famalicão,6,Tom van de Looi,Defensive Midfield,"Jul 2, 1999 (26)",€2.00m,1999,2000.0,70,36,36,45
Portugal,Liga Portugal,FC Famalicão,14,Mathias de Amorim,Central Midfield,"Dec 10, 2004 (20)",€1.50m,2004,1500.0,68,39,44,39
Portugal,Liga Portugal,FC Famalicão,15,Otar Mamageishvili,Central Midfield,"Jan 15, 2003 (22)",€700k,2003,700.0,64,37,41,37
Portugal,Liga Portugal,FC Famalicão,20,Gustavo Sá,Attacking Midfield,"Nov 11, 2004 (20)",€16.00m,2004,16000.0,80,54,49,42
Portugal,Liga Portugal,FC Famalicão,18,Otso Liimatta,Attacking Midfield,"Jul 10, 2004 (21)",€800k,2004,800.0,64,43,39,33
Portugal,Liga Portugal,FC Famalicão,68,Rodrigo Ribeiro,Attacking Midfield,"May 26, 2006 (19)",-,2006,65.0,50,34,30,26
Portugal,Liga Portugal,FC Famalicão,11,Óscar Aranda,Left Winger,"Apr 29, 2002 (23)",€4.00m,2002,4000.0,74,56,43,34
Portugal,Liga Portugal,FC Famalicão,10,Rochinha,Left Winger,"May 3, 1995 (30)",€1.00m,1995,1000.0,67,51,39,31
Portugal,Liga Portugal,FC Famalicão,-,Roméo Beney,Left Winger,"Jan 19, 2005 (20)",€500k,2005,500.0,62,47,36,29
Portugal,Liga Portugal,FC Famalicão,-,Sorriso,Right Winger,"Feb 23, 2001 (24)",€5.00m,2001,5000.0,75,57,44,34
Portugal,Liga Portugal,FC Famalicão,23,Gil Dias,Right Winger,"Sep 28, 1996 (28)",€1.50m,1996,1500.0,69,52,40,32
Portugal,Liga Portugal,FC Famalicão,-,Pedro Santos,Right Winger,"Feb 10, 2003 (22)",€800k,2003,800.0,65,49,38,30
Portugal,Liga Portugal,FC Famalicão,21,Yassir Zabiri,Right Winger,"Feb 23, 2005 (20)",€600k,2005,600.0,63,48,37,29
Portugal,Liga Portugal,FC Famalicão,12,Simon Elisor,Centre-Forward,"Jul 22, 1999 (26)",€1.00m,1999,1000.0,67,55,37,29
Portugal,Liga Portugal,FC Famalicão,-,Umar Abubakar,Centre-Forward,"Feb 15, 2006 (19)",-,2006,12.0,41,34,23,18
