country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Portugal,Liga Portugal,Casa Pia AC,1,Patrick Sequeira,Goalkeeper,"Mar 1, 1999 (26)",€4.00m,1999,4000.0,74,32,34,67
Portugal,Liga Portugal,Casa Pia AC,-,Ivan Mandic,Goalkeeper,"Mar 10, 2003 (22)",€400k,2003,400.0,61,26,28,56
Portugal,Liga Portugal,Casa Pia AC,22,Daniel Azevedo,Goalkeeper,"Feb 12, 1998 (27)",€100k,1998,100.0,54,23,25,49
Portugal,Liga Portugal,Casa Pia AC,33,Ricardo Batista,Goalkeeper,"Nov 19, 1986 (38)",€100k,1986,100.0,55,24,25,50
Portugal,Liga Portugal,Casa Pia AC,4,João Goulart,Centre-Back,"Jan 27, 2000 (25)",€2.00m,2000,2000.0,70,32,36,57
Portugal,Liga Portugal,Casa Pia AC,2,Tchamba,Centre-Back,"Jul 10, 1998 (27)",€1.00m,1998,1000.0,67,31,35,55
Portugal,Liga Portugal,Casa Pia AC,23,Kaly,Centre-Back,"Nov 27, 2003 (21)",€250k,2003,250.0,59,27,31,48
Portugal,Liga Portugal,Casa Pia AC,6,José Fonte,Centre-Back,"Dec 22, 1983 (41)",€100k,1983,100.0,55,25,29,45
Portugal,Liga Portugal,Casa Pia AC,44,Isaac Monteiro,Centre-Back,"Mar 4, 2004 (21)",€100k,2004,100.0,53,24,28,43
Portugal,Liga Portugal,Casa Pia AC,12,Fahem Benaïssa,Left-Back,"Apr 29, 2002 (23)",€400k,2002,400.0,61,30,34,46
Portugal,Liga Portugal,Casa Pia AC,72,Gaizka Larrazabal,Right-Back,"Dec 17, 1997 (27)",€2.00m,1997,2000.0,70,34,38,53
Portugal,Liga Portugal,Casa Pia AC,18,André Geraldes,Right-Back,"May 2, 1991 (34)",€200k,1991,200.0,59,29,32,45
Portugal,Liga Portugal,Casa Pia AC,89,Andrian Kraev,Defensive Midfield,"Feb 14, 1999 (26)",€1.50m,1999,1500.0,69,36,36,44
Portugal,Liga Portugal,Casa Pia AC,24,Iyad Mohamed,Defensive Midfield,"Mar 5, 2001 (24)",€600k,2001,600.0,64,33,33,41
Portugal,Liga Portugal,Casa Pia AC,17,Rafael Brito,Defensive Midfield,"Jan 19, 2002 (23)",€500k,2002,500.0,63,33,33,40
Portugal,Liga Portugal,Casa Pia AC,57,Renato Nhaga,Defensive Midfield,"Mar 27, 2007 (18)",€100k,2007,100.0,52,27,27,33
Portugal,Liga Portugal,Casa Pia AC,-,Yassin Oukili,Central Midfield,"Jan 3, 2001 (24)",€900k,2001,900.0,66,38,42,38
Portugal,Liga Portugal,Casa Pia AC,80,Pablo Roberto,Central Midfield,"Nov 14, 1999 (25)",€800k,1999,800.0,65,38,42,38
Portugal,Liga Portugal,Casa Pia AC,14,Miguel Sousa,Attacking Midfield,"Sep 19, 1998 (26)",€500k,1998,500.0,63,42,38,33
Portugal,Liga Portugal,Casa Pia AC,-,Raúl Blanco,Attacking Midfield,"Jul 31, 2001 (23)",€300k,2001,300.0,60,40,37,31
Portugal,Liga Portugal,Casa Pia AC,29,Jérémy Livolant,Left Winger,"Jan 9, 1998 (27)",€1.50m,1998,1500.0,69,52,40,32
Portugal,Liga Portugal,Casa Pia AC,-,Kelian Nsona,Left Winger,"May 11, 2002 (23)",€750k,2002,750.0,65,49,38,30
Portugal,Liga Portugal,Casa Pia AC,13,Korede Osundina,Right Winger,"Feb 13, 2004 (21)",€450k,2004,450.0,61,46,35,28
Portugal,Liga Portugal,Casa Pia AC,20,Kiki,Right Winger,"Feb 14, 1998 (27)",€200k,1998,200.0,58,44,34,27
Portugal,Liga Portugal,Casa Pia AC,9,Max Svensson,Centre-Forward,"Nov 8, 2001 (23)",€500k,2001,500.0,63,52,35,27
Portugal,Liga Portugal,Casa Pia AC,90,Cassiano,Centre-Forward,"Jun 16, 1989 (36)",€200k,1989,200.0,59,48,32,25
Portugal,Liga Portugal,Casa Pia AC,99,Clau Mendes,Centre-Forward,"Dec 8, 2000 (24)",€200k,2000,200.0,58,48,32,25
