country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Portugal,Liga Portugal,Gil Vicente FC,42,Andrew,Goalkeeper,"Jul 1, 2001 (24)",€4.00m,2001,4000.0,74,32,34,67
Portugal,Liga Portugal,Gil Vicente FC,-,Dani Figueira,Goalkeeper,"Jul 20, 1998 (27)",€750k,1998,750.0,65,28,30,59
Portugal,Liga Portugal,Gil Vicente FC,51,Miloš Gordić,Goalkeeper,"Mar 5, 2000 (25)",€200k,2000,200.0,58,25,27,53
Portugal,Liga Portugal,Gil Vicente FC,4,Marvin Elimbi,Centre-Back,"Feb 20, 2003 (22)",€750k,2003,750.0,64,29,33,52
Portugal,Liga Portugal,Gil Vicente FC,39,Jonathan Buatu,Centre-Back,"Sep 27, 1993 (31)",€600k,1993,600.0,64,29,33,52
Portugal,Liga Portugal,Gil Vicente FC,-,Antonio Espigares,Centre-Back,"Sep 5, 2004 (20)",€500k,2004,500.0,62,29,32,51
Portugal,Liga Portugal,Gil Vicente FC,23,Josué Sá,Centre-Back,"Jun 17, 1992 (33)",€300k,1992,300.0,61,28,32,50
Portugal,Liga Portugal,Gil Vicente FC,-,Ghislain Konan,Left-Back,"Dec 27, 1995 (29)",€1.00m,1995,1000.0,67,33,37,51
Portugal,Liga Portugal,Gil Vicente FC,-,Hevertton,Right-Back,"Feb 1, 2001 (24)",€1.00m,2001,1000.0,66,32,36,50
Portugal,Liga Portugal,Gil Vicente FC,2,Zé Carlos,Right-Back,"Jul 31, 1998 (26)",€800k,1998,800.0,65,32,36,49
Portugal,Liga Portugal,Gil Vicente FC,45,Jonathan Mutombo,Right-Back,"Aug 27, 2002 (22)",€500k,2002,500.0,63,31,35,48
Portugal,Liga Portugal,Gil Vicente FC,8,Mohamed Bamba,Defensive Midfield,"Oct 8, 2004 (20)",€3.00m,2004,3000.0,71,37,37,45
Portugal,Liga Portugal,Gil Vicente FC,-,Roan Wilson,Defensive Midfield,"May 1, 2002 (23)",€700k,2002,700.0,64,33,33,41
Portugal,Liga Portugal,Gil Vicente FC,28,Diogo Pereira,Defensive Midfield,"May 4, 2003 (22)",€100k,2003,100.0,54,28,28,35
Portugal,Liga Portugal,Gil Vicente FC,-,Zé Carlos,Central Midfield,"Oct 30, 2001 (23)",€1.00m,2001,1000.0,66,38,42,38
Portugal,Liga Portugal,Gil Vicente FC,5,Facundo Cáseres,Central Midfield,"May 28, 2001 (24)",€1.00m,2001,1000.0,66,38,42,38
Portugal,Liga Portugal,Gil Vicente FC,18,João Teixeira,Central Midfield,"Feb 6, 1994 (31)",€300k,1994,300.0,61,35,39,35
Portugal,Liga Portugal,Gil Vicente FC,-,Luís Esteves,Attacking Midfield,"Apr 9, 1998 (27)",€1.00m,1998,1000.0,67,45,41,35
Portugal,Liga Portugal,Gil Vicente FC,19,Santi García,Attacking Midfield,"Aug 29, 2001 (23)",€800k,2001,800.0,65,44,40,34
Portugal,Liga Portugal,Gil Vicente FC,-,Martín Fernández,Attacking Midfield,"Jun 23, 2003 (22)",€450k,2003,450.0,62,42,38,32
Portugal,Liga Portugal,Gil Vicente FC,7,Tidjany Touré,Left Winger,"Jul 15, 2002 (23)",€500k,2002,500.0,63,48,37,29
Portugal,Liga Portugal,Gil Vicente FC,-,Diego Collado,Left Winger,"Jan 9, 2001 (24)",€400k,2001,400.0,62,47,36,29
Portugal,Liga Portugal,Gil Vicente FC,22,Sergio Bermejo,Right Winger,"Aug 17, 1997 (27)",€900k,1997,900.0,66,50,38,30
Portugal,Liga Portugal,Gil Vicente FC,-,Agustín Moreira,Right Winger,"May 28, 2001 (24)",€750k,2001,750.0,65,49,38,30
Portugal,Liga Portugal,Gil Vicente FC,77,Jordi Mboula,Right Winger,"Mar 16, 1999 (26)",€500k,1999,500.0,63,48,37,29
Portugal,Liga Portugal,Gil Vicente FC,-,Gustavo Varela,Centre-Forward,"Jan 30, 2005 (20)",€1.20m,2005,1200.0,66,54,36,28
Portugal,Liga Portugal,Gil Vicente FC,-,Pablo,Centre-Forward,"Jan 2, 2004 (21)",€800k,2004,800.0,64,52,35,28
Portugal,Liga Portugal,Gil Vicente FC,29,Carlos Eduardo,Centre-Forward,"Aug 10, 2002 (22)",€700k,2002,700.0,64,52,35,28
Portugal,Liga Portugal,Gil Vicente FC,-,Roko Baturina,Centre-Forward,"Jun 20, 2000 (25)",€600k,2000,600.0,64,52,35,28
