country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Portugal,Liga Portugal,SC Braga,1,Lukas Hornicek,Goalkeeper,"Jul 13, 2002 (23)",€6.00m,2002,6000.0,76,33,35,69
Portugal,Liga Portugal,SC Braga,12,Tiago Sá,Goalkeeper,"Jan 11, 1995 (30)",€500k,1995,500.0,63,27,29,57
Portugal,Liga Portugal,SC Braga,36,Alaa Bellaarouch,Goalkeeper,"Jan 1, 2002 (23)",€400k,2002,400.0,61,26,28,56
Portugal,Liga Portugal,SC Braga,4,Sikou Niakaté,Centre-Back,"Jul 10, 1999 (26)",€8.00m,1999,8000.0,78,36,41,64
Portugal,Liga Portugal,SC Braga,26,Bright Arrey-Mbi,Centre-Back,"Mar 26, 2003 (22)",€6.00m,2003,6000.0,76,35,40,62
Portugal,Liga Portugal,SC Braga,3,Robson Bambu,Centre-Back,"Nov 12, 1997 (27)",€3.00m,1997,3000.0,73,34,38,60
Portugal,Liga Portugal,SC Braga,14,Gustaf Lagerbielke,Centre-Back,"Apr 10, 2000 (25)",€3.00m,2000,3000.0,72,33,37,59
Portugal,Liga Portugal,SC Braga,15,Paulo Oliveira,Centre-Back,"Jan 8, 1992 (33)",€1.00m,1992,1000.0,67,31,35,55
Portugal,Liga Portugal,SC Braga,53,Jonatás Noro,Centre-Back,"Jul 9, 2005 (20)",€1.00m,2005,1000.0,65,30,34,53
Portugal,Liga Portugal,SC Braga,55,Chissumba,Left-Back,"May 29, 2005 (20)",€5.00m,2005,5000.0,74,36,41,56
Portugal,Liga Portugal,SC Braga,5,Leonardo Lelo,Left-Back,"Mar 30, 2000 (25)",€4.00m,2000,4000.0,74,36,41,56
Portugal,Liga Portugal,SC Braga,19,Adrián Marín,Left-Back,"Jan 9, 1997 (28)",€1.50m,1997,1500.0,69,34,38,52
Portugal,Liga Portugal,SC Braga,2,Víctor Gómez,Right-Back,"Apr 1, 2000 (25)",€6.00m,2000,6000.0,76,37,42,58
Portugal,Liga Portugal,SC Braga,17,Gabriel Moscardo,Defensive Midfield,"Sep 28, 2005 (19)",€8.00m,2005,8000.0,76,40,40,49
Portugal,Liga Portugal,SC Braga,6,Vítor Carvalho,Defensive Midfield,"May 27, 1997 (28)",€6.00m,1997,6000.0,76,40,40,49
Portugal,Liga Portugal,SC Braga,22,Thiago Helguera,Defensive Midfield,"Mar 26, 2006 (19)",€3.50m,2006,3500.0,72,37,37,46
Portugal,Liga Portugal,SC Braga,27,Djibril Soumaré,Defensive Midfield,"Jan 7, 2003 (22)",€1.50m,2003,1500.0,68,35,35,44
Portugal,Liga Portugal,SC Braga,10,Rodrigo Zalazar,Central Midfield,"Aug 12, 1999 (25)",€18.00m,1999,18000.0,82,48,52,48
Portugal,Liga Portugal,SC Braga,20,Mario Dorgeles,Central Midfield,"Aug 7, 2004 (20)",€4.00m,2004,4000.0,73,42,47,42
Portugal,Liga Portugal,SC Braga,29,Gorby,Central Midfield,"Jul 25, 2002 (23)",€4.00m,2002,4000.0,74,43,47,43
Portugal,Liga Portugal,SC Braga,50,Diego Rodrigues,Central Midfield,"May 24, 2005 (20)",€2.00m,2005,2000.0,69,40,44,40
Portugal,Liga Portugal,SC Braga,8,João Moutinho,Central Midfield,"Sep 8, 1986 (38)",€600k,1986,600.0,65,38,42,38
Portugal,Liga Portugal,SC Braga,80,Vasconcelos,Attacking Midfield,"Feb 26, 2005 (20)",€2.00m,2005,2000.0,69,46,42,36
Portugal,Liga Portugal,SC Braga,11,Ismaël Gharbi,Left Winger,"Apr 10, 2004 (21)",€7.50m,2004,7500.0,76,58,44,35
Portugal,Liga Portugal,SC Braga,77,Gabri Martínez,Left Winger,"Jan 22, 2003 (22)",€4.00m,2003,4000.0,73,55,42,34
Portugal,Liga Portugal,SC Braga,33,João Marques,Left Winger,"Feb 13, 2002 (23)",€3.00m,2002,3000.0,72,55,42,33
Portugal,Liga Portugal,SC Braga,7,Roger,Right Winger,"Nov 21, 2005 (19)",€22.00m,2005,22000.0,82,62,48,38
Portugal,Liga Portugal,SC Braga,21,Ricardo Horta,Right Winger,"Sep 15, 1994 (30)",€12.00m,1994,12000.0,80,61,46,37
Portugal,Liga Portugal,SC Braga,23,Simon Banza,Centre-Forward,"Aug 13, 1996 (28)",€14.00m,1996,14000.0,81,66,45,35
Portugal,Liga Portugal,SC Braga,39,Fran Navarro,Centre-Forward,"Feb 3, 1998 (27)",€6.00m,1998,6000.0,76,62,42,33
Portugal,Liga Portugal,SC Braga,18,Pau Víctor,Centre-Forward,"Nov 26, 2001 (23)",€4.00m,2001,4000.0,74,61,41,32
Portugal,Liga Portugal,SC Braga,9,Amine El Ouazzani,Centre-Forward,"Jul 15, 2001 (24)",€3.50m,2001,3500.0,73,60,40,31
Portugal,Liga Portugal,SC Braga,67,Afonso Patrão,Centre-Forward,"Feb 3, 2007 (18)",€2.00m,2007,2000.0,68,56,37,29
