country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Portugal,Liga Portugal,SL Benfica,1,Anatoliy Trubin,Goalkeeper,"Aug 1, 2001 (23)",€28.00m,2001,28000.0,84,36,39,76
Portugal,Liga Portugal,SL Benfica,24,Samuel Soares,Goalkeeper,"Jun 15, 2002 (23)",€4.00m,2002,4000.0,74,32,34,67
Portugal,Liga Portugal,SL Benfica,4,António Silva,Centre-Back,"Oct 30, 2003 (21)",€32.00m,2003,32000.0,84,39,44,69
Portugal,Liga Portugal,SL Benfica,44,Tomás Araújo,Centre-Back,"May 16, 2002 (23)",€32.00m,2002,32000.0,85,39,44,70
Portugal,Liga Portugal,SL Benfica,30,Nicolás Otamendi,Centre-Back,"Feb 12, 1988 (37)",€1.00m,1988,1000.0,67,31,35,55
Portugal,Liga Portugal,SL Benfica,26,Samuel Dahl,Left-Back,"Mar 4, 2003 (22)",€7.00m,2003,7000.0,76,37,42,58
Portugal,Liga Portugal,SL Benfica,-,Rafa Obrador,Left-Back,"Feb 24, 2004 (21)",€500k,2004,500.0,62,30,34,47
Portugal,Liga Portugal,SL Benfica,17,Amar Dedic,Right-Back,"Aug 18, 2002 (22)",€12.00m,2002,12000.0,80,39,44,61
Portugal,Liga Portugal,SL Benfica,6,Alexander Bah,Right-Back,"Dec 9, 1997 (27)",€10.00m,1997,10000.0,79,39,43,60
Portugal,Liga Portugal,SL Benfica,71,Leandro Santos,Right-Back,"Sep 28, 2005 (19)",€1.00m,2005,1000.0,65,32,36,49
Portugal,Liga Portugal,SL Benfica,61,Florentino,Defensive Midfield,"Aug 19, 1999 (25)",€22.00m,1999,22000.0,83,43,43,53
Portugal,Liga Portugal,SL Benfica,20,Richard Ríos,Defensive Midfield,"Jun 2, 2000 (25)",€16.00m,2000,16000.0,81,42,42,52
Portugal,Liga Portugal,SL Benfica,5,Enzo Barrenechea,Defensive Midfield,"May 22, 2001 (24)",€10.00m,2001,10000.0,79,41,41,51
Portugal,Liga Portugal,SL Benfica,16,Manu Silva,Defensive Midfield,"Jun 12, 2001 (24)",€10.00m,2001,10000.0,79,41,41,51
Portugal,Liga Portugal,SL Benfica,8,Fredrik Aursnes,Central Midfield,"Dec 10, 1995 (29)",€20.00m,1995,20000.0,83,48,53,48
Portugal,Liga Portugal,SL Benfica,18,Leandro Barreiro,Central Midfield,"Jan 3, 2000 (25)",€15.00m,2000,15000.0,81,47,52,47
Portugal,Liga Portugal,SL Benfica,-,Martim Neto,Central Midfield,"Jan 14, 2003 (22)",€2.50m,2003,2500.0,71,41,45,41
Portugal,Liga Portugal,SL Benfica,84,João Rego,Attacking Midfield,"Jun 20, 2005 (20)",€3.00m,2005,3000.0,71,48,43,37
Portugal,Liga Portugal,SL Benfica,7,Kerem Aktürkoğlu,Left Winger,"Oct 21, 1998 (26)",€24.00m,1998,24000.0,84,64,49,39
Portugal,Liga Portugal,SL Benfica,21,Andreas Schjelderup,Left Winger,"Jun 1, 2004 (21)",€15.00m,2004,15000.0,80,61,46,37
Portugal,Liga Portugal,SL Benfica,27,Bruma,Left Winger,"Oct 24, 1994 (30)",€7.00m,1994,7000.0,77,59,45,35
Portugal,Liga Portugal,SL Benfica,25,Gianluca Prestianni,Right Winger,"Jan 31, 2006 (19)",€8.00m,2006,8000.0,76,58,44,35
Portugal,Liga Portugal,SL Benfica,47,Tiago Gouveia,Right Winger,"Jun 18, 2001 (24)",€4.00m,2001,4000.0,74,56,43,34
Portugal,Liga Portugal,SL Benfica,14,Vangelis Pavlidis,Centre-Forward,"Nov 21, 1998 (26)",€35.00m,1998,35000.0,86,71,47,37
Portugal,Liga Portugal,SL Benfica,-,Henrique Araújo,Centre-Forward,"Jan 19, 2002 (23)",€2.00m,2002,2000.0,70,57,38,30
