country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Russia,Premier Liga,CSKA Moscow,35,Igor Akinfeev,Goalkeeper,"Apr 8, 1986 (39)",€1.00m,1986,1000.0,68,29,31,62
Russia,Premier Liga,CSKA Moscow,49,Vladislav Torop,Goalkeeper,"Nov 7, 2003 (21)",€1.00m,2003,1000.0,66,28,30,60
Russia,Premier Liga,CSKA Moscow,78,Igor Diveev,Centre-Back,"Sep 27, 1999 (25)",€8.00m,1999,8000.0,78,36,41,64
Russia,Premier Liga,CSKA Moscow,4,Willyan Rocha,Centre-Back,"Jan 27, 1995 (30)",€6.00m,1995,6000.0,76,35,40,62
Russia,Premier Liga,CSKA Moscow,90,Matvey Lukin,Centre-Back,"Apr 27, 2004 (21)",€1.20m,2004,1200.0,67,31,35,55
Russia,Premier Liga,CSKA Moscow,77,Ilya Agapov,Centre-Back,"Jan 21, 2001 (24)",€1.00m,2001,1000.0,66,30,34,54
Russia,Premier Liga,CSKA Moscow,23,Dzhamalutdin Abdulkadyrov,Centre-Back,"Mar 23, 2005 (20)",€800k,2005,800.0,64,29,33,52
Russia,Premier Liga,CSKA Moscow,27,Moisés,Left-Back,"Mar 11, 1995 (30)",€5.00m,1995,5000.0,76,37,42,58
Russia,Premier Liga,CSKA Moscow,3,Danil Krugovoy,Left-Back,"May 28, 1998 (27)",€2.80m,1998,2800.0,72,35,40,55
Russia,Premier Liga,CSKA Moscow,68,Mikhail Ryadno,Left-Back,"Sep 18, 2005 (19)",€800k,2005,800.0,64,31,35,49
Russia,Premier Liga,CSKA Moscow,96,Amirhossein Reyvandi,Left-Back,"Mar 8, 2004 (21)",€100k,2004,100.0,53,26,29,40
Russia,Premier Liga,CSKA Moscow,13,Khellven,Right-Back,"Feb 25, 2001 (24)",€5.00m,2001,5000.0,75,37,41,57
Russia,Premier Liga,CSKA Moscow,22,Milan Gajic,Right-Back,"Jan 28, 1996 (29)",€4.00m,1996,4000.0,74,36,41,56
Russia,Premier Liga,CSKA Moscow,5,Rodrigo Villagra,Defensive Midfield,"Feb 14, 2001 (24)",€4.00m,2001,4000.0,74,38,38,47
Russia,Premier Liga,CSKA Moscow,6,Maksim Mukhin,Defensive Midfield,"Nov 4, 2001 (23)",€1.50m,2001,1500.0,69,36,36,44
Russia,Premier Liga,CSKA Moscow,70,Andrey Savinov,Defensive Midfield,"May 14, 2002 (23)",€200k,2002,200.0,58,30,30,37
Russia,Premier Liga,CSKA Moscow,52,Artem Bandikyan,Defensive Midfield,"Sep 20, 2005 (19)",€100k,2005,100.0,53,28,28,34
Russia,Premier Liga,CSKA Moscow,31,Matvey Kislyak,Central Midfield,"Jul 26, 2005 (20)",€8.00m,2005,8000.0,76,44,49,44
Russia,Premier Liga,CSKA Moscow,19,Sid Ahmed Aissaoui,Central Midfield,"Jan 11, 2005 (20)",€50k,2005,50.0,49,28,31,28
Russia,Premier Liga,CSKA Moscow,10,Ivan Oblyakov,Attacking Midfield,"Jul 5, 1998 (27)",€9.00m,1998,9000.0,78,52,48,41
Russia,Premier Liga,CSKA Moscow,21,Abbosbek Fayzullaev,Attacking Midfield,"Oct 3, 2003 (21)",€8.00m,2003,8000.0,77,52,47,40
Russia,Premier Liga,CSKA Moscow,7,Matheus Alves,Attacking Midfield,"Mar 5, 2005 (20)",€3.50m,2005,3500.0,72,48,44,37
Russia,Premier Liga,CSKA Moscow,17,Kirill Glebov,Right Winger,"Nov 10, 2005 (19)",€1.50m,2005,1500.0,67,51,39,31
Russia,Premier Liga,CSKA Moscow,14,Egor Ushakov,Right Winger,"Dec 2, 2002 (22)",€150k,2002,150.0,56,43,32,26
Russia,Premier Liga,CSKA Moscow,9,Alerrandro,Centre-Forward,"Jan 12, 2000 (25)",€3.50m,2000,3500.0,73,60,40,31
Russia,Premier Liga,CSKA Moscow,11,Tamerlan Musaev,Centre-Forward,"Jul 29, 2001 (23)",€3.50m,2001,3500.0,73,60,40,31
Russia,Premier Liga,CSKA Moscow,20,Sékou Koïta,Centre-Forward,"Nov 28, 1999 (25)",€3.50m,1999,3500.0,73,60,40,31
Russia,Premier Liga,CSKA Moscow,38,Adolfo Gaich,Centre-Forward,"Feb 26, 1999 (26)",€1.40m,1999,1400.0,68,56,37,29
Russia,Premier Liga,CSKA Moscow,8,Artem Shumanskiy,Centre-Forward,"Nov 25, 2004 (20)",€700k,2004,700.0,64,52,35,28
