country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Russia,Premier Liga,FC Sochi,35,Aleksandr Degtev,Goalkeeper,"Apr 27, 2005 (20)",€500k,2005,500.0,62,27,29,56
Russia,Premier Liga,FC Sochi,-,Yuriy Dyupin,Goalkeeper,"Mar 17, 1988 (37)",€300k,1988,300.0,61,26,28,56
Russia,Premier Liga,FC Sochi,1,Maksim Rudakov,Goalkeeper,"Jan 22, 1996 (29)",€300k,1996,300.0,60,26,28,55
Russia,Premier Liga,FC Sochi,16,Nikita Karabashev,Goalkeeper,"Jun 30, 2002 (23)",€200k,2002,200.0,58,25,27,53
Russia,Premier Liga,FC Sochi,12,Nikolay Zabolotnyi,Goalkeeper,"Apr 16, 1990 (35)",€125k,1990,125.0,56,24,26,51
Russia,Premier Liga,FC Sochi,4,Vyacheslav Litvinov,Centre-Back,"Apr 1, 2001 (24)",€800k,2001,800.0,65,30,34,53
Russia,Premier Liga,FC Sochi,5,Nabil Aberdin,Centre-Back,"Aug 23, 2002 (22)",€700k,2002,700.0,64,29,33,52
Russia,Premier Liga,FC Sochi,22,Oleg Kozhemyakin,Centre-Back,"May 30, 1995 (30)",€500k,1995,500.0,63,29,33,52
Russia,Premier Liga,FC Sochi,33,Marcelo Alves,Centre-Back,"Feb 7, 1998 (27)",€500k,1998,500.0,63,29,33,52
Russia,Premier Liga,FC Sochi,55,Lazar Stojsavljevic,Centre-Back,"May 5, 1998 (27)",€200k,1998,200.0,58,27,30,48
Russia,Premier Liga,FC Sochi,37,Makar Chirkov,Centre-Back,"Jan 28, 2005 (20)",€75k,2005,75.0,51,23,27,42
Russia,Premier Liga,FC Sochi,25,Yahia Attiyat Allah,Left-Back,"Mar 2, 1995 (30)",€2.00m,1995,2000.0,71,35,39,54
Russia,Premier Liga,FC Sochi,17,Artem Makarchuk,Left-Back,"Nov 9, 1995 (29)",€1.20m,1995,1200.0,68,33,37,52
Russia,Premier Liga,FC Sochi,15,Solomon Agbalaka,Left-Back,"Nov 9, 2003 (21)",€50k,2003,50.0,50,24,28,38
Russia,Premier Liga,FC Sochi,82,Sergey Volkov,Right-Back,"Sep 9, 2002 (22)",€3.00m,2002,3000.0,72,35,40,55
Russia,Premier Liga,FC Sochi,27,Kirill Zaika,Right-Back,"Oct 7, 1992 (32)",€450k,1992,450.0,63,31,35,48
Russia,Premier Liga,FC Sochi,28,Ruslan Magal,Right-Back,"Sep 24, 1991 (33)",€250k,1991,250.0,60,29,33,46
Russia,Premier Liga,FC Sochi,6,Ignacio Saavedra,Defensive Midfield,"Jan 12, 1999 (26)",€1.50m,1999,1500.0,69,36,36,44
Russia,Premier Liga,FC Sochi,14,Kirill Kravtsov,Defensive Midfield,"Jun 14, 2002 (23)",€1.50m,2002,1500.0,68,35,35,44
Russia,Premier Liga,FC Sochi,13,Maksim Kaynov,Defensive Midfield,"Mar 24, 2002 (23)",€1.00m,2002,1000.0,66,34,34,42
Russia,Premier Liga,FC Sochi,34,Aleksandr Osipov,Defensive Midfield,"Oct 21, 1998 (26)",€750k,1998,750.0,65,34,34,42
Russia,Premier Liga,FC Sochi,20,Dmitriy Vasiljev,Defensive Midfield,"Jun 16, 2004 (21)",€600k,2004,600.0,63,33,33,40
Russia,Premier Liga,FC Sochi,72,Ruslan Shagiakhmetov,Defensive Midfield,"Dec 19, 2003 (21)",€25k,2003,25.0,46,24,24,29
Russia,Premier Liga,FC Sochi,19,Aleksandr Kovalenko,Central Midfield,"Aug 8, 2003 (21)",€1.50m,2003,1500.0,68,39,44,39
Russia,Premier Liga,FC Sochi,-,Victorien Angban,Central Midfield,"Sep 29, 1996 (28)",€400k,1996,400.0,62,36,40,36
Russia,Premier Liga,FC Sochi,-,Amir Batyrev,Central Midfield,"Mar 11, 2002 (23)",€225k,2002,225.0,58,34,37,34
Russia,Premier Liga,FC Sochi,8,Mikhail Ignatov,Attacking Midfield,"May 4, 2000 (25)",€1.00m,2000,1000.0,67,45,41,35
Russia,Premier Liga,FC Sochi,7,Anton Zinkovskiy,Left Winger,"Apr 14, 1996 (29)",€2.50m,1996,2500.0,72,55,42,33
Russia,Premier Liga,FC Sochi,10,Martin Kramaric,Left Winger,"Nov 14, 1997 (27)",€900k,1997,900.0,66,50,38,30
Russia,Premier Liga,FC Sochi,30,Kirill Nikitin,Left Winger,"May 20, 2003 (22)",€350k,2003,350.0,60,46,35,28
Russia,Premier Liga,FC Sochi,97,Roman Pasevich,Left Winger,"Nov 28, 1999 (25)",€350k,1999,350.0,61,46,35,28
Russia,Premier Liga,FC Sochi,18,Artem Korneev,Left Winger,"Mar 25, 2006 (19)",-,2006,91.0,52,40,30,24
Russia,Premier Liga,FC Sochi,29,Roman Ezhov,Right Winger,"Sep 2, 1997 (27)",€1.80m,1997,1800.0,70,53,41,32
Russia,Premier Liga,FC Sochi,59,Ruslan Bart,Right Winger,"Nov 16, 2005 (19)",€350k,2005,350.0,60,46,35,28
Russia,Premier Liga,FC Sochi,23,Saúl Guarirapa,Centre-Forward,"Oct 18, 2002 (22)",€1.50m,2002,1500.0,68,56,37,29
Russia,Premier Liga,FC Sochi,11,Pavel Meleshin,Centre-Forward,"Mar 25, 2004 (21)",€800k,2004,800.0,64,52,35,28
Russia,Premier Liga,FC Sochi,9,Zakhar Fedorov,Centre-Forward,"Dec 24, 2004 (20)",€350k,2004,350.0,60,49,33,26
