country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Russia,Premier Liga,Spartak Moscow,98,Aleksandr Maksimenko,Goalkeeper,"Mar 19, 1998 (27)",€4.50m,1998,4500.0,75,32,34,68
Russia,Premier Liga,Spartak Moscow,1,Ilya Pomazun,Goalkeeper,"Aug 16, 1996 (28)",€1.20m,1996,1200.0,68,29,31,62
Russia,Premier Liga,Spartak Moscow,56,Aleksandr Dovbnya,Goalkeeper,"Apr 10, 1987 (38)",€50k,1987,50.0,52,22,24,47
Russia,Premier Liga,Spartak Moscow,6,Srdjan Babic,Centre-Back,"Apr 22, 1996 (29)",€6.00m,1996,6000.0,76,35,40,62
Russia,Premier Liga,Spartak Moscow,68,Ruslan Litvinov,Centre-Back,"Aug 18, 2001 (23)",€5.00m,2001,5000.0,75,34,39,62
Russia,Premier Liga,Spartak Moscow,4,Alexis Duarte,Centre-Back,"Mar 12, 2000 (25)",€3.00m,2000,3000.0,72,33,37,59
Russia,Premier Liga,Spartak Moscow,23,Nikita Chernov,Centre-Back,"Jan 14, 1996 (29)",€1.50m,1996,1500.0,69,32,36,57
Russia,Premier Liga,Spartak Moscow,2,Oleg Reabciuk,Left-Back,"Jan 16, 1998 (27)",€4.00m,1998,4000.0,74,36,41,56
Russia,Premier Liga,Spartak Moscow,29,Ricardo Mangas,Left-Back,"Mar 19, 1998 (27)",€2.50m,1998,2500.0,72,35,40,55
Russia,Premier Liga,Spartak Moscow,97,Daniil Denisov,Right-Back,"Oct 21, 2002 (22)",€4.00m,2002,4000.0,74,36,41,56
Russia,Premier Liga,Spartak Moscow,82,Daniil Khlusevich,Right-Back,"Feb 26, 2001 (24)",€3.50m,2001,3500.0,73,36,40,55
Russia,Premier Liga,Spartak Moscow,35,Christopher Martins,Defensive Midfield,"Feb 19, 1997 (28)",€6.00m,1997,6000.0,76,40,40,49
Russia,Premier Liga,Spartak Moscow,18,Nail Umyarov,Defensive Midfield,"Jun 27, 2000 (25)",€4.00m,2000,4000.0,74,38,38,47
Russia,Premier Liga,Spartak Moscow,13,Maksim Laykin,Defensive Midfield,"May 31, 2003 (22)",€300k,2003,300.0,60,31,31,38
Russia,Premier Liga,Spartak Moscow,25,Danil Prutsev,Central Midfield,"Mar 25, 2000 (25)",€4.00m,2000,4000.0,74,43,47,43
Russia,Premier Liga,Spartak Moscow,47,Roman Zobnin,Central Midfield,"Feb 11, 1994 (31)",€3.00m,1994,3000.0,73,42,47,42
Russia,Premier Liga,Spartak Moscow,5,Esequiel Barco,Attacking Midfield,"Mar 29, 1999 (26)",€14.00m,1999,14000.0,81,54,49,42
Russia,Premier Liga,Spartak Moscow,28,Daniil Zorin,Attacking Midfield,"Feb 22, 2004 (21)",€700k,2004,700.0,64,43,39,33
Russia,Premier Liga,Spartak Moscow,10,Marquinhos,Left Winger,"Oct 23, 1999 (25)",€6.00m,1999,6000.0,76,58,44,35
Russia,Premier Liga,Spartak Moscow,27,Igor Dmitriev,Left Winger,"Jul 24, 2004 (21)",€1.00m,2004,1000.0,66,50,38,30
Russia,Premier Liga,Spartak Moscow,7,Pablo Solari,Right Winger,"Mar 22, 2001 (24)",€7.00m,2001,7000.0,77,59,45,35
Russia,Premier Liga,Spartak Moscow,77,Théo Bongonda,Right Winger,"Nov 20, 1995 (29)",€6.00m,1995,6000.0,76,58,44,35
Russia,Premier Liga,Spartak Moscow,19,Jesús Medina,Right Winger,"Apr 30, 1997 (28)",€3.00m,1997,3000.0,73,55,42,34
Russia,Premier Liga,Spartak Moscow,24,Nikita Massalyga,Right Winger,"Oct 9, 2007 (17)",€100k,2007,100.0,52,40,30,24
Russia,Premier Liga,Spartak Moscow,9,Manfred Ugalde,Centre-Forward,"May 25, 2002 (23)",€15.00m,2002,15000.0,81,66,45,35
Russia,Premier Liga,Spartak Moscow,11,Levi García,Centre-Forward,"Nov 20, 1997 (27)",€12.00m,1997,12000.0,80,66,44,34
Russia,Premier Liga,Spartak Moscow,91,Anton Zabolotnyi,Centre-Forward,"Jun 13, 1991 (34)",€700k,1991,700.0,65,53,36,28
