country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Scotland,Scottish Premiership,Rangers FC,1,Jack Butland,Goalkeeper,"Mar 10, 1993 (32)",€1.50m,1993,1500.0,69,30,32,63
Scotland,Scottish Premiership,Rangers FC,31,Liam Kelly,Goalkeeper,"Jan 23, 1996 (29)",€800k,1996,800.0,66,28,30,60
Scotland,Scottish Premiership,Rangers FC,32,Kieran Wright,Goalkeeper,"Apr 1, 1999 (26)",€50k,1999,50.0,51,22,23,46
Scotland,Scottish Premiership,Rangers FC,24,Nasser Djiga,Centre-Back,"Nov 15, 2002 (22)",€10.00m,2002,10000.0,79,36,41,65
Scotland,Scottish Premiership,Rangers FC,5,John Souttar,Centre-Back,"Sep 25, 1996 (28)",€4.00m,1996,4000.0,74,34,38,61
Scotland,Scottish Premiership,Rangers FC,26,Ben Davies,Centre-Back,"Aug 11, 1995 (29)",€2.50m,1995,2500.0,72,33,37,59
Scotland,Scottish Premiership,Rangers FC,38,Leon King,Centre-Back,"Jan 14, 2004 (21)",€800k,2004,800.0,64,29,33,52
Scotland,Scottish Premiership,Rangers FC,19,Clinton Nsiala,Centre-Back,"Jan 17, 2004 (21)",€500k,2004,500.0,62,29,32,51
Scotland,Scottish Premiership,Rangers FC,37,Emmanuel Fernandez,Centre-Back,"Nov 20, 2001 (23)",€350k,2001,350.0,61,28,32,50
Scotland,Scottish Premiership,Rangers FC,22,Jefté,Left-Back,"Dec 21, 2003 (21)",€4.00m,2003,4000.0,73,36,40,55
Scotland,Scottish Premiership,Rangers FC,33,Rıdvan Yılmaz,Left-Back,"May 21, 2001 (24)",€3.50m,2001,3500.0,73,36,40,55
Scotland,Scottish Premiership,Rangers FC,47,Robbie Fraser,Left-Back,"Apr 2, 2003 (22)",€100k,2003,100.0,54,26,30,41
Scotland,Scottish Premiership,Rangers FC,3,Max Aarons,Right-Back,"Jan 4, 2000 (25)",€6.00m,2000,6000.0,76,37,42,58
Scotland,Scottish Premiership,Rangers FC,21,Dujon Sterling,Right-Back,"Oct 24, 1999 (25)",€3.50m,1999,3500.0,73,36,40,55
Scotland,Scottish Premiership,Rangers FC,2,James Tavernier,Right-Back,"Oct 31, 1991 (33)",€1.50m,1991,1500.0,69,34,38,52
Scotland,Scottish Premiership,Rangers FC,49,Bailey Rice,Defensive Midfield,"Oct 4, 2006 (18)",€800k,2006,800.0,64,33,33,41
Scotland,Scottish Premiership,Rangers FC,43,Nicolas Raskin,Central Midfield,"Feb 23, 2001 (24)",€10.00m,2001,10000.0,79,46,51,46
Scotland,Scottish Premiership,Rangers FC,10,Mohamed Diomandé,Central Midfield,"Oct 30, 2001 (23)",€8.00m,2001,8000.0,77,45,49,45
Scotland,Scottish Premiership,Rangers FC,15,José Cifuentes,Central Midfield,"Mar 12, 1999 (26)",€5.00m,1999,5000.0,75,44,48,44
Scotland,Scottish Premiership,Rangers FC,8,Connor Barron,Central Midfield,"Aug 29, 2002 (22)",€2.50m,2002,2500.0,71,41,45,41
Scotland,Scottish Premiership,Rangers FC,6,Joe Rothwell,Central Midfield,"Jan 11, 1995 (30)",€1.80m,1995,1800.0,70,41,45,41
Scotland,Scottish Premiership,Rangers FC,14,Nedim Bajrami,Attacking Midfield,"Feb 28, 1999 (26)",€3.00m,1999,3000.0,72,48,44,37
Scotland,Scottish Premiership,Rangers FC,11,Thelo Aasgaard,Attacking Midfield,"May 2, 2002 (23)",€2.00m,2002,2000.0,70,47,43,36
Scotland,Scottish Premiership,Rangers FC,16,Lyall Cameron,Attacking Midfield,"Oct 10, 2002 (22)",€1.80m,2002,1800.0,69,46,42,36
Scotland,Scottish Premiership,Rangers FC,20,Kieran Dowell,Attacking Midfield,"Oct 10, 1997 (27)",€1.00m,1997,1000.0,67,45,41,35
Scotland,Scottish Premiership,Rangers FC,7,Óscar Cortés,Left Winger,"Dec 3, 2003 (21)",€3.00m,2003,3000.0,72,55,42,33
Scotland,Scottish Premiership,Rangers FC,23,Djeidi Gassama,Left Winger,"Sep 10, 2003 (21)",€2.00m,2003,2000.0,70,53,41,32
Scotland,Scottish Premiership,Rangers FC,17,Rabbi Matondo,Right Winger,"Sep 9, 2000 (24)",€1.50m,2000,1500.0,69,52,40,32
Scotland,Scottish Premiership,Rangers FC,45,Ross McCausland,Right Winger,"May 12, 2003 (22)",€1.00m,2003,1000.0,66,50,38,30
Scotland,Scottish Premiership,Rangers FC,29,Hamza Igamane,Centre-Forward,"Nov 2, 2002 (22)",€7.00m,2002,7000.0,77,63,42,33
Scotland,Scottish Premiership,Rangers FC,9,Cyriel Dessers,Centre-Forward,"Dec 8, 1994 (30)",€4.00m,1994,4000.0,74,61,41,32
Scotland,Scottish Premiership,Rangers FC,99,Danilo,Centre-Forward,"Apr 7, 1999 (26)",€2.00m,1999,2000.0,70,57,38,30
