country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,Athletic Bilbao,1,Unai Simón,Goalkeeper,"Jun 11, 1997 (28)",€28.00m,1997,28000.0,85,37,39,77
Spain,LaLiga,Athletic Bilbao,-,Álex Padilla,Goalkeeper,"Sep 1, 2003 (21)",€3.00m,2003,3000.0,72,31,33,66
Spain,LaLiga,Athletic Bilbao,3,Dani Vivian,Centre-Back,"Jul 5, 1999 (26)",€40.00m,1999,40000.0,86,40,45,71
Spain,LaLiga,Athletic Bilbao,4,Aitor Paredes,Centre-Back,"Apr 29, 2000 (25)",€22.00m,2000,22000.0,83,38,43,68
Spain,LaLiga,Athletic Bilbao,5,Yeray Álvarez,Centre-Back,"Jan 24, 1995 (30)",€7.00m,1995,7000.0,77,35,40,63
Spain,LaLiga,Athletic Bilbao,-,Unai Egiluz,Centre-Back,"Mar 19, 2002 (23)",€600k,2002,600.0,64,29,33,52
Spain,LaLiga,Athletic Bilbao,32,Adama Boiro,Left-Back,"Jun 22, 2002 (23)",€2.50m,2002,2500.0,71,35,39,54
Spain,LaLiga,Athletic Bilbao,17,Yuri Berchiche,Left-Back,"Feb 10, 1990 (35)",€1.40m,1990,1400.0,69,34,38,52
Spain,LaLiga,Athletic Bilbao,-,Jesús Areso,Right-Back,"Jul 2, 1999 (26)",€12.00m,1999,12000.0,80,39,44,61
Spain,LaLiga,Athletic Bilbao,2,Andoni Gorosabel,Right-Back,"Aug 4, 1996 (28)",€5.00m,1996,5000.0,75,37,41,57
Spain,LaLiga,Athletic Bilbao,-,Hugo Rincón,Right-Back,"Jan 27, 2003 (22)",€2.00m,2003,2000.0,70,34,38,53
Spain,LaLiga,Athletic Bilbao,15,Iñigo Lekue,Right-Back,"May 4, 1993 (32)",€2.00m,1993,2000.0,71,35,39,54
Spain,LaLiga,Athletic Bilbao,6,Mikel Vesga,Defensive Midfield,"Apr 8, 1993 (32)",€2.50m,1993,2500.0,72,37,37,46
Spain,LaLiga,Athletic Bilbao,23,Mikel Jauregizar,Central Midfield,"Nov 13, 2003 (21)",€30.00m,2003,30000.0,84,49,54,49
Spain,LaLiga,Athletic Bilbao,24,Beñat Prados,Central Midfield,"Feb 8, 2001 (24)",€18.00m,2001,18000.0,82,48,52,48
Spain,LaLiga,Athletic Bilbao,16,Iñigo Ruiz de Galarreta,Central Midfield,"Aug 6, 1993 (31)",€3.00m,1993,3000.0,73,42,47,42
Spain,LaLiga,Athletic Bilbao,-,Unai Vencedor,Central Midfield,"Nov 15, 2000 (24)",€2.20m,2000,2200.0,71,41,45,41
Spain,LaLiga,Athletic Bilbao,8,Oihan Sancet,Attacking Midfield,"Apr 25, 2000 (25)",€60.00m,2000,60000.0,88,59,54,46
Spain,LaLiga,Athletic Bilbao,20,Unai Gómez,Attacking Midfield,"May 25, 2003 (22)",€6.00m,2003,6000.0,76,51,46,40
Spain,LaLiga,Athletic Bilbao,28,Peio Canales,Attacking Midfield,"Jan 17, 2005 (20)",€1.00m,2005,1000.0,65,44,40,34
Spain,LaLiga,Athletic Bilbao,10,Nico Williams,Left Winger,"Jul 12, 2002 (23)",€70.00m,2002,70000.0,89,68,52,41
Spain,LaLiga,Athletic Bilbao,7,Álex Berenguer,Left Winger,"Jul 4, 1995 (30)",€9.00m,1995,9000.0,79,60,46,36
Spain,LaLiga,Athletic Bilbao,11,Álvaro Djaló,Left Winger,"Aug 16, 1999 (25)",€5.00m,1999,5000.0,75,57,44,34
Spain,LaLiga,Athletic Bilbao,-,Nico Serrano,Left Winger,"Mar 5, 2003 (22)",€1.20m,2003,1200.0,67,51,39,31
Spain,LaLiga,Athletic Bilbao,9,Iñaki Williams,Right Winger,"Jun 15, 1994 (31)",€15.00m,1994,15000.0,81,62,47,37
Spain,LaLiga,Athletic Bilbao,-,Robert Navarro,Right Winger,"Apr 12, 2002 (23)",€6.00m,2002,6000.0,76,58,44,35
Spain,LaLiga,Athletic Bilbao,-,Adu Ares,Right Winger,"Oct 12, 2001 (23)",€1.60m,2001,1600.0,69,52,40,32
Spain,LaLiga,Athletic Bilbao,21,Maroan Sannadi,Centre-Forward,"Feb 1, 2001 (24)",€10.00m,2001,10000.0,79,65,43,34
Spain,LaLiga,Athletic Bilbao,12,Gorka Guruzeta,Centre-Forward,"Sep 12, 1996 (28)",€9.00m,1996,9000.0,79,65,43,34
Spain,LaLiga,Athletic Bilbao,-,Urko Izeta,Centre-Forward,"Sep 29, 1999 (25)",€2.00m,1999,2000.0,70,57,38,30
