country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,Atlético de Madrid,13,Jan Oblak,Goalkeeper,"Jan 7, 1993 (32)",€20.00m,1993,20000.0,83,36,38,76
Spain,LaLiga,Atlético de Madrid,1,Juan Musso,Goalkeeper,"May 6, 1994 (31)",€3.50m,1994,3500.0,74,32,34,67
Spain,LaLiga,Atlético de Madrid,24,Robin Le Normand,Centre-Back,"Nov 11, 1996 (28)",€40.00m,1996,40000.0,87,40,45,71
Spain,LaLiga,Atlético de Madrid,-,Dávid Hancko,Centre-Back,"Dec 13, 1997 (27)",€30.00m,1997,30000.0,85,39,44,70
Spain,LaLiga,Atlético de Madrid,2,José María Giménez,Centre-Back,"Jan 20, 1995 (30)",€20.00m,1995,20000.0,83,38,43,68
Spain,LaLiga,Atlético de Madrid,15,Clément Lenglet,Centre-Back,"Jun 17, 1995 (30)",€7.50m,1995,7500.0,78,36,41,64
Spain,LaLiga,Atlético de Madrid,-,Matteo Ruggeri,Left-Back,"Jul 11, 2002 (23)",€16.00m,2002,16000.0,81,40,45,62
Spain,LaLiga,Atlético de Madrid,21,Javi Galán,Left-Back,"Nov 19, 1994 (30)",€4.00m,1994,4000.0,74,36,41,56
Spain,LaLiga,Atlético de Madrid,16,Nahuel Molina,Right-Back,"Apr 6, 1998 (27)",€20.00m,1998,20000.0,83,41,46,63
Spain,LaLiga,Atlético de Madrid,-,Marc Pubill,Right-Back,"Jun 20, 2003 (22)",€4.00m,2003,4000.0,73,36,40,55
Spain,LaLiga,Atlético de Madrid,8,Pablo Barrios,Central Midfield,"Jun 15, 2003 (22)",€55.00m,2003,55000.0,87,50,56,50
Spain,LaLiga,Atlético de Madrid,4,Conor Gallagher,Central Midfield,"Feb 6, 2000 (25)",€40.00m,2000,40000.0,86,50,55,50
Spain,LaLiga,Atlético de Madrid,-,Johnny Cardoso,Central Midfield,"Sep 20, 2001 (23)",€25.00m,2001,25000.0,84,49,54,49
Spain,LaLiga,Atlético de Madrid,5,Rodrigo De Paul,Central Midfield,"May 24, 1994 (31)",€25.00m,1994,25000.0,84,49,54,49
Spain,LaLiga,Atlético de Madrid,6,Koke,Central Midfield,"Jan 8, 1992 (33)",€8.00m,1992,8000.0,78,45,50,45
Spain,LaLiga,Atlético de Madrid,14,Marcos Llorente,Right Midfield,"Jan 30, 1995 (30)",€25.00m,1995,25000.0,84,49,54,49
Spain,LaLiga,Atlético de Madrid,-,Thiago Almada,Attacking Midfield,"Apr 26, 2001 (24)",€25.00m,2001,25000.0,84,56,51,44
Spain,LaLiga,Atlético de Madrid,11,Thomas Lemar,Attacking Midfield,"Nov 12, 1995 (29)",€5.00m,1995,5000.0,76,51,46,40
Spain,LaLiga,Atlético de Madrid,-,Álex Baena,Left Winger,"Jul 20, 2001 (24)",€55.00m,2001,55000.0,88,67,51,40
Spain,LaLiga,Atlético de Madrid,12,Samuel Lino,Left Winger,"Dec 23, 1999 (25)",€22.00m,1999,22000.0,83,63,48,38
Spain,LaLiga,Atlético de Madrid,22,Giuliano Simeone,Right Winger,"Dec 18, 2002 (22)",€35.00m,2002,35000.0,85,65,49,39
Spain,LaLiga,Atlético de Madrid,7,Antoine Griezmann,Second Striker,"Mar 21, 1991 (34)",€18.00m,1991,18000.0,83,66,48,36
Spain,LaLiga,Atlético de Madrid,19,Julián Alvarez,Centre-Forward,"Jan 31, 2000 (25)",€100.00m,2000,100000.0,91,75,50,39
Spain,LaLiga,Atlético de Madrid,9,Alexander Sørloth,Centre-Forward,"Dec 5, 1995 (29)",€25.00m,1995,25000.0,84,69,46,36
Spain,LaLiga,Atlético de Madrid,-,Carlos Martín,Centre-Forward,"Apr 22, 2002 (23)",€2.80m,2002,2800.0,72,59,40,31
