country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,Celta de Vigo,13,Ionuț Radu,Goalkeeper,"May 28, 1997 (28)",€2.50m,1997,2500.0,72,31,33,66
Spain,LaLiga,Celta de Vigo,1,Iván Villar,Goalkeeper,"Jul 9, 1997 (28)",€900k,1997,900.0,66,28,30,60
Spain,LaLiga,Celta de Vigo,32,Javi Rodríguez,Centre-Back,"Jun 27, 2003 (22)",€15.00m,2003,15000.0,80,37,42,66
Spain,LaLiga,Celta de Vigo,2,Carl Starfelt,Centre-Back,"Jun 1, 1995 (30)",€6.00m,1995,6000.0,76,35,40,62
Spain,LaLiga,Celta de Vigo,24,Carlos Domínguez,Centre-Back,"Feb 11, 2001 (24)",€3.00m,2001,3000.0,72,33,37,59
Spain,LaLiga,Celta de Vigo,-,Joseph Aidoo,Centre-Back,"Sep 29, 1995 (29)",€1.20m,1995,1200.0,68,31,35,56
Spain,LaLiga,Celta de Vigo,29,Yoel Lago,Centre-Back,"Mar 25, 2004 (21)",€1.00m,2004,1000.0,66,30,34,54
Spain,LaLiga,Celta de Vigo,-,Manu Fernández,Centre-Back,"Apr 23, 2001 (24)",€200k,2001,200.0,58,27,30,48
Spain,LaLiga,Celta de Vigo,20,Marcos Alonso,Left-Back,"Dec 28, 1990 (34)",€1.50m,1990,1500.0,70,34,38,53
Spain,LaLiga,Celta de Vigo,21,Mihailo Ristic,Left-Back,"Oct 31, 1995 (29)",€900k,1995,900.0,66,32,36,50
Spain,LaLiga,Celta de Vigo,3,Óscar Mingueza,Right-Back,"May 13, 1999 (26)",€20.00m,1999,20000.0,83,41,46,63
Spain,LaLiga,Celta de Vigo,5,Sergio Carreira,Right-Back,"Oct 13, 2000 (24)",€4.00m,2000,4000.0,74,36,41,56
Spain,LaLiga,Celta de Vigo,-,Javi Rueda,Right-Back,"May 8, 2002 (23)",€800k,2002,800.0,65,32,36,49
Spain,LaLiga,Celta de Vigo,14,Damián Rodríguez,Defensive Midfield,"Mar 17, 2003 (22)",€3.00m,2003,3000.0,72,37,37,46
Spain,LaLiga,Celta de Vigo,8,Fran Beltrán,Central Midfield,"Feb 3, 1999 (26)",€8.00m,1999,8000.0,78,45,50,45
Spain,LaLiga,Celta de Vigo,6,Ilaix Moriba,Central Midfield,"Jan 19, 2003 (22)",€6.00m,2003,6000.0,76,44,49,44
Spain,LaLiga,Celta de Vigo,22,Hugo Sotelo,Central Midfield,"Dec 19, 2003 (21)",€4.00m,2003,4000.0,73,42,47,42
Spain,LaLiga,Celta de Vigo,23,Hugo Álvarez,Left Winger,"Jul 2, 2003 (22)",€7.50m,2003,7500.0,77,59,45,35
Spain,LaLiga,Celta de Vigo,19,Williot Swedberg,Left Winger,"Feb 1, 2004 (21)",€5.00m,2004,5000.0,74,56,43,34
Spain,LaLiga,Celta de Vigo,11,Franco Cervi,Left Winger,"May 26, 1994 (31)",€800k,1994,800.0,66,50,38,30
Spain,LaLiga,Celta de Vigo,9,Ferran Jutglà,Centre-Forward,"Feb 1, 1999 (26)",€8.00m,1999,8000.0,78,64,43,34
Spain,LaLiga,Celta de Vigo,18,Pablo Durán,Centre-Forward,"May 25, 2001 (24)",€3.50m,2001,3500.0,73,60,40,31
Spain,LaLiga,Celta de Vigo,10,Iago Aspas,Centre-Forward,"Aug 1, 1987 (37)",€2.00m,1987,2000.0,71,58,39,31
