country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,Elche CF,-,Alejandro Iturbe,Goalkeeper,"Sep 2, 2003 (21)",€2.00m,2003,2000.0,70,30,32,64
Spain,LaLiga,Elche CF,13,Matías Dituro,Goalkeeper,"May 8, 1987 (38)",€200k,1987,200.0,59,25,27,54
Spain,LaLiga,Elche CF,22,David Affengruber,Centre-Back,"Mar 19, 2001 (24)",€5.00m,2001,5000.0,75,34,39,62
Spain,LaLiga,Elche CF,4,Bambo Diaby,Centre-Back,"Dec 17, 1997 (27)",€800k,1997,800.0,66,30,34,54
Spain,LaLiga,Elche CF,5,John Donald,Centre-Back,"Sep 25, 2000 (24)",€800k,2000,800.0,65,30,34,53
Spain,LaLiga,Elche CF,-,Matia Barzic,Centre-Back,"May 31, 2004 (21)",€500k,2004,500.0,62,29,32,51
Spain,LaLiga,Elche CF,6,Pedro Bigas,Centre-Back,"May 15, 1990 (35)",€450k,1990,450.0,63,29,33,52
Spain,LaLiga,Elche CF,-,Léo Pétrot,Left-Back,"Apr 15, 1997 (28)",€900k,1997,900.0,66,32,36,50
Spain,LaLiga,Elche CF,3,Jairo Izquierdo,Left-Back,"Oct 22, 1993 (31)",€600k,1993,600.0,64,31,35,49
Spain,LaLiga,Elche CF,15,Álvaro Núñez,Right-Back,"Jul 7, 2000 (25)",€1.50m,2000,1500.0,69,34,38,52
Spain,LaLiga,Elche CF,8,Marc Aguado,Defensive Midfield,"Feb 22, 2000 (25)",€1.40m,2000,1400.0,68,35,35,44
Spain,LaLiga,Elche CF,14,Aleix Febas,Central Midfield,"Feb 2, 1996 (29)",€2.20m,1996,2200.0,71,41,45,41
Spain,LaLiga,Elche CF,30,Rodrigo Mendoza,Central Midfield,"Mar 15, 2005 (20)",€1.00m,2005,1000.0,65,38,42,38
Spain,LaLiga,Elche CF,24,Yago Santiago,Left Winger,"Apr 15, 2003 (22)",€800k,2003,800.0,65,49,38,30
Spain,LaLiga,Elche CF,-,Rafa Núñez,Left Winger,"Jan 25, 2002 (23)",€300k,2002,300.0,60,46,35,28
Spain,LaLiga,Elche CF,20,Germán Valera,Right Winger,"Mar 16, 2002 (23)",€1.50m,2002,1500.0,68,52,39,31
Spain,LaLiga,Elche CF,17,Josan,Right Winger,"Dec 3, 1989 (35)",€450k,1989,450.0,63,48,37,29
Spain,LaLiga,Elche CF,32,Adam Boayar,Second Striker,"Oct 13, 2005 (19)",€500k,2005,500.0,62,49,36,27
Spain,LaLiga,Elche CF,-,Álvaro Rodríguez,Centre-Forward,"Jul 14, 2004 (21)",€2.50m,2004,2500.0,71,58,39,31
Spain,LaLiga,Elche CF,19,Mourad El Ghezouani,Centre-Forward,"May 27, 1998 (27)",€1.40m,1998,1400.0,68,56,37,29
