country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,FC Barcelona,-,Joan García,Goalkeeper,"May 4, 2001 (24)",€25.00m,2001,25000.0,84,36,39,76
Spain,LaLiga,FC Barcelona,1,Marc-André ter Stegen,Goalkeeper,"Apr 30, 1992 (33)",€12.00m,1992,12000.0,80,34,37,73
Spain,LaLiga,FC Barcelona,13,Iñaki Peña,Goalkeeper,"Mar 2, 1999 (26)",€8.00m,1999,8000.0,78,34,36,71
Spain,LaLiga,FC Barcelona,25,Wojciech Szczesny,Goalkeeper,"Apr 18, 1990 (35)",€1.00m,1990,1000.0,67,29,31,61
Spain,LaLiga,FC Barcelona,2,Pau Cubarsí,Centre-Back,"Jan 22, 2007 (18)",€80.00m,2007,80000.0,88,40,46,72
Spain,LaLiga,FC Barcelona,4,Ronald Araujo,Centre-Back,"Mar 7, 1999 (26)",€35.00m,1999,35000.0,86,40,45,71
Spain,LaLiga,FC Barcelona,24,Eric García,Centre-Back,"Jan 9, 2001 (24)",€18.00m,2001,18000.0,82,38,43,67
Spain,LaLiga,FC Barcelona,15,Andreas Christensen,Centre-Back,"Apr 10, 1996 (29)",€12.00m,1996,12000.0,80,37,42,66
Spain,LaLiga,FC Barcelona,5,Iñigo Martínez,Centre-Back,"May 17, 1991 (34)",€5.00m,1991,5000.0,76,35,40,62
Spain,LaLiga,FC Barcelona,3,Alejandro Balde,Left-Back,"Oct 18, 2003 (21)",€60.00m,2003,60000.0,88,43,48,67
Spain,LaLiga,FC Barcelona,-,Gerard Martín,Left-Back,"Feb 26, 2002 (23)",€12.00m,2002,12000.0,80,39,44,61
Spain,LaLiga,FC Barcelona,23,Jules Koundé,Right-Back,"Nov 12, 1998 (26)",€65.00m,1998,65000.0,89,44,49,68
Spain,LaLiga,FC Barcelona,32,Héctor Fort,Right-Back,"Aug 2, 2006 (18)",€10.00m,2006,10000.0,77,38,42,59
Spain,LaLiga,FC Barcelona,17,Marc Casadó,Defensive Midfield,"Sep 14, 2003 (21)",€30.00m,2003,30000.0,84,44,44,54
Spain,LaLiga,FC Barcelona,28,Marc Bernal,Defensive Midfield,"May 26, 2007 (18)",€5.00m,2007,5000.0,73,38,38,47
Spain,LaLiga,FC Barcelona,-,Oriol Romeu,Defensive Midfield,"Sep 24, 1991 (33)",€1.20m,1991,1200.0,68,35,35,44
Spain,LaLiga,FC Barcelona,8,Pedri,Central Midfield,"Nov 25, 2002 (22)",€140.00m,2002,140000.0,93,54,60,54
Spain,LaLiga,FC Barcelona,6,Gavi,Central Midfield,"Aug 5, 2004 (20)",€60.00m,2004,60000.0,87,50,56,50
Spain,LaLiga,FC Barcelona,21,Frenkie de Jong,Central Midfield,"May 12, 1997 (28)",€45.00m,1997,45000.0,87,50,56,50
Spain,LaLiga,FC Barcelona,20,Dani Olmo,Attacking Midfield,"May 7, 1998 (27)",€60.00m,1998,60000.0,89,60,54,46
Spain,LaLiga,FC Barcelona,16,Fermín López,Attacking Midfield,"May 11, 2003 (22)",€50.00m,2003,50000.0,87,58,53,45
Spain,LaLiga,FC Barcelona,11,Raphinha,Left Winger,"Dec 14, 1996 (28)",€90.00m,1996,90000.0,91,69,53,42
Spain,LaLiga,FC Barcelona,14,Marcus Rashford,Left Winger,"Oct 31, 1997 (27)",€50.00m,1997,50000.0,88,67,51,40
Spain,LaLiga,FC Barcelona,10,Lamine Yamal,Right Winger,"Jul 13, 2007 (18)",€200.00m,2007,200000.0,93,71,54,43
Spain,LaLiga,FC Barcelona,7,Ferran Torres,Centre-Forward,"Feb 29, 2000 (25)",€40.00m,2000,40000.0,86,71,47,37
Spain,LaLiga,FC Barcelona,9,Robert Lewandowski,Centre-Forward,"Aug 21, 1988 (36)",€12.00m,1988,12000.0,81,66,45,35
