country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,RCD Espanyol Barcelona,-,Marko Dmitrovic,Goalkeeper,"Jan 24, 1992 (33)",€800k,1992,800.0,66,28,30,60
Spain,LaLiga,RCD Espanyol Barcelona,33,Ángel Fortuño,Goalkeeper,"Oct 5, 2001 (23)",€300k,2001,300.0,60,26,28,55
Spain,LaLiga,RCD Espanyol Barcelona,-,Miguel Rubio,Centre-Back,"Mar 11, 1998 (27)",€2.00m,1998,2000.0,70,32,36,57
Spain,LaLiga,RCD Espanyol Barcelona,5,Fernando Calero,Centre-Back,"Sep 14, 1995 (29)",€1.50m,1995,1500.0,69,32,36,57
Spain,LaLiga,RCD Espanyol Barcelona,6,Leandro Cabrera,Centre-Back,"Jun 17, 1991 (34)",€1.00m,1991,1000.0,67,31,35,55
Spain,LaLiga,RCD Espanyol Barcelona,-,Hugo Pérez,Centre-Back,"Dec 16, 2002 (22)",€200k,2002,200.0,58,27,30,48
Spain,LaLiga,RCD Espanyol Barcelona,24,Pablo Ramón,Centre-Back,"Jun 30, 2001 (24)",€100k,2001,100.0,54,25,28,44
Spain,LaLiga,RCD Espanyol Barcelona,22,Carlos Romero,Left-Back,"Oct 29, 2001 (23)",€5.00m,2001,5000.0,75,37,41,57
Spain,LaLiga,RCD Espanyol Barcelona,-,José Salinas,Left-Back,"Sep 30, 2000 (24)",€3.00m,2000,3000.0,72,35,40,55
Spain,LaLiga,RCD Espanyol Barcelona,23,Omar El Hilali,Right-Back,"Sep 12, 2003 (21)",€15.00m,2003,15000.0,80,39,44,61
Spain,LaLiga,RCD Espanyol Barcelona,-,Rubén Sánchez,Right-Back,"Feb 4, 2001 (24)",€1.00m,2001,1000.0,66,32,36,50
Spain,LaLiga,RCD Espanyol Barcelona,10,Pol Lozano,Central Midfield,"Oct 6, 1999 (25)",€5.00m,1999,5000.0,75,44,48,44
Spain,LaLiga,RCD Espanyol Barcelona,-,Ramón Terrats,Central Midfield,"Oct 18, 2000 (24)",€4.00m,2000,4000.0,74,43,47,43
Spain,LaLiga,RCD Espanyol Barcelona,8,Edu Expósito,Central Midfield,"Aug 1, 1996 (28)",€3.00m,1996,3000.0,73,42,47,42
Spain,LaLiga,RCD Espanyol Barcelona,15,José Gragera,Central Midfield,"May 14, 2000 (25)",€2.00m,2000,2000.0,70,41,45,41
Spain,LaLiga,RCD Espanyol Barcelona,35,Rafel Bauzà,Central Midfield,"Jan 30, 2005 (20)",€200k,2005,200.0,57,33,36,33
Spain,LaLiga,RCD Espanyol Barcelona,-,Javi Hernández,Attacking Midfield,"Jan 30, 2004 (21)",€500k,2004,500.0,62,42,38,32
Spain,LaLiga,RCD Espanyol Barcelona,7,Javi Puado,Left Winger,"May 25, 1998 (27)",€10.00m,1998,10000.0,79,60,46,36
Spain,LaLiga,RCD Espanyol Barcelona,11,Pere Milla,Left Winger,"Sep 23, 1992 (32)",€1.20m,1992,1200.0,68,52,39,31
Spain,LaLiga,RCD Espanyol Barcelona,-,Tyrhys Dolan,Right Winger,"Dec 28, 2001 (23)",€7.00m,2001,7000.0,77,59,45,35
Spain,LaLiga,RCD Espanyol Barcelona,17,Jofre Carreras,Right Winger,"Jun 17, 2001 (24)",€3.00m,2001,3000.0,72,55,42,33
Spain,LaLiga,RCD Espanyol Barcelona,31,Antoniu Roca,Right Winger,"Sep 5, 2002 (22)",€1.80m,2002,1800.0,69,52,40,32
Spain,LaLiga,RCD Espanyol Barcelona,9,Roberto Fernández,Centre-Forward,"Jul 3, 2002 (23)",€6.00m,2002,6000.0,76,62,42,33
Spain,LaLiga,RCD Espanyol Barcelona,-,Kike García,Centre-Forward,"Nov 25, 1989 (35)",€900k,1989,900.0,67,55,37,29
Spain,LaLiga,RCD Espanyol Barcelona,-,Gastón Valles,Centre-Forward,"May 10, 2001 (24)",€600k,2001,600.0,64,52,35,28
Spain,LaLiga,RCD Espanyol Barcelona,-,Marcos Fernández,Centre-Forward,"May 17, 2003 (22)",€400k,2003,400.0,61,50,34,26
