country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,Rayo Vallecano,13,Augusto Batalla,Goalkeeper,"Apr 30, 1996 (29)",€6.00m,1996,6000.0,76,33,35,69
Spain,LaLiga,Rayo Vallecano,1,Dani Cárdenas,Goalkeeper,"Mar 28, 1997 (28)",€1.80m,1997,1800.0,70,30,32,64
Spain,LaLiga,Rayo Vallecano,-,Luiz Felipe,Centre-Back,"Mar 22, 1997 (28)",€5.00m,1997,5000.0,75,34,39,62
Spain,LaLiga,Rayo Vallecano,16,Abdul Mumin,Centre-Back,"Jun 6, 1998 (27)",€5.00m,1998,5000.0,75,34,39,62
Spain,LaLiga,Rayo Vallecano,24,Florian Lejeune,Centre-Back,"May 20, 1991 (34)",€2.50m,1991,2500.0,72,33,37,59
Spain,LaLiga,Rayo Vallecano,27,Pelayo Fernández,Centre-Back,"Apr 29, 2003 (22)",€500k,2003,500.0,62,29,32,51
Spain,LaLiga,Rayo Vallecano,3,Pep Chavarría,Left-Back,"Apr 10, 1998 (27)",€5.00m,1998,5000.0,75,37,41,57
Spain,LaLiga,Rayo Vallecano,22,Alfonso Espino,Left-Back,"Jan 5, 1992 (33)",€1.20m,1992,1200.0,68,33,37,52
Spain,LaLiga,Rayo Vallecano,2,Andrei Rațiu,Right-Back,"Jun 20, 1998 (27)",€12.00m,1998,12000.0,80,39,44,61
Spain,LaLiga,Rayo Vallecano,20,Iván Balliu,Right-Back,"Jan 1, 1992 (33)",€1.40m,1992,1400.0,69,34,38,52
Spain,LaLiga,Rayo Vallecano,-,Gerard Gumbau,Defensive Midfield,"Dec 18, 1994 (30)",€1.50m,1994,1500.0,69,36,36,44
Spain,LaLiga,Rayo Vallecano,4,Pedro Díaz,Central Midfield,"Jun 5, 1998 (27)",€3.00m,1998,3000.0,73,42,47,42
Spain,LaLiga,Rayo Vallecano,17,Unai López,Central Midfield,"Oct 30, 1995 (29)",€2.50m,1995,2500.0,72,42,46,42
Spain,LaLiga,Rayo Vallecano,23,Óscar Valentín,Central Midfield,"Aug 20, 1994 (30)",€2.50m,1994,2500.0,72,42,46,42
Spain,LaLiga,Rayo Vallecano,6,Pathé Ciss,Central Midfield,"Mar 16, 1994 (31)",€2.00m,1994,2000.0,71,41,45,41
Spain,LaLiga,Rayo Vallecano,11,Randy Nteka,Attacking Midfield,"Dec 6, 1997 (27)",€1.50m,1997,1500.0,69,46,42,36
Spain,LaLiga,Rayo Vallecano,8,Oscar Trejo,Attacking Midfield,"Apr 26, 1988 (37)",€500k,1988,500.0,64,43,39,33
Spain,LaLiga,Rayo Vallecano,18,Álvaro García,Left Winger,"Oct 27, 1992 (32)",€2.00m,1992,2000.0,71,54,41,33
Spain,LaLiga,Rayo Vallecano,19,Jorge de Frutos,Right Winger,"Feb 20, 1997 (28)",€4.00m,1997,4000.0,74,56,43,34
Spain,LaLiga,Rayo Vallecano,7,Isi Palazón,Second Striker,"Dec 27, 1994 (30)",€3.50m,1994,3500.0,74,58,43,32
Spain,LaLiga,Rayo Vallecano,14,Sergio Camello,Centre-Forward,"Feb 10, 2001 (24)",€3.00m,2001,3000.0,72,59,40,31
Spain,LaLiga,Rayo Vallecano,-,Etienne Eto'o,Centre-Forward,"Aug 18, 2002 (22)",€200k,2002,200.0,58,48,32,25
