country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,Real Oviedo,-,Horațiu Moldovan,Goalkeeper,"Jan 20, 1998 (27)",€2.20m,1998,2200.0,71,31,33,65
Spain,LaLiga,Real Oviedo,13,Aarón Escandell,Goalkeeper,"Sep 27, 1995 (29)",€1.00m,1995,1000.0,67,29,31,61
Spain,LaLiga,Real Oviedo,4,David Costas,Centre-Back,"Mar 26, 1995 (30)",€1.40m,1995,1400.0,69,32,36,57
Spain,LaLiga,Real Oviedo,12,Dani Calvo,Centre-Back,"Apr 1, 1994 (31)",€1.20m,1994,1200.0,68,31,35,56
Spain,LaLiga,Real Oviedo,15,Oier Luengo,Centre-Back,"Nov 11, 1997 (27)",€1.00m,1997,1000.0,67,31,35,55
Spain,LaLiga,Real Oviedo,3,Rahim Alhassane,Left-Back,"Jan 1, 2002 (23)",€1.20m,2002,1200.0,67,33,37,51
Spain,LaLiga,Real Oviedo,21,Carlos Pomares,Left-Back,"Dec 5, 1992 (32)",€300k,1992,300.0,61,30,34,46
Spain,LaLiga,Real Oviedo,5,Nacho Vidal,Right-Back,"Jan 24, 1995 (30)",€1.80m,1995,1800.0,70,34,38,53
Spain,LaLiga,Real Oviedo,24,Lucas Ahijado,Right-Back,"Jan 30, 1995 (30)",€800k,1995,800.0,66,32,36,50
Spain,LaLiga,Real Oviedo,2,Álvaro Lemos,Right-Back,"Mar 30, 1993 (32)",€500k,1993,500.0,63,31,35,48
Spain,LaLiga,Real Oviedo,-,Santiago Colombatto,Defensive Midfield,"Jan 17, 1997 (28)",€3.00m,1997,3000.0,73,38,38,47
Spain,LaLiga,Real Oviedo,-,Alberto Reina,Central Midfield,"Nov 19, 1997 (27)",€1.50m,1997,1500.0,69,40,44,40
Spain,LaLiga,Real Oviedo,6,Kwasi Sibo,Central Midfield,"Jun 24, 1998 (27)",€1.00m,1998,1000.0,67,39,43,39
Spain,LaLiga,Real Oviedo,-,Alberto del Moral,Central Midfield,"Jul 20, 2000 (25)",€800k,2000,800.0,65,38,42,38
Spain,LaLiga,Real Oviedo,-,Yayo González,Central Midfield,"Jul 30, 2004 (20)",€250k,2004,250.0,58,34,37,34
Spain,LaLiga,Real Oviedo,8,Santi Cazorla,Central Midfield,"Dec 13, 1984 (40)",€200k,1984,200.0,59,34,38,34
Spain,LaLiga,Real Oviedo,-,Luka Ilic,Attacking Midfield,"Jul 2, 1999 (26)",€2.00m,1999,2000.0,70,47,43,36
Spain,LaLiga,Real Oviedo,-,Brandon Dominguès,Attacking Midfield,"Jun 6, 2000 (25)",€700k,2000,700.0,65,44,40,34
Spain,LaLiga,Real Oviedo,27,Álex Cardero,Attacking Midfield,"Aug 25, 2003 (21)",€400k,2003,400.0,61,41,37,32
Spain,LaLiga,Real Oviedo,-,Ilyas Chaira,Left Winger,"Feb 2, 2001 (24)",€2.50m,2001,2500.0,71,54,41,33
Spain,LaLiga,Real Oviedo,-,Borja Sánchez,Left Winger,"Feb 26, 1996 (29)",€1.00m,1996,1000.0,67,51,39,31
Spain,LaLiga,Real Oviedo,23,Haissem Hassan,Right Winger,"Feb 8, 2002 (23)",€2.50m,2002,2500.0,71,54,41,33
Spain,LaLiga,Real Oviedo,18,Paulino de la Fuente,Right Winger,"Jun 27, 1997 (28)",€1.40m,1997,1400.0,69,52,40,32
Spain,LaLiga,Real Oviedo,-,Federico Viñas,Centre-Forward,"Jun 30, 1998 (27)",€2.00m,1998,2000.0,70,57,38,30
Spain,LaLiga,Real Oviedo,14,Daniel Paraschiv,Centre-Forward,"Apr 24, 1999 (26)",€1.00m,1999,1000.0,67,55,37,29
Spain,LaLiga,Real Oviedo,-,Salomón Rondón,Centre-Forward,"Sep 16, 1989 (35)",€750k,1989,750.0,66,54,36,28
Spain,LaLiga,Real Oviedo,-,Álex Forés,Centre-Forward,"Apr 12, 2001 (24)",€700k,2001,700.0,65,53,36,28
