country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,Real Sociedad,1,Álex Remiro,Goalkeeper,"Mar 24, 1995 (30)",€18.00m,1995,18000.0,82,35,38,75
Spain,LaLiga,Real Sociedad,13,Unai Marrero,Goalkeeper,"Oct 9, 2001 (23)",€600k,2001,600.0,64,28,29,58
Spain,LaLiga,Real Sociedad,5,Igor Zubeldia,Centre-Back,"Mar 30, 1997 (28)",€12.00m,1997,12000.0,80,37,42,66
Spain,LaLiga,Real Sociedad,31,Jon Martín,Centre-Back,"Apr 23, 2006 (19)",€8.00m,2006,8000.0,76,35,40,62
Spain,LaLiga,Real Sociedad,20,Jon Pacheco,Centre-Back,"Jan 8, 2001 (24)",€6.00m,2001,6000.0,76,35,40,62
Spain,LaLiga,Real Sociedad,6,Aritz Elustondo,Centre-Back,"Mar 28, 1994 (31)",€3.00m,1994,3000.0,73,34,38,60
Spain,LaLiga,Real Sociedad,12,Javi López,Left-Back,"Mar 25, 2002 (23)",€7.50m,2002,7500.0,77,38,42,59
Spain,LaLiga,Real Sociedad,3,Aihen Muñoz,Left-Back,"Aug 16, 1997 (27)",€4.00m,1997,4000.0,74,36,41,56
Spain,LaLiga,Real Sociedad,19,Jon Aramburu,Right-Back,"Jul 23, 2002 (23)",€15.00m,2002,15000.0,81,40,45,62
Spain,LaLiga,Real Sociedad,18,Hamari Traoré,Right-Back,"Jan 27, 1992 (33)",€2.00m,1992,2000.0,71,35,39,54
Spain,LaLiga,Real Sociedad,2,Álvaro Odriozola,Right-Back,"Dec 14, 1995 (29)",€1.00m,1995,1000.0,67,33,37,51
Spain,LaLiga,Real Sociedad,-,Urko González de Zárate,Defensive Midfield,"Mar 20, 2001 (24)",€5.00m,2001,5000.0,75,39,39,48
Spain,LaLiga,Real Sociedad,-,Jon Gorrotxategi,Defensive Midfield,"Feb 2, 2002 (23)",€3.00m,2002,3000.0,72,37,37,46
Spain,LaLiga,Real Sociedad,24,Luka Sucic,Central Midfield,"Sep 8, 2002 (22)",€15.00m,2002,15000.0,81,47,52,47
Spain,LaLiga,Real Sociedad,22,Beñat Turrientes,Central Midfield,"Jan 31, 2002 (23)",€10.00m,2002,10000.0,79,46,51,46
Spain,LaLiga,Real Sociedad,23,Brais Méndez,Attacking Midfield,"Jan 7, 1997 (28)",€22.00m,1997,22000.0,83,56,51,43
Spain,LaLiga,Real Sociedad,8,Arsen Zakharyan,Attacking Midfield,"May 26, 2003 (22)",€9.00m,2003,9000.0,78,52,48,41
Spain,LaLiga,Real Sociedad,28,Pablo Marín,Attacking Midfield,"Jul 3, 2003 (22)",€8.00m,2003,8000.0,77,52,47,40
Spain,LaLiga,Real Sociedad,17,Sergio Gómez,Left Winger,"Sep 4, 2000 (24)",€20.00m,2000,20000.0,82,62,48,38
Spain,LaLiga,Real Sociedad,7,Ander Barrenetxea,Left Winger,"Dec 27, 2001 (23)",€15.00m,2001,15000.0,81,62,47,37
Spain,LaLiga,Real Sociedad,11,Sheraldo Becker,Left Winger,"Feb 9, 1995 (30)",€2.50m,1995,2500.0,72,55,42,33
Spain,LaLiga,Real Sociedad,40,Arkaitz Mariezkurrena,Left Winger,"Apr 5, 2005 (20)",€700k,2005,700.0,63,48,37,29
Spain,LaLiga,Real Sociedad,14,Takefusa Kubo,Right Winger,"Jun 4, 2001 (24)",€30.00m,2001,30000.0,85,65,49,39
Spain,LaLiga,Real Sociedad,-,Alberto Dadie,Right Winger,"Jul 20, 2002 (23)",€200k,2002,200.0,58,44,34,27
Spain,LaLiga,Real Sociedad,10,Mikel Oyarzabal,Centre-Forward,"Apr 21, 1997 (28)",€25.00m,1997,25000.0,84,69,46,36
Spain,LaLiga,Real Sociedad,9,Orri Óskarsson,Centre-Forward,"Aug 29, 2004 (20)",€15.00m,2004,15000.0,80,66,44,34
Spain,LaLiga,Real Sociedad,-,Umar Sadiq,Centre-Forward,"Feb 2, 1997 (28)",€5.00m,1997,5000.0,75,62,41,32
Spain,LaLiga,Real Sociedad,-,Jon Karrikaburu,Centre-Forward,"Sep 19, 2002 (22)",€2.50m,2002,2500.0,71,58,39,31
Spain,LaLiga,Real Sociedad,-,Carlos Fernández,Centre-Forward,"May 22, 1996 (29)",€1.00m,1996,1000.0,67,55,37,29
