country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,Sevilla FC,1,Álvaro Fernández,Goalkeeper,"Apr 13, 1998 (27)",€2.00m,1998,2000.0,70,30,32,64
Spain,LaLiga,Sevilla FC,13,Ørjan Nyland,Goalkeeper,"Sep 10, 1990 (34)",€900k,1990,900.0,67,29,31,61
Spain,LaLiga,Sevilla FC,22,Loïc Badé,Centre-Back,"Apr 11, 2000 (25)",€25.00m,2000,25000.0,84,39,44,69
Spain,LaLiga,Sevilla FC,4,Kike Salas,Centre-Back,"Apr 23, 2002 (23)",€8.00m,2002,8000.0,77,35,40,63
Spain,LaLiga,Sevilla FC,23,Marcão,Centre-Back,"Jun 5, 1996 (29)",€2.00m,1996,2000.0,71,33,37,58
Spain,LaLiga,Sevilla FC,24,Tanguy Nianzou,Centre-Back,"Jun 7, 2002 (23)",€1.50m,2002,1500.0,68,31,35,56
Spain,LaLiga,Sevilla FC,35,Ramón Martínez,Centre-Back,"Oct 22, 2002 (22)",€1.00m,2002,1000.0,66,30,34,54
Spain,LaLiga,Sevilla FC,3,Adrià Pedrosa,Left-Back,"May 13, 1998 (27)",€7.00m,1998,7000.0,77,38,42,59
Spain,LaLiga,Sevilla FC,-,Gabriel Suazo,Left-Back,"Aug 9, 1997 (27)",€4.00m,1997,4000.0,74,36,41,56
Spain,LaLiga,Sevilla FC,2,José Ángel Carmona,Right-Back,"Jan 29, 2002 (23)",€12.00m,2002,12000.0,80,39,44,61
Spain,LaLiga,Sevilla FC,26,Juanlu Sánchez,Right-Back,"Aug 15, 2003 (21)",€12.00m,2003,12000.0,79,39,43,60
Spain,LaLiga,Sevilla FC,18,Lucien Agoumé,Defensive Midfield,"Feb 9, 2002 (23)",€8.00m,2002,8000.0,77,40,40,49
Spain,LaLiga,Sevilla FC,6,Nemanja Gudelj,Defensive Midfield,"Nov 16, 1991 (33)",€3.00m,1991,3000.0,73,38,38,47
Spain,LaLiga,Sevilla FC,20,Djibril Sow,Central Midfield,"Feb 6, 1997 (28)",€7.50m,1997,7500.0,78,45,50,45
Spain,LaLiga,Sevilla FC,8,Joan Jordán,Central Midfield,"Jul 6, 1994 (31)",€2.50m,1994,2500.0,72,42,46,42
Spain,LaLiga,Sevilla FC,28,Manu Bueno,Central Midfield,"Jul 27, 2004 (20)",€1.50m,2004,1500.0,68,39,44,39
Spain,LaLiga,Sevilla FC,27,Stanis Idumbo,Attacking Midfield,"Jun 29, 2005 (20)",€2.50m,2005,2500.0,70,47,43,36
Spain,LaLiga,Sevilla FC,5,Rubén Vargas,Left Winger,"Aug 5, 1998 (26)",€7.00m,1998,7000.0,77,59,45,35
Spain,LaLiga,Sevilla FC,-,Alfon González,Left Winger,"May 4, 1999 (26)",€5.00m,1999,5000.0,75,57,44,34
Spain,LaLiga,Sevilla FC,21,Chidera Ejuke,Left Winger,"Jan 2, 1998 (27)",€4.00m,1998,4000.0,74,56,43,34
Spain,LaLiga,Sevilla FC,11,Dodi Lukébakio,Right Winger,"Sep 24, 1997 (27)",€20.00m,1997,20000.0,83,63,48,38
Spain,LaLiga,Sevilla FC,-,Adnan Januzaj,Right Winger,"Feb 5, 1995 (30)",€1.20m,1995,1200.0,68,52,39,31
Spain,LaLiga,Sevilla FC,14,Peque Fernández,Second Striker,"Oct 4, 2002 (22)",€3.50m,2002,3500.0,73,58,42,31
Spain,LaLiga,Sevilla FC,7,Isaac Romero,Centre-Forward,"May 18, 2000 (25)",€6.00m,2000,6000.0,76,62,42,33
Spain,LaLiga,Sevilla FC,15,Akor Adams,Centre-Forward,"Jan 29, 2000 (25)",€5.00m,2000,5000.0,75,62,41,32
Spain,LaLiga,Sevilla FC,-,Kelechi Iheanacho,Centre-Forward,"Oct 3, 1996 (28)",€4.50m,1996,4500.0,75,62,41,32
Spain,LaLiga,Sevilla FC,-,Rafa Mir,Centre-Forward,"Jun 18, 1997 (28)",€800k,1997,800.0,66,54,36,28
