country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,RCD Mallorca,1,Dominik Greif,Goalkeeper,"Apr 6, 1997 (28)",€6.00m,1997,6000.0,76,33,35,69
Spain,LaLiga,RCD Mallorca,13,Leo Román,Goalkeeper,"Jul 6, 2000 (25)",€5.00m,2000,5000.0,75,32,34,68
Spain,LaLiga,RCD Mallorca,-,Lucas Bergström,Goalkeeper,"Sep 5, 2002 (22)",€700k,2002,700.0,64,28,29,58
Spain,LaLiga,RCD Mallorca,25,Iván Cuéllar,Goalkeeper,"May 27, 1984 (41)",€100k,1984,100.0,55,24,25,50
Spain,LaLiga,RCD Mallorca,24,Martin Valjent,Centre-Back,"Dec 11, 1995 (29)",€6.00m,1995,6000.0,76,35,40,62
Spain,LaLiga,RCD Mallorca,6,José Copete,Centre-Back,"Oct 10, 1999 (25)",€3.00m,1999,3000.0,72,33,37,59
Spain,LaLiga,RCD Mallorca,21,Antonio Raíllo,Centre-Back,"Oct 8, 1991 (33)",€1.80m,1991,1800.0,70,32,36,57
Spain,LaLiga,RCD Mallorca,32,David López,Centre-Back,"Feb 3, 2003 (22)",€500k,2003,500.0,62,29,32,51
Spain,LaLiga,RCD Mallorca,22,Johan Mojica,Left-Back,"Aug 21, 1992 (32)",€2.00m,1992,2000.0,71,35,39,54
Spain,LaLiga,RCD Mallorca,3,Toni Lato,Left-Back,"Nov 21, 1997 (27)",€1.80m,1997,1800.0,70,34,38,53
Spain,LaLiga,RCD Mallorca,23,Pablo Maffeo,Right-Back,"Jul 12, 1997 (28)",€5.00m,1997,5000.0,75,37,41,57
Spain,LaLiga,RCD Mallorca,2,Mateu Morey,Right-Back,"Mar 2, 2000 (25)",€800k,2000,800.0,65,32,36,49
Spain,LaLiga,RCD Mallorca,12,Samú Costa,Defensive Midfield,"Nov 27, 2000 (24)",€15.00m,2000,15000.0,81,42,42,52
Spain,LaLiga,RCD Mallorca,5,Omar Mascarell,Defensive Midfield,"Feb 2, 1993 (32)",€900k,1993,900.0,67,35,35,43
Spain,LaLiga,RCD Mallorca,10,Sergi Darder,Central Midfield,"Dec 22, 1993 (31)",€4.00m,1993,4000.0,74,43,47,43
Spain,LaLiga,RCD Mallorca,8,Manu Morlanes,Central Midfield,"Jan 12, 1999 (26)",€2.50m,1999,2500.0,71,41,45,41
Spain,LaLiga,RCD Mallorca,18,Antonio Sánchez,Central Midfield,"Apr 22, 1997 (28)",€2.50m,1997,2500.0,72,42,46,42
Spain,LaLiga,RCD Mallorca,20,Pablo Torre,Attacking Midfield,"Apr 3, 2003 (22)",€6.00m,2003,6000.0,76,51,46,40
Spain,LaLiga,RCD Mallorca,14,Dani Rodríguez,Attacking Midfield,"Jun 6, 1988 (37)",€800k,1988,800.0,66,44,40,34
Spain,LaLiga,RCD Mallorca,-,Daniel Luna,Attacking Midfield,"May 7, 2003 (22)",€500k,2003,500.0,62,42,38,32
Spain,LaLiga,RCD Mallorca,-,Javi Llabrés,Left Winger,"Sep 11, 2002 (22)",€800k,2002,800.0,65,49,38,30
Spain,LaLiga,RCD Mallorca,11,Takuma Asano,Right Winger,"Nov 10, 1994 (30)",€2.50m,1994,2500.0,72,55,42,33
Spain,LaLiga,RCD Mallorca,7,Vedat Muriqi,Centre-Forward,"Apr 24, 1994 (31)",€5.00m,1994,5000.0,76,62,42,33
Spain,LaLiga,RCD Mallorca,17,Cyle Larin,Centre-Forward,"Apr 17, 1995 (30)",€3.50m,1995,3500.0,74,61,41,32
Spain,LaLiga,RCD Mallorca,9,Abdón Prats,Centre-Forward,"Dec 7, 1992 (32)",€1.20m,1992,1200.0,68,56,37,29
Spain,LaLiga,RCD Mallorca,30,Marc Domènech,Centre-Forward,"Dec 1, 2006 (18)",€1.00m,2006,1000.0,65,53,36,28
