country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Spain,LaLiga,Real Betis Balompié,-,Pau López,Goalkeeper,"Dec 13, 1994 (30)",€2.50m,1994,2500.0,72,31,33,66
Spain,LaLiga,Real Betis Balompié,-,Álvaro Valles,Goalkeeper,"Jul 25, 1997 (28)",€2.50m,1997,2500.0,72,31,33,66
Spain,LaLiga,Real Betis Balompié,25,Fran Vieites,Goalkeeper,"May 7, 1999 (26)",€2.00m,1999,2000.0,70,30,32,64
Spain,LaLiga,Real Betis Balompié,13,Adrián,Goalkeeper,"Jan 3, 1987 (38)",€500k,1987,500.0,64,28,29,58
Spain,LaLiga,Real Betis Balompié,-,Valentín Gómez,Centre-Back,"Jun 26, 2003 (22)",€10.00m,2003,10000.0,78,36,41,64
Spain,LaLiga,Real Betis Balompié,6,Natan,Centre-Back,"Feb 6, 2001 (24)",€9.00m,2001,9000.0,78,36,41,64
Spain,LaLiga,Real Betis Balompié,3,Diego Llorente,Centre-Back,"Aug 16, 1993 (31)",€6.00m,1993,6000.0,77,35,40,63
Spain,LaLiga,Real Betis Balompié,-,Nobel Mendy,Centre-Back,"Sep 3, 2004 (20)",€4.00m,2004,4000.0,73,34,38,60
Spain,LaLiga,Real Betis Balompié,5,Marc Bartra,Centre-Back,"Jan 15, 1991 (34)",€1.00m,1991,1000.0,67,31,35,55
Spain,LaLiga,Real Betis Balompié,4,Junior Firpo,Left-Back,"Aug 22, 1996 (28)",€8.00m,1996,8000.0,78,38,43,59
Spain,LaLiga,Real Betis Balompié,15,Romain Perraud,Left-Back,"Sep 22, 1997 (27)",€5.00m,1997,5000.0,75,37,41,57
Spain,LaLiga,Real Betis Balompié,12,Ricardo Rodríguez,Left-Back,"Aug 25, 1992 (32)",€2.00m,1992,2000.0,71,35,39,54
Spain,LaLiga,Real Betis Balompié,24,Aitor Ruibal,Right-Back,"Mar 22, 1996 (29)",€3.50m,1996,3500.0,74,36,41,56
Spain,LaLiga,Real Betis Balompié,40,Ángel Ortiz,Right-Back,"Jul 25, 2004 (21)",€2.50m,2004,2500.0,71,35,39,54
Spain,LaLiga,Real Betis Balompié,2,Héctor Bellerín,Right-Back,"Mar 19, 1995 (30)",€2.00m,1995,2000.0,71,35,39,54
Spain,LaLiga,Real Betis Balompié,21,Marc Roca,Defensive Midfield,"Nov 26, 1996 (28)",€6.00m,1996,6000.0,76,40,40,49
Spain,LaLiga,Real Betis Balompié,16,Sergi Altimira,Central Midfield,"Aug 25, 2001 (23)",€15.00m,2001,15000.0,81,47,52,47
Spain,LaLiga,Real Betis Balompié,18,Pablo Fornals,Central Midfield,"Feb 22, 1996 (29)",€6.00m,1996,6000.0,76,44,49,44
Spain,LaLiga,Real Betis Balompié,20,Giovani Lo Celso,Attacking Midfield,"Apr 9, 1996 (29)",€15.00m,1996,15000.0,81,54,49,42
Spain,LaLiga,Real Betis Balompié,22,Isco,Attacking Midfield,"Apr 21, 1992 (33)",€6.00m,1992,6000.0,77,52,47,40
Spain,LaLiga,Real Betis Balompié,-,Rodrigo Riquelme,Left Winger,"Apr 2, 2000 (25)",€12.00m,2000,12000.0,80,61,46,37
Spain,LaLiga,Real Betis Balompié,10,Abde Ezzalzouli,Left Winger,"Dec 17, 2001 (23)",€12.00m,2001,12000.0,80,61,46,37
Spain,LaLiga,Real Betis Balompié,-,Iker Losada,Second Striker,"Aug 1, 2001 (23)",€1.50m,2001,1500.0,69,55,40,30
Spain,LaLiga,Real Betis Balompié,19,Cucho Hernández,Centre-Forward,"Apr 20, 1999 (26)",€18.00m,1999,18000.0,82,67,45,35
Spain,LaLiga,Real Betis Balompié,-,Borja Iglesias,Centre-Forward,"Jan 17, 1993 (32)",€3.00m,1993,3000.0,73,60,40,31
Spain,LaLiga,Real Betis Balompié,9,Chimy Ávila,Centre-Forward,"Feb 6, 1994 (31)",€2.00m,1994,2000.0,71,58,39,31
Spain,LaLiga,Real Betis Balompié,-,Gonzalo Petit,Centre-Forward,"Sep 21, 2006 (18)",€1.50m,2006,1500.0,67,55,37,29
Spain,LaLiga,Real Betis Balompié,11,Cédric Bakambu,Centre-Forward,"Apr 11, 1991 (34)",€1.50m,1991,1500.0,69,57,38,30
