country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Switzerland,Super League,BSC Young Boys,1,Marvin Keller,Goalkeeper,"Jul 3, 2002 (23)",€9.00m,2002,9000.0,78,34,36,71
Switzerland,Super League,BSC Young Boys,26,David von Ballmoos,Goalkeeper,"Dec 30, 1994 (30)",€600k,1994,600.0,64,28,29,58
Switzerland,Super League,BSC Young Boys,18,Ardian Bajrami,Goalkeeper,"Mar 8, 2004 (21)",€200k,2004,200.0,57,25,26,52
Switzerland,Super League,BSC Young Boys,12,Heinz Lindner,Goalkeeper,"Jul 17, 1990 (35)",€100k,1990,100.0,55,24,25,50
Switzerland,Super League,BSC Young Boys,40,Dario Marzino,Goalkeeper,"Sep 19, 1996 (28)",€100k,1996,100.0,55,24,25,50
Switzerland,Super League,BSC Young Boys,5,Gregory Wüthrich,Centre-Back,"Dec 4, 1994 (30)",€3.50m,1994,3500.0,74,34,38,61
Switzerland,Super League,BSC Young Boys,4,Tanguy Zoukrou,Centre-Back,"May 7, 2003 (22)",€1.80m,2003,1800.0,69,32,36,57
Switzerland,Super League,BSC Young Boys,23,Loris Benito,Centre-Back,"Jan 7, 1992 (33)",€300k,1992,300.0,61,28,32,50
Switzerland,Super League,BSC Young Boys,55,Mats Seiler,Centre-Back,"Aug 4, 2005 (19)",€100k,2005,100.0,53,24,28,43
Switzerland,Super League,BSC Young Boys,3,Jaouen Hadjam,Left-Back,"Mar 26, 2003 (22)",€9.00m,2003,9000.0,78,38,43,59
Switzerland,Super League,BSC Young Boys,19,Noah Persson,Left-Back,"Jul 16, 2003 (22)",€1.50m,2003,1500.0,68,33,37,52
Switzerland,Super League,BSC Young Boys,66,Rhodri Smith,Left-Back,"Sep 9, 2006 (18)",€800k,2006,800.0,64,31,35,49
Switzerland,Super League,BSC Young Boys,24,Zachary Athekame,Right-Back,"Dec 13, 2004 (20)",€5.00m,2004,5000.0,74,36,41,56
Switzerland,Super League,BSC Young Boys,27,Lewin Blum,Right-Back,"Jul 27, 2001 (23)",€3.00m,2001,3000.0,72,35,40,55
Switzerland,Super League,BSC Young Boys,17,Saidy Janko,Right-Back,"Oct 22, 1995 (29)",€300k,1995,300.0,61,30,34,46
Switzerland,Super League,BSC Young Boys,6,Edimilson Fernandes,Defensive Midfield,"Apr 15, 1996 (29)",€3.00m,1996,3000.0,73,38,38,47
Switzerland,Super League,BSC Young Boys,14,Miguel Chaiwa,Defensive Midfield,"Jun 7, 2004 (21)",€1.20m,2004,1200.0,67,35,35,43
Switzerland,Super League,BSC Young Boys,30,Sandro Lauper,Defensive Midfield,"Oct 25, 1996 (28)",€900k,1996,900.0,66,34,34,42
Switzerland,Super League,BSC Young Boys,7,Filip Ugrinic,Central Midfield,"Jan 5, 1999 (26)",€7.00m,1999,7000.0,77,45,49,45
Switzerland,Super League,BSC Young Boys,8,Lukasz Lakomy,Central Midfield,"Jan 18, 2001 (24)",€3.50m,2001,3500.0,73,42,47,42
Switzerland,Super League,BSC Young Boys,10,Kastriot Imeri,Central Midfield,"Jun 27, 2000 (25)",€2.00m,2000,2000.0,70,41,45,41
Switzerland,Super League,BSC Young Boys,45,Rayan Raveloson,Central Midfield,"Jan 16, 1997 (28)",€2.00m,1997,2000.0,70,41,45,41
Switzerland,Super League,BSC Young Boys,77,Joël Monteiro,Right Midfield,"Aug 5, 1999 (25)",€6.00m,1999,6000.0,76,44,49,44
Switzerland,Super League,BSC Young Boys,39,Darian Males,Right Midfield,"May 3, 2001 (24)",€3.00m,2001,3000.0,72,42,46,42
Switzerland,Super League,BSC Young Boys,22,Donat Rrudhani,Right Midfield,"May 2, 1999 (26)",€1.80m,1999,1800.0,70,41,45,41
Switzerland,Super League,BSC Young Boys,21,Alan Virginius,Left Winger,"Jan 3, 2003 (22)",€3.00m,2003,3000.0,72,55,42,33
Switzerland,Super League,BSC Young Boys,11,Ebrima Colley,Right Winger,"Feb 1, 2000 (25)",€2.00m,2000,2000.0,70,53,41,32
Switzerland,Super League,BSC Young Boys,16,Christian Fassnacht,Right Winger,"Nov 11, 1993 (31)",€2.00m,1993,2000.0,71,54,41,33
Switzerland,Super League,BSC Young Boys,15,Meschack Elia,Centre-Forward,"Aug 6, 1997 (27)",€4.00m,1997,4000.0,74,61,41,32
Switzerland,Super League,BSC Young Boys,29,Chris Bedia,Centre-Forward,"Mar 5, 1996 (29)",€2.50m,1996,2500.0,72,59,40,31
Switzerland,Super League,BSC Young Boys,9,Cedric Itten,Centre-Forward,"Dec 27, 1996 (28)",€1.50m,1996,1500.0,69,57,38,30
Switzerland,Super League,BSC Young Boys,31,Facinet Conte,Centre-Forward,"Mar 24, 2005 (20)",€800k,2005,800.0,64,52,35,28
Switzerland,Super League,BSC Young Boys,25,Felix Emmanuel Tsimba,Centre-Forward,"Jun 22, 2006 (19)",€500k,2006,500.0,61,50,34,26
