country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Switzerland,Super League,FC Basel 1893,16,Tim Spycher,Goalkeeper,"Apr 13, 2004 (21)",€200k,2004,200.0,57,25,26,52
Switzerland,Super League,FC Basel 1893,1,Marwin Hitz,Goalkeeper,"Sep 18, 1987 (37)",€100k,1987,100.0,55,24,25,50
Switzerland,Super League,FC Basel 1893,13,Mirko Salvi,Goalkeeper,"Feb 14, 1994 (31)",€100k,1994,100.0,55,24,25,50
Switzerland,Super League,FC Basel 1893,47,Tim Pfeiffer,Goalkeeper,"May 12, 2005 (20)",€100k,2005,100.0,53,23,24,48
Switzerland,Super League,FC Basel 1893,32,Jonas Adjetey,Centre-Back,"Dec 13, 2003 (21)",€8.00m,2003,8000.0,77,35,40,63
Switzerland,Super League,FC Basel 1893,26,Adrian Leon Barisic,Centre-Back,"Jul 19, 2001 (24)",€5.00m,2001,5000.0,75,34,39,62
Switzerland,Super League,FC Basel 1893,25,Finn van Breemen,Centre-Back,"Feb 25, 2003 (22)",€4.50m,2003,4500.0,74,34,38,61
Switzerland,Super League,FC Basel 1893,3,Nicolas Vouilloz,Centre-Back,"May 11, 2001 (24)",€1.50m,2001,1500.0,69,32,36,57
Switzerland,Super League,FC Basel 1893,43,Marvin Akahomen,Centre-Back,"Jul 15, 2007 (18)",€500k,2007,500.0,61,28,32,50
Switzerland,Super League,FC Basel 1893,-,Daniel Asiedu,Centre-Back,"Jan 14, 2005 (20)",€100k,2005,100.0,53,24,28,43
Switzerland,Super League,FC Basel 1893,31,Dominik Schmid,Left-Back,"Mar 10, 1998 (27)",€4.00m,1998,4000.0,74,36,41,56
Switzerland,Super League,FC Basel 1893,29,Moussa Cissé,Left-Back,"Apr 29, 2003 (22)",€400k,2003,400.0,61,30,34,46
Switzerland,Super League,FC Basel 1893,-,Hugo Vogel,Left-Back,"Jan 4, 2004 (21)",€100k,2004,100.0,53,26,29,40
Switzerland,Super League,FC Basel 1893,6,Keigo Tsunemoto,Right-Back,"Oct 21, 1998 (26)",€3.50m,1998,3500.0,73,36,40,55
Switzerland,Super League,FC Basel 1893,27,Kevin Rüegg,Right-Back,"Aug 5, 1998 (26)",€500k,1998,500.0,63,31,35,48
Switzerland,Super League,FC Basel 1893,42,Evann Senaya,Right-Back,"Apr 1, 2006 (19)",€100k,2006,100.0,53,26,29,40
Switzerland,Super League,FC Basel 1893,8,Koba Koindredi,Central Midfield,"Oct 27, 2001 (23)",€4.50m,2001,4500.0,74,43,47,43
Switzerland,Super League,FC Basel 1893,5,Metinho,Central Midfield,"Apr 23, 2003 (22)",€3.00m,2003,3000.0,72,42,46,42
Switzerland,Super League,FC Basel 1893,21,Gabriel Sigua,Central Midfield,"Jun 30, 2005 (20)",€2.00m,2005,2000.0,69,40,44,40
Switzerland,Super League,FC Basel 1893,22,Léo Leroy,Central Midfield,"Feb 14, 2000 (25)",€2.00m,2000,2000.0,70,41,45,41
Switzerland,Super League,FC Basel 1893,28,Dion Kacuri,Central Midfield,"Feb 11, 2004 (21)",€1.00m,2004,1000.0,66,38,42,38
Switzerland,Super League,FC Basel 1893,18,Emmanuel Essiam,Central Midfield,"Dec 19, 2003 (21)",€500k,2003,500.0,62,36,40,36
Switzerland,Super League,FC Basel 1893,30,Anton Kade,Right Midfield,"Jan 17, 2004 (21)",€5.00m,2004,5000.0,74,43,47,43
Switzerland,Super League,FC Basel 1893,10,Xherdan Shaqiri,Attacking Midfield,"Oct 10, 1991 (33)",€2.00m,1991,2000.0,71,48,43,37
Switzerland,Super League,FC Basel 1893,-,Adriano Onyegbule,Attacking Midfield,"Jun 23, 2006 (19)",€400k,2006,400.0,60,40,37,31
Switzerland,Super League,FC Basel 1893,11,Bénie Traoré,Left Winger,"Nov 30, 2002 (22)",€10.00m,2002,10000.0,79,60,46,36
Switzerland,Super League,FC Basel 1893,7,Philip Otele,Left Winger,"Apr 15, 1999 (26)",€4.00m,1999,4000.0,74,56,43,34
Switzerland,Super League,FC Basel 1893,39,Junior Zé,Left Winger,"Mar 22, 2006 (19)",€400k,2006,400.0,60,46,35,28
Switzerland,Super League,FC Basel 1893,19,Marin Soticek,Right Winger,"Sep 18, 2004 (20)",€2.50m,2004,2500.0,71,54,41,33
Switzerland,Super League,FC Basel 1893,33,Juan Carlos Gauto,Right Winger,"Jun 2, 2004 (21)",€1.20m,2004,1200.0,67,51,39,31
Switzerland,Super League,FC Basel 1893,9,Kevin Carlos,Centre-Forward,"Apr 10, 2001 (24)",€4.50m,2001,4500.0,74,61,41,32
Switzerland,Super League,FC Basel 1893,23,Albian Ajeti,Centre-Forward,"Feb 26, 1997 (28)",€800k,1997,800.0,66,54,36,28
Switzerland,Super League,FC Basel 1893,17,Andrin Hunziker,Centre-Forward,"Feb 21, 2003 (22)",€600k,2003,600.0,63,52,35,27
Switzerland,Super League,FC Basel 1893,46,Kaio Eduardo,Centre-Forward,"Apr 29, 2005 (20)",€300k,2005,300.0,59,48,32,25
