country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Switzerland,Super League,FC Lausanne-Sport,25,Karlo Letica,Goalkeeper,"Feb 11, 1997 (28)",€1.20m,1997,1200.0,68,29,31,62
Switzerland,Super League,FC Lausanne-Sport,1,Thomas Castella,Goalkeeper,"Jun 30, 1993 (32)",€100k,1993,100.0,55,24,25,50
Switzerland,Super League,FC Lausanne-Sport,94,Tim Hottiger,Goalkeeper,"Mar 24, 2005 (20)",-,2005,88.0,52,22,24,47
Switzerland,Super League,FC Lausanne-Sport,71,Karim Sow,Centre-Back,"May 22, 2003 (22)",€5.00m,2003,5000.0,75,34,39,62
Switzerland,Super League,FC Lausanne-Sport,14,Kévin Mouanga,Centre-Back,"Jul 24, 2000 (25)",€1.00m,2000,1000.0,67,31,35,55
Switzerland,Super League,FC Lausanne-Sport,5,Bryan Okoh,Centre-Back,"May 16, 2003 (22)",€500k,2003,500.0,62,29,32,51
Switzerland,Super League,FC Lausanne-Sport,6,Noë Dussenne,Centre-Back,"Apr 7, 1992 (33)",€400k,1992,400.0,62,29,32,51
Switzerland,Super League,FC Lausanne-Sport,18,Morgan Poaty,Left-Back,"Jul 15, 1997 (28)",€800k,1997,800.0,66,32,36,50
Switzerland,Super League,FC Lausanne-Sport,93,Sékou Fofana,Left-Back,"Mar 25, 2003 (22)",€400k,2003,400.0,61,30,34,46
Switzerland,Super League,FC Lausanne-Sport,20,Hamza Abdallah,Right-Back,"Jun 13, 2003 (22)",€200k,2003,200.0,57,28,31,43
Switzerland,Super League,FC Lausanne-Sport,8,Jamie Roche,Defensive Midfield,"Apr 5, 2001 (24)",€4.50m,2001,4500.0,74,38,38,47
Switzerland,Super League,FC Lausanne-Sport,10,Olivier Custodio,Defensive Midfield,"Feb 10, 1995 (30)",€100k,1995,100.0,55,29,29,35
Switzerland,Super League,FC Lausanne-Sport,80,Alvyn Sanches,Central Midfield,"Feb 12, 2003 (22)",€14.00m,2003,14000.0,80,46,51,46
Switzerland,Super League,FC Lausanne-Sport,21,Diogo Carraco,Central Midfield,"Sep 13, 2002 (22)",€400k,2002,400.0,61,35,39,35
Switzerland,Super League,FC Lausanne-Sport,47,Souleymane N'Diaye,Central Midfield,"Nov 1, 2005 (19)",€200k,2005,200.0,57,33,36,33
Switzerland,Super League,FC Lausanne-Sport,2,Brandon Soppy,Right Midfield,"Feb 21, 2002 (23)",€1.00m,2002,1000.0,66,38,42,38
Switzerland,Super League,FC Lausanne-Sport,19,Ethan Bruchez,Attacking Midfield,"Apr 7, 2008 (17)",€100k,2008,100.0,52,35,32,27
Switzerland,Super League,FC Lausanne-Sport,23,Konrad de la Fuente,Left Winger,"Jul 16, 2001 (24)",€800k,2001,800.0,65,49,38,30
Switzerland,Super League,FC Lausanne-Sport,43,Manuel Polster,Left Winger,"Dec 23, 2002 (22)",€300k,2002,300.0,60,46,35,28
Switzerland,Super League,FC Lausanne-Sport,7,Alban Ajdini,Right Winger,"Jul 9, 1999 (26)",€900k,1999,900.0,66,50,38,30
Switzerland,Super League,FC Lausanne-Sport,27,Beyatt Lekoueiry,Second Striker,"Apr 11, 2005 (20)",€1.00m,2005,1000.0,65,51,38,28
Switzerland,Super League,FC Lausanne-Sport,9,Kaly Sène,Centre-Forward,"May 28, 2001 (24)",€2.00m,2001,2000.0,70,57,38,30
Switzerland,Super League,FC Lausanne-Sport,11,Nathan Butler-Oyedeji,Centre-Forward,"Jan 4, 2003 (22)",€1.00m,2003,1000.0,66,54,36,28
Switzerland,Super League,FC Lausanne-Sport,70,Gaoussou Diakité,Centre-Forward,"Sep 26, 2005 (19)",€800k,2005,800.0,64,52,35,28
Switzerland,Super League,FC Lausanne-Sport,17,Seydou Traoré,Centre-Forward,"Dec 5, 2004 (20)",€100k,2004,100.0,53,43,29,23
Switzerland,Super League,FC Lausanne-Sport,22,Enzo Kana-Biyik,Centre-Forward,"Jan 8, 2007 (18)",-,2007,49.0,48,39,26,21
