country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Switzerland,Super League,FC Lugano,1,Amir Saipi,Goalkeeper,"Jul 8, 2000 (25)",€3.00m,2000,3000.0,72,31,33,66
Switzerland,Super League,FC Lugano,13,Serif Berbic,Goalkeeper,"Nov 25, 2001 (23)",€150k,2001,150.0,56,24,26,51
Switzerland,Super League,FC Lugano,15,Fotis Pseftis,Goalkeeper,"Jan 19, 2003 (22)",€100k,2003,100.0,54,23,25,49
Switzerland,Super League,FC Lugano,99,Diego Mina,Goalkeeper,"Aug 12, 2005 (19)",€100k,2005,100.0,53,23,24,48
Switzerland,Super League,FC Lugano,5,Albian Hajdari,Centre-Back,"May 18, 2003 (22)",€12.00m,2003,12000.0,79,36,41,65
Switzerland,Super League,FC Lugano,22,Ayman El Wafi,Centre-Back,"May 11, 2004 (21)",€4.00m,2004,4000.0,73,34,38,60
Switzerland,Super League,FC Lugano,6,Antonios Papadopoulos,Centre-Back,"Sep 10, 1999 (25)",€3.50m,1999,3500.0,73,34,38,60
Switzerland,Super League,FC Lugano,17,Lukas Mai,Centre-Back,"Mar 31, 2000 (25)",€2.00m,2000,2000.0,70,32,36,57
Switzerland,Super League,FC Lugano,4,Damian Kelvin,Centre-Back,"Jun 15, 2002 (23)",€400k,2002,400.0,61,28,32,50
Switzerland,Super League,FC Lugano,26,Martim Marques,Left-Back,"Feb 11, 2004 (21)",€7.00m,2004,7000.0,76,37,42,58
Switzerland,Super League,FC Lugano,7,Ezgjan Alioski,Left-Back,"Feb 12, 1992 (33)",€1.20m,1992,1200.0,68,33,37,52
Switzerland,Super League,FC Lugano,46,Mattia Zanotti,Right-Back,"Jan 11, 2003 (22)",€13.00m,2003,13000.0,80,39,44,61
Switzerland,Super League,FC Lugano,2,Zachary Brault-Guillard,Right-Back,"Dec 30, 1998 (26)",€700k,1998,700.0,65,32,36,49
Switzerland,Super League,FC Lugano,29,Mohamed Belhadj Mahmoud,Defensive Midfield,"Apr 24, 2000 (25)",€4.00m,2000,4000.0,74,38,38,47
Switzerland,Super League,FC Lugano,20,Ousmane Doumbia,Defensive Midfield,"May 21, 1992 (33)",€300k,1992,300.0,61,32,32,39
Switzerland,Super League,FC Lugano,47,Ilija Maslarov,Defensive Midfield,"Jan 2, 2007 (18)",€300k,2007,300.0,58,30,30,37
Switzerland,Super League,FC Lugano,14,Ahmed Kendouci,Central Midfield,"Jun 22, 1999 (26)",€2.50m,1999,2500.0,71,41,45,41
Switzerland,Super League,FC Lugano,8,Anto Grgic,Central Midfield,"Nov 28, 1996 (28)",€1.50m,1996,1500.0,69,40,44,40
Switzerland,Super League,FC Lugano,21,Yanis Cimignani,Left Midfield,"Jan 22, 2002 (23)",€2.00m,2002,2000.0,70,41,45,41
Switzerland,Super League,FC Lugano,25,Uran Bislimi,Attacking Midfield,"Sep 25, 1999 (25)",€3.00m,1999,3000.0,72,48,44,37
Switzerland,Super League,FC Lugano,27,Daniel Dos Santos,Attacking Midfield,"Dec 29, 2002 (22)",€1.20m,2002,1200.0,67,45,41,35
Switzerland,Super League,FC Lugano,10,Mattia Bottani,Attacking Midfield,"May 24, 1991 (34)",€100k,1991,100.0,55,37,34,29
Switzerland,Super League,FC Lugano,24,Elias Pihlström,Left Winger,"Aug 31, 2006 (18)",€1.00m,2006,1000.0,65,49,38,30
Switzerland,Super League,FC Lugano,11,Renato Steffen,Right Winger,"Nov 3, 1991 (33)",€900k,1991,900.0,67,51,39,31
Switzerland,Super League,FC Lugano,18,Hicham Mahou,Right Winger,"Jul 2, 1999 (26)",€900k,1999,900.0,66,50,38,30
Switzerland,Super League,FC Lugano,9,Georgios Koutsias,Centre-Forward,"Feb 8, 2004 (21)",€4.50m,2004,4500.0,74,61,41,32
Switzerland,Super League,FC Lugano,19,Shkelqim Vladi,Centre-Forward,"Sep 21, 2000 (24)",€1.50m,2000,1500.0,69,57,38,30
Switzerland,Super League,FC Lugano,91,Kevin Behrens,Centre-Forward,"Feb 3, 1991 (34)",€1.00m,1991,1000.0,67,55,37,29
Switzerland,Super League,FC Lugano,97,Alexandre Parsemain,Centre-Forward,"May 27, 2003 (22)",€400k,2003,400.0,61,50,34,26
