country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Switzerland,Super League,FC Sion,16,Timothy Fayulu,Goalkeeper,"Jul 24, 1999 (26)",€1.40m,1999,1400.0,68,29,31,62
Switzerland,Super League,FC Sion,1,Anthony Racioppi,Goalkeeper,"Dec 31, 1998 (26)",€1.00m,1998,1000.0,67,29,31,61
Switzerland,Super League,FC Sion,12,Francesco Ruberto,Goalkeeper,"Mar 19, 1993 (32)",€50k,1993,50.0,51,22,23,46
Switzerland,Super League,FC Sion,28,Kreshnik Hajrizi,Centre-Back,"May 28, 1999 (26)",€600k,1999,600.0,64,29,33,52
Switzerland,Super League,FC Sion,-,Nathanaël Saintini,Centre-Back,"May 30, 2000 (25)",€500k,2000,500.0,63,29,33,52
Switzerland,Super League,FC Sion,5,Noé Sow,Centre-Back,"Dec 18, 1998 (26)",€300k,1998,300.0,60,28,31,49
Switzerland,Super League,FC Sion,17,Jan Kronig,Centre-Back,"Jun 24, 2000 (25)",€100k,2000,100.0,54,25,28,44
Switzerland,Super League,FC Sion,24,Maxime Dubosson,Centre-Back,"Nov 24, 2004 (20)",€100k,2004,100.0,53,24,28,43
Switzerland,Super League,FC Sion,44,Nevio Biner,Centre-Back,"Aug 17, 2006 (18)",-,2006,85.0,52,24,27,43
Switzerland,Super League,FC Sion,6,Marquinhos Cipriano,Left-Back,"Feb 9, 1999 (26)",€500k,1999,500.0,63,31,35,48
Switzerland,Super League,FC Sion,20,Nias Hefti,Left-Back,"Sep 18, 1999 (25)",€400k,1999,400.0,62,30,34,47
Switzerland,Super League,FC Sion,14,Numa Lavanchy,Right-Back,"Aug 25, 1993 (31)",€200k,1993,200.0,59,29,32,45
Switzerland,Super League,FC Sion,27,Gabriele Mulazzi,Right-Back,"Apr 1, 2003 (22)",€200k,2003,200.0,57,28,31,43
Switzerland,Super League,FC Sion,-,Adrien Fernandes,Right-Back,"Sep 26, 2005 (19)",-,2005,47.0,49,24,27,37
Switzerland,Super League,FC Sion,25,Lamine Diack,Defensive Midfield,"Nov 15, 2000 (24)",€900k,2000,900.0,66,34,34,42
Switzerland,Super League,FC Sion,88,Ali Kabacalman,Defensive Midfield,"Sep 27, 1995 (29)",€600k,1995,600.0,64,33,33,41
Switzerland,Super League,FC Sion,8,Baltazar,Central Midfield,"May 6, 2000 (25)",€1.50m,2000,1500.0,69,40,44,40
Switzerland,Super League,FC Sion,21,Liam Chipperfield,Central Midfield,"Feb 14, 2004 (21)",€1.00m,2004,1000.0,66,38,42,38
Switzerland,Super League,FC Sion,18,Joseph Belmar,Central Midfield,"Oct 13, 2005 (19)",€100k,2005,100.0,53,31,34,31
Switzerland,Super League,FC Sion,70,Benjamin Kololli,Left Midfield,"May 15, 1992 (33)",€100k,1992,100.0,55,32,35,32
Switzerland,Super League,FC Sion,10,Anton Miranchuk,Attacking Midfield,"Oct 17, 1995 (29)",€2.50m,1995,2500.0,72,48,44,37
Switzerland,Super League,FC Sion,7,Ilyas Chouaref,Left Winger,"Dec 12, 2000 (24)",€3.50m,2000,3500.0,73,55,42,34
Switzerland,Super League,FC Sion,11,Théo Bouchlarhem,Left Winger,"Mar 3, 2001 (24)",€900k,2001,900.0,66,50,38,30
Switzerland,Super League,FC Sion,39,Josias Lukembila,Left Winger,"Sep 9, 1999 (25)",€400k,1999,400.0,62,47,36,29
Switzerland,Super League,FC Sion,26,Islem Chouik,Left Winger,"Aug 27, 2003 (21)",€250k,2003,250.0,59,45,34,27
Switzerland,Super League,FC Sion,29,Théo Berdayes,Right Winger,"May 23, 2002 (23)",€3.00m,2002,3000.0,72,55,42,33
Switzerland,Super League,FC Sion,23,Altin Shala,Right Winger,"Dec 18, 2002 (22)",€200k,2002,200.0,58,44,34,27
Switzerland,Super League,FC Sion,9,Dinis Rodrigues,Centre-Forward,"Jul 14, 2005 (20)",€600k,2005,600.0,63,52,35,27
Switzerland,Super League,FC Sion,13,Winsley Boteli,Centre-Forward,"Jul 5, 2006 (19)",€500k,2006,500.0,61,50,34,26
Switzerland,Super League,FC Sion,33,Rilind Nivokazi,Centre-Forward,"Jan 26, 2000 (25)",€500k,2000,500.0,63,52,35,27
Switzerland,Super League,FC Sion,19,Dejan Djokic,Centre-Forward,"Sep 26, 2000 (24)",€300k,2000,300.0,60,49,33,26
Switzerland,Super League,FC Sion,22,Adrien Llukes,Centre-Forward,"Jul 21, 2008 (17)",€100k,2008,100.0,52,43,29,22
