country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Switzerland,Super League,FC St. Gallen 1879,1,Lawrence Ati Zigi,Goalkeeper,"Nov 29, 1996 (28)",€1.20m,1996,1200.0,68,29,31,62
Switzerland,Super League,FC St. Gallen 1879,25,Lukas Watkowiak,Goalkeeper,"Mar 6, 1996 (29)",€100k,1996,100.0,55,24,25,50
Switzerland,Super League,FC St. Gallen 1879,60,Janis Widmer,Goalkeeper,"Jul 13, 2007 (18)",-,2007,13.0,41,18,19,37
Switzerland,Super League,FC St. Gallen 1879,4,Jozo Stanic,Centre-Back,"Apr 6, 1999 (26)",€800k,1999,800.0,65,30,34,53
Switzerland,Super League,FC St. Gallen 1879,20,Albert Vallci,Centre-Back,"Jul 2, 1995 (30)",€800k,1995,800.0,66,30,34,54
Switzerland,Super League,FC St. Gallen 1879,5,Stephan Ambrosius,Centre-Back,"Dec 18, 1998 (26)",€600k,1998,600.0,64,29,33,52
Switzerland,Super League,FC St. Gallen 1879,26,Tom Gaal,Centre-Back,"Mar 3, 2001 (24)",€450k,2001,450.0,62,29,32,51
Switzerland,Super League,FC St. Gallen 1879,72,Cyrill May,Centre-Back,"Feb 6, 2007 (18)",€200k,2007,200.0,56,26,29,46
Switzerland,Super League,FC St. Gallen 1879,71,Pascal Büttiker,Centre-Back,"Mar 7, 2006 (19)",-,2006,1.0,28,13,15,23
Switzerland,Super League,FC St. Gallen 1879,36,Chima Okoroji,Left-Back,"Apr 19, 1997 (28)",€700k,1997,700.0,65,32,36,49
Switzerland,Super League,FC St. Gallen 1879,14,Noah Yannick,Left-Back,"Mar 11, 2004 (21)",€300k,2004,300.0,59,29,32,45
Switzerland,Super League,FC St. Gallen 1879,28,Hugo Vandermersch,Right-Back,"May 5, 1999 (26)",€1.00m,1999,1000.0,67,33,37,51
Switzerland,Super League,FC St. Gallen 1879,63,Corsin Konietzke,Defensive Midfield,"Jun 21, 2006 (19)",€2.00m,2006,2000.0,69,36,36,44
Switzerland,Super League,FC St. Gallen 1879,8,Jordi Quintillà,Defensive Midfield,"Oct 25, 1993 (31)",€300k,1993,300.0,61,32,32,39
Switzerland,Super League,FC St. Gallen 1879,23,Betim Fazliji,Defensive Midfield,"Apr 25, 1999 (26)",€200k,1999,200.0,58,30,30,37
Switzerland,Super League,FC St. Gallen 1879,11,Carlo Boukhalfa,Central Midfield,"May 3, 1999 (26)",€2.00m,1999,2000.0,70,41,45,41
Switzerland,Super League,FC St. Gallen 1879,24,Bastien Toma,Central Midfield,"Jun 24, 1999 (26)",€1.50m,1999,1500.0,69,40,44,40
Switzerland,Super League,FC St. Gallen 1879,64,Mihailo Stevanovic,Central Midfield,"Jan 4, 2002 (23)",€1.20m,2002,1200.0,67,39,43,39
Switzerland,Super League,FC St. Gallen 1879,6,Behar Neziri,Central Midfield,"Jan 6, 2003 (22)",€200k,2003,200.0,57,33,36,33
Switzerland,Super League,FC St. Gallen 1879,16,Lukas Görtler,Right Midfield,"Jun 15, 1994 (31)",€1.20m,1994,1200.0,68,39,44,39
Switzerland,Super League,FC St. Gallen 1879,7,Christian Witzig,Left Midfield,"Jan 9, 2001 (24)",€5.00m,2001,5000.0,75,44,48,44
Switzerland,Super League,FC St. Gallen 1879,10,Lukas Daschner,Attacking Midfield,"Oct 1, 1998 (26)",€900k,1998,900.0,66,44,40,34
Switzerland,Super League,FC St. Gallen 1879,77,Kevin Csoboth,Left Winger,"Jun 20, 2000 (25)",€900k,2000,900.0,66,50,38,30
Switzerland,Super League,FC St. Gallen 1879,14,Aliou Baldé,Left Winger,"Dec 12, 2002 (22)",€800k,2002,800.0,65,49,38,30
Switzerland,Super League,FC St. Gallen 1879,47,Enoch Owusu,Right Winger,"Jan 8, 2005 (20)",€150k,2005,150.0,55,42,32,25
Switzerland,Super League,FC St. Gallen 1879,9,Willem Geubbels,Centre-Forward,"Aug 16, 2001 (23)",€10.00m,2001,10000.0,79,65,43,34
Switzerland,Super League,FC St. Gallen 1879,-,Nikolaj Möller,Centre-Forward,"Jul 20, 2002 (23)",€500k,2002,500.0,63,52,35,27
Switzerland,Super League,FC St. Gallen 1879,18,Alessandro Vogt,Centre-Forward,"Feb 3, 2005 (20)",€100k,2005,100.0,53,43,29,23
