country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Switzerland,Super League,FC Thun,1,Nino Ziswiler,Goalkeeper,"Oct 23, 1999 (25)",€300k,1999,300.0,60,26,28,55
Switzerland,Super League,FC Thun,24,Niklas Steffen,Goalkeeper,"Jan 19, 2001 (24)",€300k,2001,300.0,60,26,28,55
Switzerland,Super League,FC Thun,30,Jan Eicher,Goalkeeper,"Feb 16, 2004 (21)",-,2004,4.0,36,15,17,33
Switzerland,Super League,FC Thun,4,Genís Montolio,Centre-Back,"Jul 23, 1996 (29)",€500k,1996,500.0,63,29,33,52
Switzerland,Super League,FC Thun,19,Jan Bamert,Centre-Back,"Mar 9, 1998 (27)",€400k,1998,400.0,62,29,32,51
Switzerland,Super League,FC Thun,23,Marco Bürki,Centre-Back,"Jul 10, 1993 (32)",€150k,1993,150.0,57,26,30,47
Switzerland,Super League,FC Thun,27,Michael Heule,Left-Back,"Apr 27, 2001 (24)",€400k,2001,400.0,62,30,34,47
Switzerland,Super League,FC Thun,5,Dominik Franke,Left-Back,"Oct 5, 1998 (26)",€300k,1998,300.0,60,29,33,46
Switzerland,Super League,FC Thun,17,Ashvin Balaruban,Left-Back,"Aug 8, 2001 (23)",€250k,2001,250.0,59,29,32,45
Switzerland,Super League,FC Thun,47,Fabio Fehr,Right-Back,"Jan 15, 2000 (25)",€400k,2000,400.0,62,30,34,47
Switzerland,Super League,FC Thun,37,Lucien Dähler,Right-Back,"Mar 22, 2001 (24)",€250k,2001,250.0,59,29,32,45
Switzerland,Super League,FC Thun,16,Justin Roth,Defensive Midfield,"Oct 29, 2000 (24)",€400k,2000,400.0,62,32,32,40
Switzerland,Super League,FC Thun,-,Enis Asani,Defensive Midfield,"Jul 30, 2004 (20)",€50k,2004,50.0,50,26,26,32
Switzerland,Super League,FC Thun,14,Mattias Käit,Central Midfield,"Jun 29, 1998 (27)",€1.00m,1998,1000.0,67,39,43,39
Switzerland,Super League,FC Thun,78,Valmir Matoshi,Central Midfield,"Jul 4, 2003 (22)",€600k,2003,600.0,63,37,40,37
Switzerland,Super League,FC Thun,8,Vasilije Janjicic,Central Midfield,"Nov 2, 1998 (26)",€300k,1998,300.0,60,35,38,35
Switzerland,Super League,FC Thun,6,Leonardo Bertone,Central Midfield,"Mar 14, 1994 (31)",€200k,1994,200.0,58,34,37,34
Switzerland,Super League,FC Thun,10,Mathías Tomás,Attacking Midfield,"Jan 30, 2001 (24)",€700k,2001,700.0,65,44,40,34
Switzerland,Super League,FC Thun,70,Nils Reichmuth,Attacking Midfield,"Feb 22, 2002 (23)",€600k,2002,600.0,64,43,39,33
Switzerland,Super League,FC Thun,77,Franz-Ethan Meichtry,Attacking Midfield,"Jul 8, 2005 (20)",€300k,2005,300.0,59,40,36,31
Switzerland,Super League,FC Thun,33,Marc Gutbub,Right Winger,"Feb 4, 2003 (22)",€500k,2003,500.0,62,47,36,29
Switzerland,Super League,FC Thun,11,Layton Stewart,Centre-Forward,"Sep 3, 2002 (22)",€500k,2002,500.0,63,52,35,27
Switzerland,Super League,FC Thun,18,Christopher Ibayi,Centre-Forward,"Jul 18, 1995 (30)",€400k,1995,400.0,62,51,34,27
Switzerland,Super League,FC Thun,74,Elmin Rastoder,Centre-Forward,"Oct 7, 2001 (23)",€300k,2001,300.0,60,49,33,26
