country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Switzerland,Super League,Grasshopper Club Zurich,71,Justin Hammel,Goalkeeper,"Dec 2, 2000 (24)",€2.50m,2000,2500.0,71,31,33,65
Switzerland,Super League,Grasshopper Club Zurich,1,Nicolas Glaus,Goalkeeper,"May 10, 2002 (23)",€100k,2002,100.0,54,23,25,49
Switzerland,Super League,Grasshopper Club Zurich,50,Laurent Seji,Goalkeeper,"Jun 22, 2004 (21)",-,2004,24.0,46,20,21,42
Switzerland,Super League,Grasshopper Club Zurich,26,Maksim Paskotsi,Centre-Back,"Jan 19, 2003 (22)",€500k,2003,500.0,62,29,32,51
Switzerland,Super League,Grasshopper Club Zurich,4,Grayson Dettoni,Centre-Back,"Jun 29, 2005 (20)",€200k,2005,200.0,57,26,30,47
Switzerland,Super League,Grasshopper Club Zurich,3,Saulo Decarli,Centre-Back,"Feb 4, 1992 (33)",€100k,1992,100.0,55,25,29,45
Switzerland,Super League,Grasshopper Club Zurich,58,Yannick Bettkober,Centre-Back,"Mar 18, 2005 (20)",€100k,2005,100.0,53,24,28,43
Switzerland,Super League,Grasshopper Club Zurich,73,Dorian Paloschi,Centre-Back,"Nov 21, 2005 (19)",€75k,2005,75.0,51,23,27,42
Switzerland,Super League,Grasshopper Club Zurich,2,Dirk Abels,Right-Back,"Jun 13, 1997 (28)",€300k,1997,300.0,60,29,33,46
Switzerland,Super League,Grasshopper Club Zurich,34,Allan Arigoni,Right-Back,"Nov 4, 1998 (26)",€300k,1998,300.0,60,29,33,46
Switzerland,Super League,Grasshopper Club Zurich,22,Pantaleo Creti,Right-Back,"Jul 22, 2008 (17)",-,2008,16.0,42,21,23,32
Switzerland,Super League,Grasshopper Club Zurich,8,Tim Meyer,Defensive Midfield,"Jul 8, 2004 (21)",€1.20m,2004,1200.0,67,35,35,43
Switzerland,Super League,Grasshopper Club Zurich,5,Imourane Hassane,Defensive Midfield,"Apr 8, 2003 (22)",€300k,2003,300.0,60,31,31,38
Switzerland,Super League,Grasshopper Club Zurich,6,Amir Abrashi,Defensive Midfield,"Mar 27, 1990 (35)",€100k,1990,100.0,55,29,29,35
Switzerland,Super League,Grasshopper Club Zurich,28,Simone Stroscio,Defensive Midfield,"Aug 20, 2003 (21)",€100k,2003,100.0,54,28,28,35
Switzerland,Super League,Grasshopper Club Zurich,16,Matteo Mantini,Defensive Midfield,"Aug 27, 2007 (17)",-,2007,85.0,51,27,27,33
Switzerland,Super League,Grasshopper Club Zurich,19,Mathieu Choinière,Central Midfield,"Feb 7, 1999 (26)",€800k,1999,800.0,65,38,42,38
Switzerland,Super League,Grasshopper Club Zurich,56,Leart Kabashi,Central Midfield,"Nov 29, 2007 (17)",€100k,2007,100.0,52,30,33,30
Switzerland,Super League,Grasshopper Club Zurich,10,Jonathan Asp Jensen,Attacking Midfield,"Jan 14, 2006 (19)",€1.50m,2006,1500.0,67,45,41,35
Switzerland,Super League,Grasshopper Club Zurich,11,Salifou Diarrassouba,Attacking Midfield,"Dec 20, 2001 (23)",-,2001,64.0,52,35,32,27
Switzerland,Super League,Grasshopper Club Zurich,27,Tomás Verón Lupi,Right Winger,"Sep 3, 2000 (24)",€700k,2000,700.0,65,49,38,30
Switzerland,Super League,Grasshopper Club Zurich,9,Nikolas Muci,Centre-Forward,"Feb 8, 2003 (22)",€1.50m,2003,1500.0,68,56,37,29
Switzerland,Super League,Grasshopper Club Zurich,18,Young-joon Lee,Centre-Forward,"May 23, 2003 (22)",€800k,2003,800.0,65,53,36,28
Switzerland,Super League,Grasshopper Club Zurich,7,Luke Plange,Centre-Forward,"Nov 4, 2002 (22)",€500k,2002,500.0,63,52,35,27
Switzerland,Super League,Grasshopper Club Zurich,20,Evans Maurin,Centre-Forward,"Mar 30, 2001 (24)",€200k,2001,200.0,58,48,32,25
