country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Switzerland,Super League,Servette FC,1,Joël Mall,Goalkeeper,"Apr 5, 1991 (34)",€200k,1991,200.0,59,25,27,54
Switzerland,Super League,Servette FC,32,Jérémy Frick,Goalkeeper,"Mar 8, 1993 (32)",€200k,1993,200.0,59,25,27,54
Switzerland,Super League,Servette FC,40,Marwan Aubert,Goalkeeper,"Feb 12, 2006 (19)",€100k,2006,100.0,53,23,24,48
Switzerland,Super League,Servette FC,19,Yoan Severin,Centre-Back,"Jan 24, 1997 (28)",€1.20m,1997,1200.0,68,31,35,56
Switzerland,Super League,Servette FC,25,Dylan Bronn,Centre-Back,"Jun 19, 1995 (30)",€1.00m,1995,1000.0,67,31,35,55
Switzerland,Super League,Servette FC,4,Steve Rouiller,Centre-Back,"Jul 10, 1990 (35)",€200k,1990,200.0,59,27,31,48
Switzerland,Super League,Servette FC,6,Anthony Baron,Centre-Back,"Dec 29, 1992 (32)",€200k,1992,200.0,59,27,31,48
Switzerland,Super League,Servette FC,18,Bradley Mazikou,Left-Back,"Jun 2, 1996 (29)",€1.50m,1996,1500.0,69,34,38,52
Switzerland,Super League,Servette FC,33,Leart Zuka,Left-Back,"Aug 27, 2005 (19)",€100k,2005,100.0,53,26,29,40
Switzerland,Super League,Servette FC,20,Théo Magnin,Right-Back,"Aug 9, 2003 (21)",€2.00m,2003,2000.0,70,34,38,53
Switzerland,Super League,Servette FC,2,Loun Srdanovic,Right-Back,"Aug 4, 2006 (18)",€100k,2006,100.0,53,26,29,40
Switzerland,Super League,Servette FC,11,Lamine Fomba,Defensive Midfield,"Jan 26, 1998 (27)",€600k,1998,600.0,64,33,33,41
Switzerland,Super League,Servette FC,5,Gaël Ondoua,Defensive Midfield,"Nov 4, 1995 (29)",€500k,1995,500.0,63,33,33,40
Switzerland,Super League,Servette FC,28,David Douline,Defensive Midfield,"May 28, 1993 (32)",€200k,1993,200.0,59,31,31,38
Switzerland,Super League,Servette FC,8,Timothé Cognat,Central Midfield,"Jan 25, 1998 (27)",€4.00m,1998,4000.0,74,43,47,43
Switzerland,Super League,Servette FC,37,Jarell Njiké Simo,Central Midfield,"Jan 12, 2004 (21)",€150k,2004,150.0,56,32,36,32
Switzerland,Super League,Servette FC,34,Mattéo Anselme,Central Midfield,"Apr 25, 2007 (18)",-,2007,40.0,47,27,30,27
Switzerland,Super League,Servette FC,30,Ablie Jallow,Right Midfield,"Nov 14, 1998 (26)",€1.50m,1998,1500.0,69,40,44,40
Switzerland,Super League,Servette FC,9,Miroslav Stevanovic,Right Midfield,"Jul 29, 1990 (34)",€400k,1990,400.0,62,36,40,36
Switzerland,Super League,Servette FC,10,Alexis Antunes,Attacking Midfield,"Jul 31, 2000 (24)",€3.00m,2000,3000.0,72,48,44,37
Switzerland,Super League,Servette FC,7,Giotto Morandi,Attacking Midfield,"Mar 4, 1999 (26)",€900k,1999,900.0,66,44,40,34
Switzerland,Super League,Servette FC,29,Keyan Varela,Left Winger,"Apr 26, 2006 (19)",€2.00m,2006,2000.0,69,52,40,32
Switzerland,Super League,Servette FC,17,Tiemoko Ouattara,Left Winger,"May 25, 2005 (20)",€1.00m,2005,1000.0,65,49,38,30
Switzerland,Super League,Servette FC,90,Samuel Mraz,Centre-Forward,"May 13, 1997 (28)",€900k,1997,900.0,66,54,36,28
Switzerland,Super League,Servette FC,21,Jérémy Guillemenot,Centre-Forward,"Jan 6, 1998 (27)",€400k,1998,400.0,62,51,34,27
Switzerland,Super League,Servette FC,-,Benjamin Keita,Centre-Forward,"Dec 10, 2004 (20)",€50k,2004,50.0,50,41,28,22
Switzerland,Super League,Servette FC,36,Jamie Atangana,Centre-Forward,"Nov 12, 2007 (17)",-,2007,20.0,44,36,24,19
