country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Türkiye,Süper Lig,Basaksehir FK,16,Muhammed Şengezer,Goalkeeper,"Jan 5, 1997 (28)",€2.20m,1997,2200.0,71,31,33,65
Türkiye,Süper Lig,Basaksehir FK,98,Deniz Dilmen,Goalkeeper,"Jun 5, 2005 (20)",€450k,2005,450.0,61,26,28,56
Türkiye,Süper Lig,Basaksehir FK,1,Volkan Babacan,Goalkeeper,"Aug 11, 1988 (36)",€50k,1988,50.0,52,22,24,47
Türkiye,Süper Lig,Basaksehir FK,78,Yusuf Yılmaz,Goalkeeper,"Apr 29, 2006 (19)",€50k,2006,50.0,49,21,23,45
Türkiye,Süper Lig,Basaksehir FK,-,Luca Stancic,Goalkeeper,"Jan 20, 2007 (18)",-,2007,68.0,50,22,23,46
Türkiye,Süper Lig,Basaksehir FK,3,Jerome Opoku,Centre-Back,"Oct 14, 1998 (26)",€5.00m,1998,5000.0,75,34,39,62
Türkiye,Süper Lig,Basaksehir FK,5,Léo Duarte,Centre-Back,"Jul 17, 1996 (29)",€3.00m,1996,3000.0,73,34,38,60
Türkiye,Süper Lig,Basaksehir FK,15,Hamza Güreler,Centre-Back,"Apr 10, 2006 (19)",€2.00m,2006,2000.0,69,32,36,57
Türkiye,Süper Lig,Basaksehir FK,27,Ousseynou Ba,Centre-Back,"Nov 11, 1995 (29)",€2.00m,1995,2000.0,71,33,37,58
Türkiye,Süper Lig,Basaksehir FK,-,Efe Arda Koyuncu,Centre-Back,"Jul 8, 2005 (20)",€100k,2005,100.0,53,24,28,43
Türkiye,Süper Lig,Basaksehir FK,34,Yağız Dilek,Centre-Back,"May 9, 2005 (20)",€75k,2005,75.0,51,23,27,42
Türkiye,Süper Lig,Basaksehir FK,35,Halit Emre Acun,Centre-Back,"Jan 2, 2006 (19)",-,2006,71.0,51,23,27,42
Türkiye,Süper Lig,Basaksehir FK,21,Christopher Operi,Left-Back,"Apr 29, 1997 (28)",€3.80m,1997,3800.0,74,36,41,56
Türkiye,Süper Lig,Basaksehir FK,-,Cemali Sertel,Left-Back,"Jan 6, 2000 (25)",€850k,2000,850.0,66,32,36,50
Türkiye,Süper Lig,Basaksehir FK,-,Eren Karaağaç,Left-Back,"May 24, 2004 (21)",€50k,2004,50.0,50,24,28,38
Türkiye,Süper Lig,Basaksehir FK,36,Festy Ebosele,Right-Back,"Aug 2, 2002 (22)",€4.60m,2002,4600.0,74,36,41,56
Türkiye,Süper Lig,Basaksehir FK,6,Onur Bulut,Right-Back,"Apr 16, 1994 (31)",€850k,1994,850.0,66,32,36,50
Türkiye,Süper Lig,Basaksehir FK,-,Ayberk Kaygısız,Right-Back,"Aug 11, 2004 (20)",€25k,2004,25.0,46,23,25,35
Türkiye,Süper Lig,Basaksehir FK,2,Berat Özdemir,Defensive Midfield,"May 23, 1998 (27)",€4.20m,1998,4200.0,74,38,38,47
Türkiye,Süper Lig,Basaksehir FK,4,Onur Ergün,Defensive Midfield,"Nov 15, 1992 (32)",€325k,1992,325.0,61,32,32,39
Türkiye,Süper Lig,Basaksehir FK,13,Miguel Crespo,Central Midfield,"Sep 11, 1996 (28)",€3.20m,1996,3200.0,73,42,47,42
Türkiye,Süper Lig,Basaksehir FK,8,Olivier Kemen,Central Midfield,"Jul 20, 1996 (29)",€2.50m,1996,2500.0,72,42,46,42
Türkiye,Süper Lig,Basaksehir FK,19,Berkay Özcan,Central Midfield,"Feb 15, 1998 (27)",€2.30m,1998,2300.0,71,41,45,41
Türkiye,Süper Lig,Basaksehir FK,20,Umut Güneş,Central Midfield,"Mar 16, 2000 (25)",€2.30m,2000,2300.0,71,41,45,41
Türkiye,Süper Lig,Basaksehir FK,42,Ömer Ali Şahiner,Central Midfield,"Jan 2, 1992 (33)",€350k,1992,350.0,62,36,40,36
Türkiye,Süper Lig,Basaksehir FK,-,Emre Karaal,Central Midfield,"Jan 15, 2003 (22)",-,2003,65.0,51,30,33,30
Türkiye,Süper Lig,Basaksehir FK,22,Matchoi Djaló,Attacking Midfield,"Apr 10, 2003 (22)",€800k,2003,800.0,65,44,40,34
Türkiye,Süper Lig,Basaksehir FK,17,Ömer Beyaz,Attacking Midfield,"Aug 29, 2003 (21)",€450k,2003,450.0,62,42,38,32
Türkiye,Süper Lig,Basaksehir FK,80,Abdoulaye Yoro,Attacking Midfield,"Dec 12, 2006 (18)",-,2006,100.0,53,36,32,28
Türkiye,Süper Lig,Basaksehir FK,77,Ivan Brnic,Left Winger,"Aug 23, 2001 (23)",€1.60m,2001,1600.0,69,52,40,32
Türkiye,Süper Lig,Basaksehir FK,45,Berkay Aslan,Left Winger,"Jan 5, 2007 (18)",-,2007,98.0,52,40,30,24
Türkiye,Süper Lig,Basaksehir FK,7,Yusuf Sarı,Right Winger,"Nov 20, 1998 (26)",€3.80m,1998,3800.0,74,56,43,34
Türkiye,Süper Lig,Basaksehir FK,23,Deniz Türüç,Right Winger,"Jan 29, 1993 (32)",€1.20m,1993,1200.0,68,52,39,31
Türkiye,Süper Lig,Basaksehir FK,-,Eray Sürül,Right Winger,"May 10, 2003 (22)",€25k,2003,25.0,46,35,27,21
Türkiye,Süper Lig,Basaksehir FK,14,Eldor Shomurodov,Centre-Forward,"Jun 29, 1995 (30)",€5.00m,1995,5000.0,76,62,42,33
Türkiye,Süper Lig,Basaksehir FK,9,Davie Selke,Centre-Forward,"Jan 20, 1995 (30)",€3.50m,1995,3500.0,74,61,41,32
Türkiye,Süper Lig,Basaksehir FK,10,Nuno Da Costa,Centre-Forward,"Feb 10, 1991 (34)",€600k,1991,600.0,65,53,36,28
Türkiye,Süper Lig,Basaksehir FK,-,Muhammet Arslantaş,Centre-Forward,"Jan 27, 2001 (24)",€50k,2001,50.0,50,41,28,22
