country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Türkiye,Süper Lig,Besiktas JK,30,Ersin Destanoğlu,Goalkeeper,"Jan 1, 2001 (24)",€1.80m,2001,1800.0,70,30,32,64
Türkiye,Süper Lig,Besiktas JK,1,Mert Günok,Goalkeeper,"Mar 1, 1989 (36)",€1.00m,1989,1000.0,67,29,31,61
Türkiye,Süper Lig,Besiktas JK,33,Emre Bilgin,Goalkeeper,"Feb 26, 2004 (21)",€700k,2004,700.0,64,28,29,58
Türkiye,Süper Lig,Besiktas JK,96,Emir Yaşar,Goalkeeper,"Jan 16, 2006 (19)",€175k,2006,175.0,56,24,26,51
Türkiye,Süper Lig,Besiktas JK,14,Felix Uduokhai,Centre-Back,"Sep 9, 1997 (27)",€7.00m,1997,7000.0,77,35,40,63
Türkiye,Süper Lig,Besiktas JK,53,Emirhan Topçu,Centre-Back,"Oct 11, 2000 (24)",€5.50m,2000,5500.0,76,35,40,62
Türkiye,Süper Lig,Besiktas JK,24,Tayyip Talha Sanuç,Centre-Back,"Dec 17, 1999 (25)",€2.00m,1999,2000.0,70,32,36,57
Türkiye,Süper Lig,Besiktas JK,3,Gabriel Paulista,Centre-Back,"Nov 26, 1990 (34)",€1.00m,1990,1000.0,67,31,35,55
Türkiye,Süper Lig,Besiktas JK,40,Emrecan Uzunhan,Centre-Back,"Feb 26, 2001 (24)",€425k,2001,425.0,62,29,32,51
Türkiye,Süper Lig,Besiktas JK,20,Necip Uysal,Centre-Back,"Jan 24, 1991 (34)",€400k,1991,400.0,62,29,32,51
Türkiye,Süper Lig,Besiktas JK,39,David Jurásek,Left-Back,"Aug 7, 2000 (24)",€5.00m,2000,5000.0,75,37,41,57
Türkiye,Süper Lig,Besiktas JK,22,Bakhtiyor Zaynutdinov,Left-Back,"Apr 2, 1998 (27)",€3.00m,1998,3000.0,73,36,40,55
Türkiye,Süper Lig,Besiktas JK,79,Emrecan Terzi,Left-Back,"Jan 5, 2004 (21)",€250k,2004,250.0,58,28,32,44
Türkiye,Süper Lig,Besiktas JK,2,Jonas Svensson,Right-Back,"Mar 6, 1993 (32)",€1.50m,1993,1500.0,69,34,38,52
Türkiye,Süper Lig,Besiktas JK,93,Arda Berk Özüarap,Right-Back,"Jun 9, 2005 (20)",-,2005,90.0,52,25,29,40
Türkiye,Süper Lig,Besiktas JK,28,Moatasem Al-Musrati,Defensive Midfield,"Apr 6, 1996 (29)",€8.00m,1996,8000.0,78,41,41,50
Türkiye,Süper Lig,Besiktas JK,5,Demir Ege Tıknaz,Defensive Midfield,"Aug 17, 2004 (20)",€5.00m,2004,5000.0,74,38,38,47
Türkiye,Süper Lig,Besiktas JK,6,Amir Hadziahmetovic,Defensive Midfield,"Mar 8, 1997 (28)",€4.50m,1997,4500.0,75,39,39,48
Türkiye,Süper Lig,Besiktas JK,17,Kartal Yılmaz,Defensive Midfield,"Nov 4, 2000 (24)",€2.60m,2000,2600.0,72,37,37,46
Türkiye,Süper Lig,Besiktas JK,-,Jean Onana,Defensive Midfield,"Jan 8, 2000 (25)",€1.80m,2000,1800.0,70,36,36,45
Türkiye,Süper Lig,Besiktas JK,10,Orkun Kökçü,Central Midfield,"Dec 29, 2000 (24)",€30.00m,2000,30000.0,85,49,54,49
Türkiye,Süper Lig,Besiktas JK,83,Gedson Fernandes,Central Midfield,"Jan 9, 1999 (26)",€18.00m,1999,18000.0,82,48,52,48
Türkiye,Süper Lig,Besiktas JK,77,Élan Ricardo,Central Midfield,"Feb 20, 2004 (21)",€2.20m,2004,2200.0,70,41,45,41
