country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Türkiye,Süper Lig,Gaziantep FK,71,Burak Bozan,Goalkeeper,"Aug 23, 2000 (24)",€600k,2000,600.0,64,28,29,58
Türkiye,Süper Lig,Gaziantep FK,1,Sokratis Dioudis,Goalkeeper,"Feb 3, 1993 (32)",€225k,1993,225.0,59,25,27,54
Türkiye,Süper Lig,Gaziantep FK,99,Halil Bağcı,Goalkeeper,"Apr 4, 2003 (22)",€50k,2003,50.0,50,22,23,46
Türkiye,Süper Lig,Gaziantep FK,17,Semih Güler,Centre-Back,"Nov 30, 1994 (30)",€1.10m,1994,1100.0,68,31,35,56
Türkiye,Süper Lig,Gaziantep FK,4,Arda Kızıldağ,Centre-Back,"Oct 15, 1998 (26)",€900k,1998,900.0,66,30,34,54
Türkiye,Süper Lig,Gaziantep FK,14,Myenty Abena,Centre-Back,"Dec 12, 1994 (30)",€700k,1994,700.0,65,30,34,53
Türkiye,Süper Lig,Gaziantep FK,77,Kévin Rodrigues,Left-Back,"Mar 5, 1994 (31)",€1.30m,1994,1300.0,68,33,37,52
Türkiye,Süper Lig,Gaziantep FK,29,Onur Başyiğit,Left-Back,"Jun 12, 2004 (21)",€150k,2004,150.0,56,27,31,43
Türkiye,Süper Lig,Gaziantep FK,22,Salem M'Bakata,Right-Back,"Apr 19, 1998 (27)",€600k,1998,600.0,64,31,35,49
Türkiye,Süper Lig,Gaziantep FK,25,Ogün Özçiçek,Defensive Midfield,"Jan 24, 1999 (26)",€400k,1999,400.0,62,32,32,40
Türkiye,Süper Lig,Gaziantep FK,20,Badou Ndiaye,Defensive Midfield,"Oct 27, 1990 (34)",€375k,1990,375.0,62,32,32,40
Türkiye,Süper Lig,Gaziantep FK,7,Juninho Bacuna,Central Midfield,"Aug 7, 1997 (27)",€3.00m,1997,3000.0,73,42,47,42
Türkiye,Süper Lig,Gaziantep FK,8,Furkan Soyalp,Central Midfield,"Jun 12, 1995 (30)",€400k,1995,400.0,62,36,40,36
Türkiye,Süper Lig,Gaziantep FK,6,Quentin Daubin,Central Midfield,"Jul 3, 1995 (30)",€350k,1995,350.0,61,35,39,35
Türkiye,Süper Lig,Gaziantep FK,-,Eren Çakır,Central Midfield,"Feb 18, 2004 (21)",€10k,2004,10.0,41,24,26,24
Türkiye,Süper Lig,Gaziantep FK,10,Kacper Kozlowski,Attacking Midfield,"Oct 16, 2003 (21)",€4.20m,2003,4200.0,74,50,45,38
Türkiye,Süper Lig,Gaziantep FK,44,Alexandru Maxim,Attacking Midfield,"Jul 8, 1990 (35)",€500k,1990,500.0,64,43,39,33
Türkiye,Süper Lig,Gaziantep FK,85,Burak Enes Yıkıcı,Attacking Midfield,"Mar 29, 2004 (21)",-,2004,43.0,49,33,30,25
Türkiye,Süper Lig,Gaziantep FK,11,Christopher Lungoyi,Left Winger,"Jul 4, 2000 (25)",€800k,2000,800.0,65,49,38,30
Türkiye,Süper Lig,Gaziantep FK,-,Mirza Cihan,Left Winger,"Oct 26, 2000 (24)",€200k,2000,200.0,58,44,34,27
Türkiye,Süper Lig,Gaziantep FK,-,Mehmet Kuzucu,Left Winger,"Sep 20, 2003 (21)",€50k,2003,50.0,50,38,29,23
Türkiye,Süper Lig,Gaziantep FK,18,Deian Sorescu,Right Winger,"Aug 29, 1997 (27)",€2.00m,1997,2000.0,70,53,41,32
Türkiye,Süper Lig,Gaziantep FK,16,Ali Mevran Ablak,Right Winger,"Jul 27, 2003 (21)",-,2003,21.0,45,34,26,21
Türkiye,Süper Lig,Gaziantep FK,21,Emmanuel Boateng,Centre-Forward,"May 23, 1996 (29)",€1.60m,1996,1600.0,69,57,38,30
