country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Gökhan Akkan,Goalkeeper,"Jan 1, 1995 (30)",€550k,1995,550.0,64,28,29,58
Türkiye,Süper Lig,Genclerbirligi Ankara,18,Erhan Erentürk,Goalkeeper,"May 30, 1995 (30)",€225k,1995,225.0,59,25,27,54
Türkiye,Süper Lig,Genclerbirligi Ankara,1,Ebrar Aydın,Goalkeeper,"Sep 3, 2000 (24)",€25k,2000,25.0,47,20,22,43
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Dimitrios Goutas,Centre-Back,"Apr 4, 1994 (31)",€1.20m,1994,1200.0,68,31,35,56
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Thalisson,Centre-Back,"May 7, 1998 (27)",€700k,1998,700.0,65,30,34,53
Türkiye,Süper Lig,Genclerbirligi Ankara,15,Zan Zuzek,Centre-Back,"Jan 26, 1997 (28)",€325k,1997,325.0,61,28,32,50
Türkiye,Süper Lig,Genclerbirligi Ankara,4,Abdullah Şahindere,Centre-Back,"Jun 9, 2003 (22)",€25k,2003,25.0,46,21,24,38
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Arda Çağan Çelik,Centre-Back,"Mar 29, 2005 (20)",-,2005,15.0,43,20,22,35
Türkiye,Süper Lig,Genclerbirligi Ankara,25,Umut İslamoğlu,Centre-Back,"Jan 11, 2007 (18)",-,2007,74.0,51,23,27,42
Türkiye,Süper Lig,Genclerbirligi Ankara,23,Matej Hanousek,Left-Back,"Jun 2, 1993 (32)",€175k,1993,175.0,58,28,32,44
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Pedro Pereira,Right-Back,"Jan 22, 1998 (27)",€1.50m,1998,1500.0,69,34,38,52
Türkiye,Süper Lig,Genclerbirligi Ankara,88,Fıratcan Üzüm,Right-Back,"Jun 4, 1999 (26)",€225k,1999,225.0,59,29,32,45
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Berat Can Sebat,Right-Back,"Oct 10, 2003 (21)",€10k,2003,10.0,41,20,23,31
Türkiye,Süper Lig,Genclerbirligi Ankara,27,Emirhan Ünal,Right-Back,"Feb 4, 2005 (20)",-,2005,15.0,43,21,24,33
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Oğulcan Ülgün,Defensive Midfield,"May 11, 1998 (27)",€1.40m,1998,1400.0,68,35,35,44
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Moussa Kyabou,Defensive Midfield,"Apr 18, 1998 (27)",€450k,1998,450.0,62,32,32,40
Türkiye,Süper Lig,Genclerbirligi Ankara,5,Peter Etebo,Defensive Midfield,"Nov 9, 1995 (29)",€400k,1995,400.0,62,32,32,40
Türkiye,Süper Lig,Genclerbirligi Ankara,20,Mikail Okyar,Defensive Midfield,"Jan 23, 1999 (26)",€300k,1999,300.0,60,31,31,38
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Ataberk Gök,Defensive Midfield,"Apr 19, 2000 (25)",-,2000,93.0,54,28,28,35
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Abdullah Yıldızer,Defensive Midfield,"Jul 8, 2005 (20)",-,2005,87.0,52,27,27,33
Türkiye,Süper Lig,Genclerbirligi Ankara,61,Ensar Kemaloğlu,Central Midfield,"Oct 5, 1998 (26)",€500k,1998,500.0,63,37,40,37
Türkiye,Süper Lig,Genclerbirligi Ankara,8,Samed Onur,Central Midfield,"Jul 15, 2002 (23)",€350k,2002,350.0,61,35,39,35
Türkiye,Süper Lig,Genclerbirligi Ankara,14,Michal Nalepa,Central Midfield,"Mar 24, 1995 (30)",€275k,1995,275.0,60,35,38,35
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Eralp Aydın,Central Midfield,"Feb 26, 2004 (21)",€75k,2004,75.0,52,30,33,30
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Arda Temur,Central Midfield,"Aug 2, 2004 (20)",€50k,2004,50.0,50,29,32,29
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Henry Onyekuru,Left Winger,"Jun 5, 1997 (28)",€3.00m,1997,3000.0,73,55,42,34
Türkiye,Süper Lig,Genclerbirligi Ankara,10,Metehan Mimaroğlu,Left Winger,"Jul 7, 1994 (31)",€400k,1994,400.0,62,47,36,29
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Emirkan Demir,Left Winger,"Jan 1, 2003 (22)",-,2003,96.0,53,40,31,24
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Elias Durmaz,Right Winger,"Apr 21, 2000 (25)",€100k,2000,100.0,54,41,31,25
Türkiye,Süper Lig,Genclerbirligi Ankara,9,Daniel Popa,Centre-Forward,"Jul 14, 1995 (30)",€650k,1995,650.0,65,53,36,28
Türkiye,Süper Lig,Genclerbirligi Ankara,99,Léo Gaúcho,Centre-Forward,"Aug 3, 2001 (23)",€350k,2001,350.0,61,50,34,26
Türkiye,Süper Lig,Genclerbirligi Ankara,19,Gökhan Altıparmak,Centre-Forward,"Apr 20, 2001 (24)",€150k,2001,150.0,56,46,31,24
Türkiye,Süper Lig,Genclerbirligi Ankara,-,Arda Akgül,Centre-Forward,"Mar 25, 2005 (20)",-,2005,2.0,32,26,18,14
