country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Türkiye,Süper Lig,Kocaelispor,-,Aleksandar Jovanovic,Goalkeeper,"Dec 6, 1992 (32)",€2.00m,1992,2000.0,71,31,33,65
Türkiye,Süper Lig,Kocaelispor,-,Serhat Öztaşdelen,Goalkeeper,"Dec 9, 2004 (20)",€200k,2004,200.0,57,25,26,52
Türkiye,Süper Lig,Kocaelispor,35,Gökhan Değirmenci,Goalkeeper,"Mar 21, 1989 (36)",€50k,1989,50.0,51,22,23,46
Türkiye,Süper Lig,Kocaelispor,91,Ahmet Hasan Göcen,Goalkeeper,"Jun 10, 2003 (22)",€25k,2003,25.0,46,20,21,42
Türkiye,Süper Lig,Kocaelispor,5,Aaron Appindangoyé,Centre-Back,"Feb 20, 1992 (33)",€400k,1992,400.0,62,29,32,51
Türkiye,Süper Lig,Kocaelispor,15,Tarkan Serbest,Centre-Back,"May 2, 1994 (31)",€275k,1994,275.0,60,28,31,49
Türkiye,Süper Lig,Kocaelispor,41,Onur Öztonga,Centre-Back,"Jan 6, 2000 (25)",€150k,2000,150.0,56,26,29,46
Türkiye,Süper Lig,Kocaelispor,-,Massadio Haïdara,Left-Back,"Dec 2, 1992 (32)",€1.50m,1992,1500.0,69,34,38,52
Türkiye,Süper Lig,Kocaelispor,3,Muharrem Cinan,Left-Back,"May 13, 1998 (27)",€500k,1998,500.0,63,31,35,48
Türkiye,Süper Lig,Kocaelispor,-,Anfernee Dijksteel,Right-Back,"Oct 27, 1996 (28)",€1.20m,1996,1200.0,68,33,37,52
Türkiye,Süper Lig,Kocaelispor,22,Ahmet Oğuz,Right-Back,"Jan 16, 1993 (32)",€450k,1993,450.0,63,31,35,48
Türkiye,Süper Lig,Kocaelispor,-,Show,Defensive Midfield,"Mar 6, 1999 (26)",€600k,1999,600.0,64,33,33,41
Türkiye,Süper Lig,Kocaelispor,-,Joseph Nonge,Central Midfield,"May 15, 2005 (20)",€2.00m,2005,2000.0,69,40,44,40
Türkiye,Süper Lig,Kocaelispor,8,Cihat Çelik,Central Midfield,"Jan 2, 1996 (29)",€400k,1996,400.0,62,36,40,36
Türkiye,Süper Lig,Kocaelispor,23,Samet Yalçın,Central Midfield,"Mar 3, 1994 (31)",€275k,1994,275.0,60,35,38,35
Türkiye,Süper Lig,Kocaelispor,45,Mesut Can Tunalı,Central Midfield,"Jul 8, 2001 (24)",€250k,2001,250.0,59,34,38,34
Türkiye,Süper Lig,Kocaelispor,-,Ümitcan Ekşi,Central Midfield,"Jan 21, 2004 (21)",€100k,2004,100.0,53,31,34,31
Türkiye,Süper Lig,Kocaelispor,11,Mijo Caktas,Attacking Midfield,"May 8, 1992 (33)",€300k,1992,300.0,61,41,37,32
Türkiye,Süper Lig,Kocaelispor,72,Rigoberto Rivas,Left Winger,"Jul 31, 1998 (26)",€1.40m,1998,1400.0,68,52,39,31
Türkiye,Süper Lig,Kocaelispor,20,Ryan Mendes,Left Winger,"Jan 8, 1990 (35)",€450k,1990,450.0,63,48,37,29
Türkiye,Süper Lig,Kocaelispor,18,Furkan Gedik,Left Winger,"Jul 12, 2002 (23)",€250k,2002,250.0,59,45,34,27
Türkiye,Süper Lig,Kocaelispor,17,Oğulcan Çağlayan,Right Winger,"Mar 22, 1996 (29)",€700k,1996,700.0,65,49,38,30
Türkiye,Süper Lig,Kocaelispor,-,Bedirhan Yıldız,Right Winger,"Jan 30, 2005 (20)",€25k,2005,25.0,46,35,27,21
Türkiye,Süper Lig,Kocaelispor,-,Bruno Petkovic,Centre-Forward,"Sep 16, 1994 (30)",€3.00m,1994,3000.0,73,60,40,31
Türkiye,Süper Lig,Kocaelispor,9,Ahmet Sağat,Centre-Forward,"May 27, 1996 (29)",€500k,1996,500.0,63,52,35,27
Türkiye,Süper Lig,Kocaelispor,-,Dan Agyei,Centre-Forward,"Jun 1, 1997 (28)",€375k,1997,375.0,62,51,34,27
Türkiye,Süper Lig,Kocaelispor,-,Toheeb Lawal,Centre-Forward,"Dec 22, 2005 (19)",-,2005,17.0,44,36,24,19
