country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Türkiye,Süper Lig,Trabzonspor,1,Uğurcan Çakır,Goalkeeper,"Apr 5, 1996 (29)",€9.50m,1996,9500.0,79,34,36,72
Türkiye,Süper Lig,Trabzonspor,25,Onuralp Çevikkan,Goalkeeper,"Jan 2, 2006 (19)",€1.00m,2006,1000.0,65,28,30,59
Türkiye,Süper Lig,Trabzonspor,88,Ahmet Yıldırım,Goalkeeper,"Nov 1, 2006 (18)",-,2006,51.0,49,21,23,45
Türkiye,Süper Lig,Trabzonspor,44,Arseniy Batagov,Centre-Back,"Mar 5, 2002 (23)",€4.50m,2002,4500.0,74,34,38,61
Türkiye,Süper Lig,Trabzonspor,29,Serdar Saatçı,Centre-Back,"Feb 14, 2003 (22)",€2.50m,2003,2500.0,71,33,37,58
Türkiye,Süper Lig,Trabzonspor,2,Rayyan Baniya,Centre-Back,"Feb 18, 1999 (26)",€1.80m,1999,1800.0,70,32,36,57
Türkiye,Süper Lig,Trabzonspor,15,Stefan Savic,Centre-Back,"Jan 8, 1991 (34)",€900k,1991,900.0,67,31,35,55
Türkiye,Süper Lig,Trabzonspor,19,Mustafa Eskihellaç,Left-Back,"May 5, 1997 (28)",€2.40m,1997,2400.0,71,35,39,54
Türkiye,Süper Lig,Trabzonspor,-,Borna Barisic,Left-Back,"Nov 10, 1992 (32)",€800k,1992,800.0,66,32,36,50
Türkiye,Süper Lig,Trabzonspor,77,Arif Boşluk,Left-Back,"Jun 6, 2003 (22)",€450k,2003,450.0,62,30,34,47
Türkiye,Süper Lig,Trabzonspor,20,Wagner Pina,Right-Back,"Nov 3, 2002 (22)",€5.00m,2002,5000.0,75,37,41,57
Türkiye,Süper Lig,Trabzonspor,6,Batista Mendy,Defensive Midfield,"Jan 12, 2000 (25)",€10.00m,2000,10000.0,79,41,41,51
Türkiye,Süper Lig,Trabzonspor,5,John Lundstram,Defensive Midfield,"Feb 18, 1994 (31)",€2.80m,1994,2800.0,73,38,38,47
Türkiye,Süper Lig,Trabzonspor,35,Okay Yokuşlu,Defensive Midfield,"Mar 9, 1994 (31)",€2.60m,1994,2600.0,72,37,37,46
Türkiye,Süper Lig,Trabzonspor,74,Salih Malkoçoğlu,Defensive Midfield,"Feb 23, 2005 (20)",€1.20m,2005,1200.0,66,34,34,42
Türkiye,Süper Lig,Trabzonspor,11,Ozan Tufan,Central Midfield,"Mar 23, 1995 (30)",€2.20m,1995,2200.0,71,41,45,41
Türkiye,Süper Lig,Trabzonspor,26,Tim Jabol-Folcarelli,Central Midfield,"Dec 6, 1999 (25)",€2.00m,1999,2000.0,70,41,45,41
Türkiye,Süper Lig,Trabzonspor,10,Muhammed Cham,Attacking Midfield,"Sep 26, 2000 (24)",€5.50m,2000,5500.0,76,51,46,40
Türkiye,Süper Lig,Trabzonspor,33,Göktan Gürpüz,Attacking Midfield,"Jan 22, 2003 (22)",€1.00m,2003,1000.0,66,44,40,34
Türkiye,Süper Lig,Trabzonspor,9,Anthony Nwakaeme,Left Winger,"Mar 21, 1989 (36)",€600k,1989,600.0,65,49,38,30
Türkiye,Süper Lig,Trabzonspor,22,Oleksandr Zubkov,Right Winger,"Aug 3, 1996 (28)",€8.00m,1996,8000.0,78,59,45,36
Türkiye,Süper Lig,Trabzonspor,61,Cihan Çanak,Right Winger,"Jan 24, 2005 (20)",€3.50m,2005,3500.0,72,55,42,33
Türkiye,Süper Lig,Trabzonspor,7,Edin Visca,Right Winger,"Feb 17, 1990 (35)",€1.20m,1990,1200.0,68,52,39,31
Türkiye,Süper Lig,Trabzonspor,14,Danylo Sikan,Centre-Forward,"Apr 16, 2001 (24)",€6.00m,2001,6000.0,76,62,42,33
Türkiye,Süper Lig,Trabzonspor,30,Paul Onuachu,Centre-Forward,"May 28, 1994 (31)",€6.00m,1994,6000.0,77,63,42,33
Türkiye,Süper Lig,Trabzonspor,94,Enis Destan,Centre-Forward,"Jun 15, 2002 (23)",€3.00m,2002,3000.0,72,59,40,31
Türkiye,Süper Lig,Trabzonspor,99,Felipe Augusto,Centre-Forward,"Feb 18, 2004 (21)",€2.20m,2004,2200.0,70,57,38,30
