country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Türkiye,Süper Lig,Eyüpspor,1,Berke Özer,Goalkeeper,"May 25, 2000 (25)",€6.00m,2000,6000.0,76,33,35,69
Türkiye,Süper Lig,Eyüpspor,45,Halil Yeral,Goalkeeper,"Jan 1, 2000 (25)",€75k,2000,75.0,53,23,24,48
Türkiye,Süper Lig,Eyüpspor,26,Alp Köseer,Goalkeeper,"Jan 1, 2003 (22)",€50k,2003,50.0,50,22,23,46
Türkiye,Süper Lig,Eyüpspor,18,Nihad Mujakic,Centre-Back,"Apr 15, 1998 (27)",€1.00m,1998,1000.0,67,31,35,55
Türkiye,Süper Lig,Eyüpspor,6,Robin Yalçın,Centre-Back,"Jan 25, 1994 (31)",€600k,1994,600.0,64,29,33,52
Türkiye,Süper Lig,Eyüpspor,5,Emir Ortakaya,Centre-Back,"Jun 22, 2004 (21)",€500k,2004,500.0,62,29,32,51
Türkiye,Süper Lig,Eyüpspor,4,Luccas Claro,Centre-Back,"Oct 2, 1991 (33)",€400k,1991,400.0,62,29,32,51
Türkiye,Süper Lig,Eyüpspor,-,Ahmet Özkaya,Centre-Back,"Nov 10, 2004 (20)",€100k,2004,100.0,53,24,28,43
Türkiye,Süper Lig,Eyüpspor,-,Mustafa Eren Damar,Centre-Back,"Mar 7, 2004 (21)",-,2004,7.0,39,18,20,32
Türkiye,Süper Lig,Eyüpspor,77,Umut Meraş,Left-Back,"Dec 20, 1995 (29)",€450k,1995,450.0,63,31,35,48
Türkiye,Süper Lig,Eyüpspor,-,Calegari,Right-Back,"Feb 27, 2002 (23)",€3.50m,2002,3500.0,73,36,40,55
Türkiye,Süper Lig,Eyüpspor,-,Talha Ülvan,Right-Back,"Apr 20, 2001 (24)",€250k,2001,250.0,59,29,32,45
Türkiye,Süper Lig,Eyüpspor,33,Taras Stepanenko,Defensive Midfield,"Aug 8, 1989 (35)",€850k,1989,850.0,67,35,35,43
Türkiye,Süper Lig,Eyüpspor,57,Melih Kabasakal,Defensive Midfield,"Feb 18, 1996 (29)",€700k,1996,700.0,65,34,34,42
Türkiye,Süper Lig,Eyüpspor,28,Taşkın İlter,Defensive Midfield,"Jul 5, 1994 (31)",€200k,1994,200.0,58,30,30,37
Türkiye,Süper Lig,Eyüpspor,10,Kerem Demirbay,Central Midfield,"Jul 3, 1993 (32)",€2.30m,1993,2300.0,72,42,46,42
Türkiye,Süper Lig,Eyüpspor,30,Yalçın Kayan,Central Midfield,"Jan 30, 1999 (26)",€600k,1999,600.0,64,37,41,37
Türkiye,Süper Lig,Eyüpspor,81,Hamza Akman,Central Midfield,"Sep 27, 2004 (20)",€300k,2004,300.0,59,34,38,34
Türkiye,Süper Lig,Eyüpspor,22,Erdem Çalık,Central Midfield,"Jun 5, 2006 (19)",€125k,2006,125.0,54,31,35,31
Türkiye,Süper Lig,Eyüpspor,-,Buğra Çağlıyan,Central Midfield,"Apr 13, 2004 (21)",-,2004,64.0,51,30,33,30
Türkiye,Süper Lig,Eyüpspor,-,Can Bayırkan,Central Midfield,"Mar 29, 2003 (22)",-,2003,23.0,46,27,29,27
Türkiye,Süper Lig,Eyüpspor,-,İsmail Can Fidan,Central Midfield,"Apr 30, 2003 (22)",-,2003,15.0,44,26,28,26
Türkiye,Süper Lig,Eyüpspor,-,Svit Seslar,Attacking Midfield,"Jan 9, 2002 (23)",€2.50m,2002,2500.0,71,48,43,37
Türkiye,Süper Lig,Eyüpspor,8,Emre Akbaba,Attacking Midfield,"Oct 4, 1992 (32)",€800k,1992,800.0,66,44,40,34
Türkiye,Süper Lig,Eyüpspor,-,Samu Saiz,Attacking Midfield,"Jan 22, 1991 (34)",€200k,1991,200.0,59,40,36,31
Türkiye,Süper Lig,Eyüpspor,40,Prince Ampem,Left Winger,"Apr 13, 1998 (27)",€1.50m,1998,1500.0,69,52,40,32
Türkiye,Süper Lig,Eyüpspor,-,Mete Demir,Left Winger,"May 13, 1998 (27)",€275k,1998,275.0,60,46,35,28
Türkiye,Süper Lig,Eyüpspor,11,Serdar Gürler,Left Winger,"Sep 14, 1991 (33)",€150k,1991,150.0,57,43,33,26
Türkiye,Süper Lig,Eyüpspor,-,Ahmet Yazar,Left Winger,"Mar 10, 1995 (30)",€75k,1995,75.0,53,40,31,24
Türkiye,Süper Lig,Eyüpspor,-,Berkay Kumlu,Left Winger,"Dec 25, 2004 (20)",€50k,2004,50.0,50,38,29,23
Türkiye,Süper Lig,Eyüpspor,7,Halil Akbunar,Right Winger,"Nov 9, 1993 (31)",€850k,1993,850.0,66,50,38,30
Türkiye,Süper Lig,Eyüpspor,17,Hüseyin Maldar,Right Winger,"Jan 26, 2007 (18)",€350k,2007,350.0,59,45,34,27
Türkiye,Süper Lig,Eyüpspor,-,Denis Drăguș,Centre-Forward,"Jul 6, 1999 (26)",€3.50m,1999,3500.0,73,60,40,31
Türkiye,Süper Lig,Eyüpspor,9,Mame Thiam,Centre-Forward,"Oct 9, 1992 (32)",€1.70m,1992,1700.0,70,57,38,30
Türkiye,Süper Lig,Eyüpspor,19,Umut Bozok,Centre-Forward,"Sep 19, 1996 (28)",€1.40m,1996,1400.0,69,57,38,30
