country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Türkiye,Süper Lig,Fatih Karagümrük,99,Furkan Bekleviç,Goalkeeper,"Jan 31, 1999 (26)",€400k,1999,400.0,62,27,29,56
Türkiye,Süper Lig,Fatih Karagümrük,-,Enzo Roco,Centre-Back,"Aug 16, 1992 (32)",€600k,1992,600.0,64,29,33,52
Türkiye,Süper Lig,Fatih Karagümrük,-,Nikoloz Ugrekhelidze,Centre-Back,"Aug 15, 2003 (21)",€350k,2003,350.0,60,28,31,49
Türkiye,Süper Lig,Fatih Karagümrük,-,Fatih Kurucuk,Centre-Back,"Jan 21, 1998 (27)",€275k,1998,275.0,60,28,31,49
Türkiye,Süper Lig,Fatih Karagümrük,94,Anıl Yiğit Çınar,Centre-Back,"Jul 10, 2003 (22)",€100k,2003,100.0,54,25,28,44
Türkiye,Süper Lig,Fatih Karagümrük,-,Jure Balkovec,Left-Back,"Sep 9, 1994 (30)",€850k,1994,850.0,66,32,36,50
Türkiye,Süper Lig,Fatih Karagümrük,33,Çağtay Kurukalıp,Left-Back,"Feb 24, 2002 (23)",€600k,2002,600.0,64,31,35,49
Türkiye,Süper Lig,Fatih Karagümrük,2,İrfan Köse,Right-Back,"Apr 4, 2004 (21)",€75k,2004,75.0,52,25,29,40
Türkiye,Süper Lig,Fatih Karagümrük,14,Maruis Tresor Doh,Defensive Midfield,"Dec 17, 2003 (21)",€1.50m,2003,1500.0,68,35,35,44
Türkiye,Süper Lig,Fatih Karagümrük,35,Atakan Çankaya,Defensive Midfield,"Jun 25, 1998 (27)",€1.00m,1998,1000.0,67,35,35,43
Türkiye,Süper Lig,Fatih Karagümrük,-,Adnan Uğur,Central Midfield,"Jun 28, 2001 (24)",€250k,2001,250.0,59,34,38,34
Türkiye,Süper Lig,Fatih Karagümrük,5,Alper Demirol,Central Midfield,"Oct 1, 2002 (22)",€250k,2002,250.0,59,34,38,34
Türkiye,Süper Lig,Fatih Karagümrük,88,Ömer Gümüş,Central Midfield,"Jul 7, 2003 (22)",€100k,2003,100.0,54,31,35,31
Türkiye,Süper Lig,Fatih Karagümrük,16,Tuğbey Akgün,Central Midfield,"Apr 9, 2003 (22)",€75k,2003,75.0,52,30,33,30
Türkiye,Süper Lig,Fatih Karagümrük,11,Daniel Johnson,Attacking Midfield,"Oct 8, 1992 (32)",€500k,1992,500.0,63,42,38,33
Türkiye,Süper Lig,Fatih Karagümrük,72,Barış Kalaycı,Attacking Midfield,"Aug 30, 2005 (19)",€125k,2005,125.0,54,36,33,28
Türkiye,Süper Lig,Fatih Karagümrük,7,João Camacho,Left Winger,"Jun 23, 1994 (31)",€650k,1994,650.0,65,49,38,30
Türkiye,Süper Lig,Fatih Karagümrük,70,Serginho,Left Winger,"Apr 6, 1995 (30)",€650k,1995,650.0,65,49,38,30
Türkiye,Süper Lig,Fatih Karagümrük,77,Tarık Tuğyan,Right Winger,"Aug 14, 2004 (20)",€75k,2004,75.0,52,40,30,24
Türkiye,Süper Lig,Fatih Karagümrük,91,Andre Gray,Centre-Forward,"Jun 26, 1991 (34)",€600k,1991,600.0,65,53,36,28
Türkiye,Süper Lig,Fatih Karagümrük,-,Tiago Çukur,Centre-Forward,"Nov 30, 2002 (22)",€400k,2002,400.0,61,50,34,26
Türkiye,Süper Lig,Fatih Karagümrük,17,Ahmet Sivri,Centre-Forward,"Jul 6, 1999 (26)",€225k,1999,225.0,59,48,32,25
