country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Türkiye,Süper Lig,Göztepe,1,Mateusz Lis,Goalkeeper,"Feb 27, 1997 (28)",€1.80m,1997,1800.0,70,30,32,64
Türkiye,Süper Lig,Göztepe,-,Ekrem Kılıçarslan,Goalkeeper,"Aug 22, 1997 (27)",€300k,1997,300.0,60,26,28,55
Türkiye,Süper Lig,Göztepe,4,Taha Altıkardeş,Centre-Back,"Aug 22, 2003 (21)",€5.50m,2003,5500.0,75,34,39,62
Türkiye,Süper Lig,Göztepe,26,Malcom Bokele,Centre-Back,"Feb 12, 2000 (25)",€2.40m,2000,2400.0,71,33,37,58
Türkiye,Süper Lig,Göztepe,23,Furkan Bayır,Centre-Back,"Feb 9, 2000 (25)",€1.50m,2000,1500.0,69,32,36,57
Türkiye,Süper Lig,Göztepe,5,Héliton,Centre-Back,"Nov 13, 1995 (29)",€950k,1995,950.0,67,31,35,55
Türkiye,Süper Lig,Göztepe,93,Allan Godói,Centre-Back,"Apr 4, 1993 (32)",€100k,1993,100.0,55,25,29,45
Türkiye,Süper Lig,Göztepe,45,Ege Yıldırım,Centre-Back,"Apr 18, 2007 (18)",€50k,2007,50.0,48,22,25,39
Türkiye,Süper Lig,Göztepe,-,Erkam Kömür,Right-Back,"Jul 15, 2002 (23)",€100k,2002,100.0,54,26,30,41
Türkiye,Süper Lig,Göztepe,30,Anthony Dennis,Defensive Midfield,"Jun 21, 2004 (21)",€4.00m,2004,4000.0,73,38,38,47
Türkiye,Süper Lig,Göztepe,20,Novatus Miroshi,Defensive Midfield,"Sep 2, 2002 (22)",€1.00m,2002,1000.0,66,34,34,42
Türkiye,Süper Lig,Göztepe,98,Rhaldney,Defensive Midfield,"Nov 20, 1998 (26)",€600k,1998,600.0,64,33,33,41
Türkiye,Süper Lig,Göztepe,8,Ahmed Ildız,Central Midfield,"Nov 28, 1996 (28)",€375k,1996,375.0,62,36,40,36
Türkiye,Süper Lig,Göztepe,32,Furkan Malak,Central Midfield,"Jan 14, 2005 (20)",-,2005,19.0,44,26,28,26
Türkiye,Süper Lig,Göztepe,22,Uğur Kaan Yıldız,Right Midfield,"Aug 6, 2002 (22)",€1.20m,2002,1200.0,67,39,43,39
Türkiye,Süper Lig,Göztepe,77,Ogün Bayrak,Right Midfield,"Oct 10, 1998 (26)",€900k,1998,900.0,66,38,42,38
Türkiye,Süper Lig,Göztepe,99,Arda Okan Kurtulan,Right Midfield,"Nov 19, 2002 (22)",€350k,2002,350.0,61,35,39,35
Türkiye,Süper Lig,Göztepe,75,Amin Cherni,Left Midfield,"Jul 7, 2001 (24)",€900k,2001,900.0,66,38,42,38
Türkiye,Süper Lig,Göztepe,12,İsmail Köybaşı,Left Midfield,"Jul 10, 1989 (36)",€50k,1989,50.0,51,30,33,30
Türkiye,Süper Lig,Göztepe,43,David Tijanic,Attacking Midfield,"Jul 16, 1997 (28)",€1.80m,1997,1800.0,70,47,43,36
Türkiye,Süper Lig,Göztepe,27,Emir Enes Araz,Attacking Midfield,"Aug 7, 2006 (18)",-,2006,8.0,39,26,24,20
Türkiye,Süper Lig,Göztepe,-,Junior Olaitan,Left Winger,"May 9, 2002 (23)",€500k,2002,500.0,63,48,37,29
Türkiye,Süper Lig,Göztepe,79,Rômulo,Centre-Forward,"Feb 8, 2002 (23)",€11.00m,2002,11000.0,79,65,43,34
Türkiye,Süper Lig,Göztepe,9,Juan,Centre-Forward,"Mar 7, 2002 (23)",€2.50m,2002,2500.0,71,58,39,31
Türkiye,Süper Lig,Göztepe,19,Emersonn,Centre-Forward,"Jul 16, 2004 (21)",€1.40m,2004,1400.0,67,55,37,29
Türkiye,Süper Lig,Göztepe,39,Janderson,Centre-Forward,"May 6, 1999 (26)",€1.20m,1999,1200.0,68,56,37,29
Türkiye,Süper Lig,Göztepe,7,Ibrahim Sabra,Centre-Forward,"Feb 1, 2006 (19)",€275k,2006,275.0,58,48,32,25
