country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Türkiye,Süper Lig,Konyaspor,1,Deniz Ertaş,Goalkeeper,"Mar 20, 2005 (20)",€1.00m,2005,1000.0,65,28,30,59
Türkiye,Süper Lig,Konyaspor,13,Bahadır Güngördü,Goalkeeper,"Jan 16, 1996 (29)",€600k,1996,600.0,64,28,29,58
Türkiye,Süper Lig,Konyaspor,25,Egemen Aydın,Goalkeeper,"May 12, 2007 (18)",-,2007,59.0,49,21,23,45
Türkiye,Süper Lig,Konyaspor,20,Riechedly Bazoer,Centre-Back,"Oct 12, 1996 (28)",€3.00m,1996,3000.0,73,34,38,60
Türkiye,Süper Lig,Konyaspor,4,Adil Demirbağ,Centre-Back,"Dec 10, 1997 (27)",€1.80m,1997,1800.0,70,32,36,57
Türkiye,Süper Lig,Konyaspor,5,Uğurcan Yazğılı,Centre-Back,"Apr 9, 1999 (26)",€1.20m,1999,1200.0,68,31,35,56
Türkiye,Süper Lig,Konyaspor,15,Josip Calusic,Centre-Back,"Oct 11, 1993 (31)",€500k,1993,500.0,63,29,33,52
Türkiye,Süper Lig,Konyaspor,-,Metehan Mert,Centre-Back,"May 1, 1999 (26)",€250k,1999,250.0,59,27,31,48
Türkiye,Süper Lig,Konyaspor,44,Mehmet Kaya,Centre-Back,"Sep 17, 2004 (20)",€50k,2004,50.0,50,23,26,41
Türkiye,Süper Lig,Konyaspor,37,Utku Eriş,Centre-Back,"Jul 19, 2006 (19)",-,2006,86.0,52,24,27,43
Türkiye,Süper Lig,Konyaspor,12,Guilherme,Left-Back,"Apr 1, 1990 (35)",€475k,1990,475.0,63,31,35,48
Türkiye,Süper Lig,Konyaspor,3,Yasir Subaşı,Left-Back,"Jan 1, 1996 (29)",€125k,1996,125.0,56,27,31,43
Türkiye,Süper Lig,Konyaspor,23,Yhoan Andzouana,Right-Back,"Dec 13, 1996 (28)",€600k,1996,600.0,64,31,35,49
Türkiye,Süper Lig,Konyaspor,17,Abdurrahman Üresin,Right-Back,"Jan 5, 2004 (21)",€175k,2004,175.0,56,27,31,43
Türkiye,Süper Lig,Konyaspor,19,Ufuk Akyol,Defensive Midfield,"Aug 27, 1997 (27)",€650k,1997,650.0,64,33,33,41
Türkiye,Süper Lig,Konyaspor,16,Marko Jevtovic,Defensive Midfield,"Jul 24, 1993 (32)",€600k,1993,600.0,64,33,33,41
Türkiye,Süper Lig,Konyaspor,21,Mücahit Ibrahimoglu,Defensive Midfield,"Mar 9, 2005 (20)",€200k,2005,200.0,57,30,30,36
Türkiye,Süper Lig,Konyaspor,-,Semih Kocatürk,Defensive Midfield,"Oct 14, 2005 (19)",-,2005,37.0,48,25,25,31
Türkiye,Süper Lig,Konyaspor,42,Morten Bjørlo,Central Midfield,"Oct 4, 1995 (29)",€1.00m,1995,1000.0,67,39,43,39
Türkiye,Süper Lig,Konyaspor,-,Jin-ho Jo,Central Midfield,"Jul 10, 2003 (22)",€500k,2003,500.0,62,36,40,36
Türkiye,Süper Lig,Konyaspor,26,Emmanuel Boateng,Central Midfield,"Jun 17, 1997 (28)",€425k,1997,425.0,62,36,40,36
Türkiye,Süper Lig,Konyaspor,-,Berke Çelik,Central Midfield,"Jan 1, 2006 (19)",-,2006,91.0,52,30,33,30
Türkiye,Süper Lig,Konyaspor,10,Enis Bardhi,Attacking Midfield,"Jul 2, 1995 (30)",€3.00m,1995,3000.0,73,49,45,38
Türkiye,Süper Lig,Konyaspor,8,Pedrinho,Attacking Midfield,"Dec 19, 1996 (28)",€1.30m,1996,1300.0,68,46,41,35
Türkiye,Süper Lig,Konyaspor,77,Melih İbrahimoğlu,Attacking Midfield,"Jul 17, 2000 (25)",€700k,2000,700.0,65,44,40,34
Türkiye,Süper Lig,Konyaspor,9,Danijel Aleksic,Attacking Midfield,"Apr 30, 1991 (34)",€500k,1991,500.0,64,43,39,33
Türkiye,Süper Lig,Konyaspor,11,Kaan Akyazı,Left Winger,"Aug 27, 2005 (19)",€50k,2005,50.0,49,37,28,23
Türkiye,Süper Lig,Konyaspor,18,Alassane Ndao,Right Winger,"Dec 20, 1996 (28)",€1.20m,1996,1200.0,68,52,39,31
Türkiye,Süper Lig,Konyaspor,7,Tunahan Taşçı,Right Winger,"Apr 29, 2002 (23)",€800k,2002,800.0,65,49,38,30
Türkiye,Süper Lig,Konyaspor,99,Blaz Kramer,Centre-Forward,"Jun 1, 1996 (29)",€1.10m,1996,1100.0,67,55,37,29
Türkiye,Süper Lig,Konyaspor,22,Umut Nayir,Centre-Forward,"Jun 28, 1993 (32)",€700k,1993,700.0,65,53,36,28
Türkiye,Süper Lig,Konyaspor,17,Melih Bostan,Centre-Forward,"Apr 8, 2004 (21)",€550k,2004,550.0,62,51,34,27
Türkiye,Süper Lig,Konyaspor,-,Bouly Junior Sambou,Centre-Forward,"Dec 1, 1998 (26)",€400k,1998,400.0,62,51,34,27
