Num,Name,Pos,Birthday,value
12,John Victor,Goalkeeper,"Feb 13, 1996 (29)",€8.00m
24,Léo Linck,Goalkeeper,"Mar 3, 2001 (24)",€1.50m
40,Cristhian Loor,Goalkeeper,"Mar 9, 2006 (19)",€350k
1,Raul,Goalkeeper,"Jul 28, 1997 (27)",€100k
20,Alexander Barboza,Centre-Back,"Mar 16, 1995 (30)",€5.00m
57,David Ricardo,Centre-Back,"Dec 21, 2002 (22)",€2.50m
31,Kaio,Centre-Back,"Sep 18, 1995 (29)",€1.80m
15,Bastos,Centre-Back,"Mar 27, 1991 (34)",€900k
-,Philipe Sampaio,Centre-Back,"Nov 11, 1994 (30)",€350k
63,Serafim,Centre-Back,"May 16, 2004 (21)",-
66,Cuiabano,Left-Back,"Feb 16, 2003 (22)",€8.00m
13,Alex Telles,Left-Back,"Dec 15, 1992 (32)",€4.00m
21,Marçal,Left-Back,"Feb 19, 1989 (36)",€300k
2,Vitinho,Right-Back,"Jul 23, 1999 (26)",€6.00m
4,Mateo Ponte,Right-Back,"May 24, 2003 (22)",€2.00m
-,Kadu Santos,Right-Back,"Aug 16, 2005 (19)",€350k
-,Danilo,Defensive Midfield,"Apr 29, 2001 (24)",€28.00m
17,Marlon Freitas,Defensive Midfield,"Mar 27, 1995 (30)",€6.00m
6,Patrick de Paula,Defensive Midfield,"Sep 8, 1999 (25)",€4.00m
5,Danilo Barbosa,Defensive Midfield,"Feb 28, 1996 (29)",€2.50m
25,Allan,Defensive Midfield,"Jan 8, 1991 (34)",€2.00m
28,Newton,Defensive Midfield,"Mar 12, 2000 (25)",€1.00m
18,Kauê,Central Midfield,"Oct 22, 2004 (20)",€2.00m
10,Jefferson Savarino,Attacking Midfield,"Nov 11, 1996 (28)",€10.00m
23,Santiago Rodríguez,Attacking Midfield,"Jan 8, 2000 (25)",€4.50m
8,Álvaro Montoro,Attacking Midfield,"Apr 17, 2007 (18)",€3.50m
-,Jordan Barrera,Attacking Midfield,"Apr 11, 2006 (19)",€1.00m
77,Kauan Lindes,Attacking Midfield,"Nov 28, 2003 (21)",€400k
11,Matheus Martins,Left Winger,"Jul 16, 2003 (22)",€7.00m
47,Jeffinho,Left Winger,"Dec 30, 1999 (25)",€5.00m
67,Yarlen,Left Winger,"Feb 20, 2006 (19)",€1.00m
7,Artur,Right Winger,"Feb 15, 1998 (27)",€8.00m
16,Nathan Fernandes,Right Winger,"Feb 16, 2005 (20)",€6.00m
-,Matías Segovia,Right Winger,"Jan 4, 2003 (22)",€2.20m
69,Rafael Lobato,Right Winger,"Feb 23, 2006 (19)",€1.50m
30,Joaquín Correa,Second Striker,"Aug 13, 1994 (30)",€3.00m
98,Arthur Cabral,Centre-Forward,"Apr 25, 1998 (27)",€10.00m
9,Rwan Cruz,Centre-Forward,"May 20, 2001 (24)",€5.00m
33,Elias Manoel,Centre-Forward,"Nov 30, 2001 (23)",€2.00m
39,Gonzalo Mastriani,Centre-Forward,"Apr 28, 1993 (32)",€1.50m
19,Kayke,Centre-Forward,"Jun 19, 2006 (19)",€1.00m
