Num,Name,Pos,Birthday,value
22,Everson,Goalkeeper,"Jul 22, 1990 (35)",€1.20m
1,Gabriel Delfim,Goalkeeper,"Jul 10, 2002 (23)",€200k
32,Gabriel Átila,Goalkeeper,"Jan 22, 2003 (22)",€100k
31,Robert,Goalkeeper,"Feb 3, 2005 (20)",-
4,Lyanco,Centre-Back,"Feb 1, 1997 (28)",€6.00m
6,Júnior Alonso,Centre-Back,"Feb 9, 1993 (32)",€3.50m
16,Igor Rabello,Centre-Back,"Apr 28, 1995 (30)",€1.70m
23,Iván Román,Centre-Back,"Jul 12, 2006 (19)",€1.50m
14,Vitor Hugo,Centre-Back,"May 20, 1991 (34)",€700k
47,Rômulo,Centre-Back,"Jan 31, 2004 (21)",€500k
13,Guilherme Arana,Left-Back,"Apr 14, 1997 (28)",€10.00m
38,Caio Paulista,Left-Back,"May 11, 1998 (27)",€3.00m
2,Natanael,Right-Back,"Jan 5, 2002 (23)",€5.00m
26,Renzo Saravia,Right-Back,"Jun 16, 1993 (32)",€2.00m
8,Fausto Vera,Defensive Midfield,"Mar 26, 2000 (25)",€5.00m
20,Patrick,Defensive Midfield,"Mar 19, 2004 (21)",€1.50m
25,Gabriel Menino,Central Midfield,"Sep 29, 2000 (24)",€7.00m
44,Rubens,Central Midfield,"Jun 21, 2001 (24)",€6.00m
21,Alan Franco,Central Midfield,"Aug 21, 1998 (26)",€4.00m
10,Gustavo Scarpa,Attacking Midfield,"Jan 5, 1994 (31)",€7.50m
17,Igor Gomes,Attacking Midfield,"Mar 17, 1999 (26)",€3.50m
28,Tomás Cuello,Left Winger,"Mar 5, 2000 (25)",€6.00m
92,Dudu,Left Winger,"Jan 7, 1992 (33)",€2.00m
11,Bernard,Left Winger,"Sep 8, 1992 (32)",€1.00m
37,Júnior Santos,Right Winger,"Oct 11, 1994 (30)",€5.00m
33,Rony,Centre-Forward,"May 11, 1995 (30)",€6.50m
19,João Marcelo,Centre-Forward,"Apr 15, 2005 (20)",€2.00m
7,Hulk,Centre-Forward,"Jul 25, 1986 (38)",€1.50m
30,Isaac,Centre-Forward,"Mar 26, 2004 (21)",€700k
42,Cadu,Centre-Forward,"May 24, 2004 (21)",€500k
