Num,Name,Pos,Birthday,value
1,Cássio,Goalkeeper,"Jun 6, 1987 (38)",€300k
41,Léo Aragão,Goalkeeper,"Apr 19, 2002 (23)",€50k
81,Otávio Costa,Goalkeeper,"Dec 27, 2005 (19)",-
15,Fabrício Bruno,Centre-Back,"Feb 12, 1996 (29)",€8.00m
43,João Marcelo,Centre-Back,"Jun 13, 2000 (25)",€5.50m
14,Mateo Gamarra,Centre-Back,"Oct 20, 2000 (24)",€2.00m
25,Lucas Villalba,Centre-Back,"Aug 19, 1994 (30)",€1.80m
34,Jonathan Jesus,Centre-Back,"May 27, 2004 (21)",€1.50m
6,Kaiki,Left-Back,"Mar 8, 2003 (22)",€3.00m
36,Kauã Prates,Left-Back,"Aug 12, 2008 (16)",-
12,William,Right-Back,"Apr 3, 1995 (30)",€4.50m
23,Fagner,Right-Back,"Jun 11, 1989 (36)",€300k
5,Walace,Defensive Midfield,"Apr 4, 1995 (30)",€4.50m
29,Lucas Romero,Defensive Midfield,"Apr 18, 1994 (31)",€2.80m
16,Lucas Silva,Defensive Midfield,"Feb 16, 1993 (32)",€700k
35,Murilo Rhikman,Defensive Midfield,"Mar 13, 2006 (19)",€250k
88,Christian,Central Midfield,"Dec 19, 2000 (24)",€8.00m
8,Matheus Henrique,Central Midfield,"Dec 19, 1997 (27)",€6.00m
77,Japa,Central Midfield,"Jan 2, 2004 (21)",€300k
10,Matheus Pereira,Attacking Midfield,"May 5, 1996 (29)",€11.00m
21,Eduardo,Attacking Midfield,"Oct 17, 1989 (35)",€800k
94,Wanderson,Left Winger,"Oct 7, 1994 (30)",€5.00m
70,Kaique Kenji,Left Winger,"Jan 29, 2006 (19)",€700k
75,Rodriguinho,Left Winger,"Jun 5, 2003 (22)",€600k
11,Yannick Bolasie,Left Winger,"May 24, 1989 (36)",€250k
7,Marquinhos,Right Winger,"Apr 7, 2003 (22)",€5.50m
19,Kaio Jorge,Centre-Forward,"Jan 24, 2002 (23)",€7.00m
9,Gabriel Barbosa,Centre-Forward,"Aug 30, 1996 (28)",€6.00m
26,Lautaro Díaz,Centre-Forward,"May 21, 1998 (27)",€1.50m
