Num,Name,Pos,Birthday,value
1,Lucas Arcanjo,Goalkeeper,"Aug 8, 1998 (26)",€2.50m
12,Thiago Couto,Goalkeeper,"Mar 26, 1999 (26)",€400k
35,Fintelman,Goalkeeper,"Jul 20, 2001 (24)",€50k
5,Lucas Halter,Centre-Back,"May 2, 2000 (25)",€2.00m
3,Zé Marcos,Centre-Back,"Feb 1, 1998 (27)",€900k
43,Edu Ribeiro,Centre-Back,"Jun 16, 2000 (25)",€800k
77,Neris,Centre-Back,"Jun 17, 1992 (33)",€350k
83,Jamerson,Left-Back,"Sep 9, 1998 (26)",€900k
66,Maykon Jesus,Left-Back,"Dec 7, 2005 (19)",-
2,Claudinho,Right-Back,"Sep 24, 2000 (24)",€2.00m
27,Raúl Cáceres,Right-Back,"Sep 18, 1991 (33)",€250k
44,Baralhas,Defensive Midfield,"Oct 10, 1998 (26)",€1.70m
16,Ismael,Defensive Midfield,"Mar 25, 1999 (26)",€1.50m
8,Ronald,Defensive Midfield,"Jun 18, 1997 (28)",€700k
28,Ricardo Ryller,Defensive Midfield,"Feb 27, 1994 (31)",€650k
29,Willian Oliveira,Defensive Midfield,"May 16, 1993 (32)",€600k
6,Pepê,Central Midfield,"Jan 6, 1998 (27)",€2.50m
10,Matheuzinho,Attacking Midfield,"Oct 18, 1997 (27)",€2.50m
17,Aitor Cantalapiedra,Attacking Midfield,"Feb 10, 1996 (29)",€1.80m
-,Daniel Jr,Attacking Midfield,"May 9, 2002 (23)",€900k
20,Rúben Rodrigues,Attacking Midfield,"Aug 2, 1996 (28)",€500k
76,Felipe Cardoso,Attacking Midfield,"Mar 4, 2003 (22)",-
38,Léo Pereira,Left Winger,"Jun 29, 2000 (25)",€1.20m
22,Lucas Braga,Left Winger,"Nov 10, 1996 (28)",€900k
33,Erick,Right Winger,"Dec 10, 1997 (27)",€1.00m
11,Osvaldo,Right Winger,"Apr 11, 1987 (38)",€150k
7,Romarinho,Centre-Forward,"Dec 12, 1990 (34)",€1.50m
99,Carlinhos,Centre-Forward,"Feb 12, 1997 (28)",€1.50m
23,Fabri,Centre-Forward,"Oct 8, 2000 (24)",€1.00m
79,Renato Kayzer,Centre-Forward,"Feb 17, 1996 (29)",€1.00m
31,Renzo López,Centre-Forward,"Apr 16, 1994 (31)",€800k
