Num,Name,Pos,Birthday,value
98,Vitor Eudes,Goalkeeper,"Oct 21, 1998 (26)",€400k
27,Marcelo Pitaluga,Goalkeeper,"Dec 20, 2002 (22)",€200k
1,Fábio,Goalkeeper,"Sep 30, 1980 (44)",€100k
50,Gustavo Ramalho,Goalkeeper,"Sep 16, 2002 (22)",€100k
4,Ignácio,Centre-Back,"Dec 1, 1996 (28)",€2.00m
22,Juan Pablo Freytes,Centre-Back,"Jan 11, 2000 (25)",€2.00m
3,Thiago Silva,Centre-Back,"Sep 22, 1984 (40)",€700k
26,Manoel,Centre-Back,"Feb 26, 1990 (35)",€200k
29,Thiago Santos,Centre-Back,"Sep 5, 1989 (35)",€200k
12,Gabriel Fuentes,Left-Back,"Feb 9, 1997 (28)",€2.00m
6,Renê,Left-Back,"Sep 14, 1992 (32)",€700k
66,Léo Jance,Left-Back,"Mar 23, 2005 (20)",-
23,Guga,Right-Back,"Aug 29, 1998 (26)",€2.00m
2,Samuel Xavier,Right-Back,"Jun 6, 1990 (35)",€300k
8,Martinelli,Defensive Midfield,"Oct 5, 2001 (23)",€10.00m
94,Otávio,Defensive Midfield,"May 4, 1994 (31)",€3.00m
5,Facundo Bernal,Defensive Midfield,"Aug 21, 2003 (21)",€2.00m
55,Wallace Davi,Defensive Midfield,"May 10, 2007 (18)",-
35,Hércules,Central Midfield,"Oct 20, 2000 (24)",€7.00m
16,Nonato,Central Midfield,"Mar 3, 1998 (27)",€1.20m
-,Gustavo Apis,Central Midfield,"Jun 14, 1999 (26)",-
18,Rubén Lezcano,Attacking Midfield,"Feb 9, 2004 (21)",€4.00m
45,Lima,Attacking Midfield,"Jun 11, 1996 (29)",€2.50m
37,Isaque,Attacking Midfield,"Feb 24, 2007 (18)",€1.00m
10,Ganso,Attacking Midfield,"Oct 12, 1989 (35)",€400k
7,Yeferson Soteldo,Left Winger,"Jun 30, 1997 (28)",€6.00m
17,Agustín Canobbio,Left Winger,"Oct 1, 1998 (26)",€4.50m
19,Joaquín Lavega,Left Winger,"Feb 3, 2005 (20)",€2.80m
77,Paulo Baya,Left Winger,"Jul 26, 1999 (25)",€550k
11,Keno,Left Winger,"Sep 10, 1989 (35)",€500k
28,Riquelme,Right Winger,"Mar 13, 2007 (18)",€6.00m
90,Kevin Serna,Right Winger,"Dec 22, 1997 (27)",€2.00m
99,John Kennedy,Centre-Forward,"May 18, 2002 (23)",€7.00m
14,Germán Cano,Centre-Forward,"Feb 2, 1988 (37)",€800k
9,Everaldo,Centre-Forward,"Jul 5, 1991 (34)",€500k
