Num,Name,Pos,Birthday,value
12,Brenno,Goalkeeper,"Apr 1, 1999 (26)",€1.00m
1,João Ricardo,Goalkeeper,"Sep 6, 1988 (36)",€500k
25,Vinícius,Goalkeeper,"Mar 28, 1994 (31)",€350k
15,Magrão,Goalkeeper,"May 15, 2000 (25)",€300k
32,Gastón Ávila,Centre-Back,"Sep 30, 2001 (23)",€3.00m
13,Benjamín Kuscevic,Centre-Back,"May 2, 1996 (29)",€2.00m
33,Emanuel Brítez,Centre-Back,"Mar 26, 1992 (33)",€800k
39,Gustavo Mancha,Centre-Back,"Jul 25, 2004 (20)",€700k
23,David Luiz,Centre-Back,"Apr 22, 1987 (38)",€300k
-,Weverson,Left-Back,"Jul 5, 2000 (25)",€1.50m
16,Diogo Barbosa,Left-Back,"Aug 17, 1992 (32)",€350k
6,Bruno Pacheco,Left-Back,"Dec 8, 1991 (33)",€300k
14,Eros Mancuso,Right-Back,"Apr 17, 1999 (26)",€4.00m
2,Tinga,Right-Back,"Sep 1, 1993 (31)",€1.20m
17,Zé Welison,Defensive Midfield,"Mar 11, 1995 (30)",€2.00m
88,Lucas Sasha,Defensive Midfield,"Mar 1, 1990 (35)",€250k
29,Rodrigo Santos,Defensive Midfield,"Sep 18, 2000 (24)",-
20,Matheus Rossetto,Central Midfield,"Jun 3, 1996 (29)",€1.50m
5,Matheus Pereira,Central Midfield,"Feb 25, 1998 (27)",€1.20m
7,Tomás Pochettino,Attacking Midfield,"Feb 1, 1996 (29)",€6.00m
8,Emmanuel Martínez,Attacking Midfield,"Jun 4, 1994 (31)",€1.50m
77,Kervin Andrade,Attacking Midfield,"Apr 13, 2005 (20)",€1.50m
21,Moisés,Left Winger,"Sep 2, 1996 (28)",€3.00m
26,Breno Lopes,Left Winger,"Jan 24, 1996 (29)",€2.80m
-,Luquinhas,Left Winger,"Sep 28, 1996 (28)",€2.00m
19,Allanzinho,Left Winger,"Apr 4, 2000 (25)",€400k
80,José Herrera,Right Winger,"Apr 16, 2003 (22)",€2.50m
22,Yago Pikachu,Right Winger,"Jun 5, 1992 (33)",€1.00m
11,Marinho,Right Winger,"May 29, 1990 (35)",€400k
27,Adam Bareiro,Centre-Forward,"Jul 26, 1996 (28)",€4.00m
9,Juan Martín Lucero,Centre-Forward,"Oct 10, 1991 (33)",€1.20m
18,Deyverson,Centre-Forward,"May 8, 1991 (34)",€500k
