Num,Name,Pos,Birthday,value
22,Walter,Goalkeeper,"Nov 18, 1987 (37)",€200k
23,Alex Muralha,Goalkeeper,"Nov 10, 1989 (35)",€175k
50,Lacerda,Goalkeeper,"Feb 13, 2005 (20)",€150k
12,Sidnei,Goalkeeper,"Mar 28, 2003 (22)",€100k
90,Thomazella,Goalkeeper,"Aug 15, 1990 (34)",-
4,Luiz Otávio,Centre-Back,"Oct 9, 1992 (32)",€700k
44,Gabriel,Centre-Back,"Oct 18, 2003 (21)",€700k
34,João Victor,Centre-Back,"Sep 2, 1997 (27)",€500k
3,Jemmes,Centre-Back,"Apr 9, 2000 (25)",€400k
14,David Braz,Centre-Back,"May 21, 1987 (38)",€100k
15,Da Silva,Centre-Back,"Feb 7, 2001 (24)",-
45,Leonan Santos,Centre-Back,"Aug 5, 2000 (24)",-
16,Felipe Jonatan,Left-Back,"Feb 15, 1998 (27)",€2.20m
6,Reinaldo,Left-Back,"Sep 28, 1989 (35)",€400k
19,Lucas Ramon,Right-Back,"Mar 7, 1994 (31)",€400k
20,Daniel Borges,Right-Back,"Mar 23, 1993 (32)",€350k
2,Wesley Santos,Right-Back,"Jun 6, 2004 (21)",€150k
5,Roni,Defensive Midfield,"Apr 15, 1999 (26)",€1.20m
25,Neto Moura,Defensive Midfield,"Aug 6, 1996 (28)",€900k
-,Matheus Sales,Defensive Midfield,"May 13, 1995 (30)",€800k
41,Yago Felipe,Central Midfield,"Feb 3, 1995 (30)",€2.00m
8,Danielzinho,Central Midfield,"Nov 4, 1994 (30)",€900k
18,Matheus Bianqui,Central Midfield,"Jan 31, 1998 (27)",€800k
21,José Aldo,Central Midfield,"Jul 25, 1998 (26)",€700k
27,Gabriel,Attacking Midfield,"Jan 6, 1990 (35)",€300k
10,Chico Kim,Attacking Midfield,"May 16, 1991 (34)",€250k
77,Alesson,Left Winger,"Feb 16, 1999 (26)",€700k
11,Negueba,Right Winger,"Dec 3, 1999 (25)",€900k
70,Fabrício Daniel,Right Winger,"Jul 23, 1997 (28)",€600k
96,Carlos Eduardo,Right Winger,"Oct 10, 1996 (28)",€500k
99,Maceió,Right Winger,"Jul 14, 2003 (22)",€300k
13,Luiz Filipe,Right Winger,"May 28, 2001 (24)",€100k
95,Edson Carioca,Centre-Forward,"Jun 4, 1997 (28)",€800k
91,Francisco da Costa,Centre-Forward,"May 5, 1995 (30)",€750k
17,Cristian Renato,Centre-Forward,"Feb 18, 2000 (25)",€400k
12,Rafa Silva,Centre-Forward,"Apr 4, 1992 (33)",€350k
9,Léo Gamalho,Centre-Forward,"Jan 30, 1986 (39)",€150k
