Num,Name,Pos,Birthday,value
77,Gabriel Brazão,Goalkeeper,"Oct 5, 2000 (24)",€6.00m
1,João Paulo,Goalkeeper,"Jun 29, 1995 (30)",€2.50m
12,Diógenes,Goalkeeper,"Jan 6, 2001 (24)",€200k
2,Zé Ivaldo,Centre-Back,"Feb 21, 1997 (28)",€3.00m
3,Basso,Centre-Back,"Jan 13, 1997 (28)",€1.20m
14,Luan Peres,Centre-Back,"Jul 19, 1994 (31)",€1.00m
25,Luisão,Centre-Back,"Sep 9, 2003 (21)",€500k
4,Gil,Centre-Back,"Jun 12, 1987 (38)",€200k
33,Souza,Left-Back,"Jun 16, 2006 (19)",€2.50m
31,Gonzalo Escobar,Left-Back,"Mar 16, 1997 (28)",€1.00m
30,Vinicius Lira,Left-Back,"Oct 12, 2007 (17)",€700k
44,JP Chermont,Right-Back,"Jan 18, 2006 (19)",€3.00m
18,Igor Vinícius,Right-Back,"Apr 1, 1997 (28)",€2.00m
13,Aderlan,Right-Back,"Aug 18, 1990 (34)",€250k
-,Zanocelo,Defensive Midfield,"Jan 30, 2001 (24)",€2.50m
15,Willian Arão,Defensive Midfield,"Mar 12, 1992 (33)",€1.50m
5,João Schmidt,Defensive Midfield,"May 19, 1993 (32)",€1.00m
8,Tomás Rincón,Defensive Midfield,"Jan 13, 1988 (37)",€200k
49,Gabriel Bontempo,Central Midfield,"Jan 16, 2005 (20)",€4.00m
6,Zé Rafael,Central Midfield,"Jun 16, 1993 (32)",€3.00m
21,Diego Pituca,Central Midfield,"Aug 15, 1992 (32)",€1.00m
14,Hyan,Central Midfield,"Mar 24, 2004 (21)",€300k
10,Neymar,Attacking Midfield,"Feb 5, 1992 (33)",€12.00m
16,Thaciano,Attacking Midfield,"May 12, 1995 (30)",€1.50m
22,Álvaro Barreal,Left Winger,"Aug 17, 2000 (24)",€5.00m
11,Guilherme,Left Winger,"Apr 13, 1995 (30)",€3.00m
41,Mateus Xavier,Left Winger,"Jun 29, 2007 (18)",€400k
32,Benjamín Rollheiser,Right Winger,"Mar 24, 2000 (25)",€8.00m
36,Deivid Washington,Centre-Forward,"Jun 5, 2005 (20)",€8.00m
9,Tiquinho Soares,Centre-Forward,"Jan 17, 1991 (34)",€1.50m
79,Luca Meirelles,Centre-Forward,"Mar 15, 2007 (18)",€1.50m
