Num,Name,Pos,Birthday,value
1,Hugo Souza,Goalkeeper,"Jan 31, 1999 (26)",€10.00m
32,Matheus Donelli,Goalkeeper,"May 17, 2002 (23)",€1.50m
40,Felipe Longo,Goalkeeper,"Mar 5, 2005 (20)",-
51,Kauê,Goalkeeper,"Feb 8, 2004 (21)",-
25,Cacá,Centre-Back,"Apr 25, 1999 (26)",€3.00m
3,Félix Torres,Centre-Back,"Jan 11, 1997 (28)",€2.50m
5,André Ramalho,Centre-Back,"Feb 16, 1992 (33)",€2.00m
47,Tchoca,Centre-Back,"Dec 31, 2003 (21)",€1.50m
13,Gustavo Henrique,Centre-Back,"Mar 24, 1993 (32)",€800k
6,Diego Palacios,Left-Back,"Jul 12, 1999 (26)",€2.00m
21,Matheus Bidu,Left-Back,"May 4, 1999 (26)",€2.00m
46,Hugo,Left-Back,"Aug 29, 1997 (27)",€1.20m
26,Fabrizio Angileri,Left-Back,"Mar 15, 1994 (31)",€700k
2,Matheuzinho,Right-Back,"Sep 8, 2000 (24)",€6.00m
33,Léo Mana,Right-Back,"Apr 6, 2004 (21)",€1.00m
14,Raniele,Defensive Midfield,"Dec 31, 1996 (28)",€4.00m
70,José Martínez,Defensive Midfield,"Aug 7, 1994 (30)",€3.00m
37,Ryan,Defensive Midfield,"Jul 15, 2003 (22)",€2.00m
27,Breno Bidon,Central Midfield,"Feb 20, 2005 (20)",€12.00m
7,Maycon,Central Midfield,"Jul 15, 1997 (28)",€2.00m
19,André Carrillo,Central Midfield,"Jun 14, 1991 (34)",€1.00m
35,Charles,Central Midfield,"Jun 19, 1996 (29)",€1.00m
54,Bahia,Central Midfield,"Jan 2, 2006 (19)",-
8,Rodrigo Garro,Attacking Midfield,"Jan 4, 1998 (27)",€14.00m
43,Talles Magno,Left Winger,"Jun 26, 2002 (23)",€7.00m
11,Ángel Romero,Left Winger,"Jul 4, 1992 (33)",€1.00m
31,Kayke,Right Winger,"Apr 28, 2004 (21)",€250k
9,Yuri Alberto,Centre-Forward,"Mar 18, 2001 (24)",€22.00m
10,Memphis Depay,Centre-Forward,"Feb 13, 1994 (31)",€10.00m
22,Héctor Hernández,Centre-Forward,"Sep 14, 1995 (29)",€1.00m
