Num,Name,Pos,Birthday,value
24,Anthoni,Goalkeeper,"Jan 23, 2002 (23)",€4.00m
1,Sergio Rochet,Goalkeeper,"Mar 23, 1993 (32)",€3.50m
12,Ivan,Goalkeeper,"Jul 2, 1997 (28)",€1.30m
22,Kauan,Goalkeeper,"Apr 27, 2003 (22)",-
4,Vitão,Centre-Back,"Feb 2, 2000 (25)",€12.00m
41,Victor Gabriel,Centre-Back,"Apr 28, 2004 (21)",€5.00m
27,Kaique Rocha,Centre-Back,"Feb 28, 2001 (24)",€3.00m
20,Clayton,Centre-Back,"Apr 4, 2000 (25)",€1.00m
18,Juninho,Centre-Back,"Feb 1, 1995 (30)",€800k
25,Gabriel Mercado,Centre-Back,"Mar 18, 1987 (38)",€200k
26,Alexandro Bernabei,Left-Back,"Sep 24, 2000 (24)",€7.00m
2,Ramon,Left-Back,"Mar 13, 2001 (24)",€2.00m
15,Bruno Gomes,Right-Back,"Apr 4, 2001 (24)",€6.00m
35,Braian Aguirre,Right-Back,"Jul 28, 2000 (24)",€2.50m
23,Alan Benítez,Right-Back,"Jan 25, 1994 (31)",€450k
29,Thiago Maia,Defensive Midfield,"Mar 23, 1997 (28)",€5.00m
16,Ronaldo,Defensive Midfield,"Oct 23, 1996 (28)",€1.00m
33,Diego Rosa,Defensive Midfield,"Oct 12, 2002 (22)",€1.00m
39,Luis Otávio,Defensive Midfield,"Apr 12, 2007 (18)",€1.00m
5,Fernando,Defensive Midfield,"Jul 25, 1987 (37)",€800k
-,Richard,Defensive Midfield,"Feb 18, 1994 (31)",€700k
8,Bruno Henrique,Central Midfield,"Oct 21, 1989 (35)",€400k
10,Alan Patrick,Attacking Midfield,"May 13, 1991 (34)",€3.00m
11,Óscar Romero,Attacking Midfield,"Jul 4, 1992 (33)",€1.20m
37,Yago Noal,Attacking Midfield,"Feb 5, 2007 (18)",€200k
21,Wesley,Left Winger,"Mar 30, 1999 (26)",€9.00m
28,Vitinho,Left Winger,"Apr 1, 1999 (26)",€7.50m
7,Johan Carbonero,Left Winger,"Jul 20, 1999 (26)",€4.00m
34,Gabriel Carvalho,Right Winger,"Aug 17, 2007 (17)",€12.00m
17,Bruno Tabata,Right Winger,"Mar 30, 1997 (28)",€2.00m
47,Gustavo Prado,Right Winger,"Jun 6, 2005 (20)",€2.00m
19,Rafael Borré,Centre-Forward,"Sep 15, 1995 (29)",€7.00m
49,Ricardo Mathias,Centre-Forward,"Jul 25, 2006 (18)",€4.00m
13,Enner Valencia,Centre-Forward,"Nov 4, 1989 (35)",€1.70m
45,Lucca,Centre-Forward,"Apr 2, 2003 (22)",€1.00m
48,Lucca Drummond,Centre-Forward,"Jan 12, 2004 (21)",€150k
