Num,Name,Pos,Birthday,value
22,Caíque França,Goalkeeper,"Jun 3, 1995 (30)",€1.00m
1,Gabriel,Goalkeeper,"Sep 27, 1992 (32)",€700k
1,Denis,Goalkeeper,"Apr 14, 1987 (38)",€100k
3,Lucas Cunha,Centre-Back,"Jan 23, 1997 (28)",€1.50m
6,João Silva,Centre-Back,"Jan 14, 1999 (26)",€1.50m
44,Chico,Centre-Back,"Sep 14, 1998 (26)",€1.00m
25,Antônio Carlos,Centre-Back,"Mar 7, 1993 (32)",€700k
40,Ramon Menezes,Centre-Back,"May 3, 1995 (30)",€550k
15,Rafael Thyere,Centre-Back,"May 17, 1993 (32)",€400k
13,Renzo,Centre-Back,"Oct 17, 2001 (23)",€250k
3,Kevyson,Left-Back,"Mar 29, 2004 (21)",€800k
29,Dalbert,Left-Back,"Sep 8, 1993 (31)",€750k
16,Igor Cariús,Left-Back,"May 1, 1993 (32)",€400k
33,Matheus Alexandre,Right-Back,"Apr 7, 1999 (26)",€1.50m
32,Hereda,Right-Back,"Sep 20, 1998 (26)",€800k
14,Christian Rivera,Defensive Midfield,"Jan 14, 1996 (29)",€3.00m
58,Zé Lucas,Defensive Midfield,"Mar 23, 2008 (17)",€3.00m
37,Du Queiroz,Central Midfield,"Jan 7, 2000 (25)",€1.80m
27,Sérgio Oliveira,Central Midfield,"Jun 2, 1992 (33)",€1.70m
28,Pedro Augusto,Central Midfield,"Mar 3, 1997 (28)",€1.50m
17,Matheusinho,Attacking Midfield,"Feb 11, 1998 (27)",€1.50m
19,Hyoran,Attacking Midfield,"May 25, 1993 (32)",€1.00m
10,Lucas Lima,Attacking Midfield,"Jul 9, 1990 (35)",€500k
20,Rodrigo Atencio,Right Winger,"Jun 30, 2002 (23)",€3.00m
30,Chrystian Barletta,Right Winger,"Jul 5, 2001 (24)",€1.70m
91,Romarinho,Right Winger,"Mar 1, 1994 (31)",€1.00m
18,Derik Lacerda,Second Striker,"Sep 27, 1999 (25)",€750k
9,Ignacio Ramírez,Centre-Forward,"Feb 1, 1997 (28)",€2.00m
7,Gonçalo Paciência,Centre-Forward,"Aug 1, 1994 (30)",€1.00m
99,Zé Roberto,Centre-Forward,"Sep 14, 1993 (31)",€700k
92,Pablo,Centre-Forward,"Jun 23, 1992 (33)",€600k
