Num,Name,Pos,Birthday,value
1,Agustín Rossi,Goalkeeper,"Aug 21, 1995 (29)",€7.00m
25,Matheus Cunha,Goalkeeper,"May 24, 2001 (24)",€3.00m
49,Dyogo Alves,Goalkeeper,"Jan 9, 2004 (21)",€400k
3,Léo Ortiz,Centre-Back,"Jan 3, 1996 (29)",€13.00m
4,Léo Pereira,Centre-Back,"Jan 31, 1996 (29)",€8.00m
13,Danilo,Centre-Back,"Jul 15, 1991 (34)",€3.50m
21,Pablo,Centre-Back,"Jun 21, 1991 (34)",€600k
33,Cleiton,Centre-Back,"Apr 25, 2003 (22)",€600k
61,João Victor,Centre-Back,"Jan 1, 2007 (18)",-
6,Ayrton Lucas,Left-Back,"Jun 19, 1997 (28)",€7.00m
17,Matías Viña,Left-Back,"Nov 9, 1997 (27)",€7.00m
26,Alex Sandro,Left-Back,"Jan 26, 1991 (34)",€1.80m
39,Zé Welinton,Left-Back,"Jan 8, 2004 (21)",€250k
43,Wesley,Right-Back,"Sep 6, 2003 (21)",€20.00m
2,Guillermo Varela,Right-Back,"Mar 24, 1993 (32)",€1.20m
21,Jorginho,Defensive Midfield,"Dec 20, 1991 (33)",€6.00m
5,Erick Pulgar,Defensive Midfield,"Jan 15, 1994 (31)",€5.00m
52,Evertton Araújo,Defensive Midfield,"Feb 28, 2003 (22)",€5.00m
29,Allan,Defensive Midfield,"Mar 3, 1997 (28)",€4.00m
18,Nicolás de la Cruz,Central Midfield,"Jun 1, 1997 (28)",€18.00m
8,Saúl Ñíguez,Central Midfield,"Nov 21, 1994 (30)",€3.00m
10,Giorgian de Arrascaeta,Attacking Midfield,"Jun 1, 1994 (31)",€15.00m
19,Lorran,Attacking Midfield,"Jul 4, 2006 (19)",€11.00m
-,Victor Hugo,Attacking Midfield,"May 11, 2004 (21)",€4.20m
11,Everton,Left Winger,"Mar 22, 1996 (29)",€8.00m
30,Michael,Left Winger,"Mar 12, 1996 (29)",€6.00m
27,Bruno Henrique,Left Winger,"Dec 30, 1990 (34)",€1.00m
50,Gonzalo Plata,Right Winger,"Nov 1, 2000 (24)",€7.00m
7,Luiz Araújo,Right Winger,"Jun 2, 1996 (29)",€5.00m
20,Matheus Gonçalves,Right Winger,"Aug 18, 2005 (19)",€5.00m
9,Pedro,Centre-Forward,"Jun 20, 1997 (28)",€22.00m
23,Juninho,Centre-Forward,"Nov 21, 1996 (28)",€2.50m
64,Wallace Yan,Centre-Forward,"Feb 8, 2005 (20)",€2.50m
